POA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA6106,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,10,10,9,0,0,0,10,19
POA6107,..,28,0,34,0,34,..,275,31,306,0,309,..,606,38,647,8,651,..,1211,142,1354,14,1367,..,309,20,327,4,337,..,444,64,507,8,507,..,531,59,594,7,603,..,3373,357,3727,40,3769,..,483,62,543,3,541,..,95,7,102,0,102,..,254,129,390,4,393,..,9,0,9,0,9,..,0,0,0,0,0,..,171,52,216,0,216,..,92,14,108,7,111,..,52,11,68,0,68,..,37,3,41,0,43,..,41,6,49,0,49,..,628,48,677,5,678,..,844,87,922,7,933,..,821,32,854,7,866,..,321,29,348,3,351,..,2615,193,2802,21,2824,..,190,24,217,3,220,..,309,45,358,0,357,..,141,27,165,0,165,..,365,84,447,0,446,..,250,69,314,0,312,..,3468,790,4258,75,4332,..,16095,3074,19163,180,19343,..,113,36,154,2291,2448,21812,16206,3110,19315,2474,43605
POA6108,..,21,3,20,0,20,..,101,21,120,3,122,..,106,3,113,0,113,..,227,28,253,0,254,..,29,3,36,0,41,..,161,20,181,0,181,..,91,14,100,0,100,..,721,83,808,3,811,..,150,15,161,5,165,..,41,15,55,0,55,..,73,37,116,0,113,..,0,0,3,0,3,..,0,0,0,0,0,..,54,17,74,0,73,..,30,0,28,0,34,..,18,0,18,0,18,..,29,0,29,0,29,..,10,3,18,0,18,..,134,6,137,0,140,..,284,33,318,0,319,..,239,13,249,4,255,..,209,14,226,6,229,..,865,62,934,8,944,..,76,3,82,0,85,..,160,34,197,3,200,..,88,16,99,0,97,..,39,9,42,0,43,..,77,50,124,0,124,..,872,230,1105,16,1120,..,5238,1219,6451,45,6502,..,74,14,92,920,1010,15647,5315,1234,6543,961,23153
POA6109,..,11,0,11,0,11,..,67,12,82,0,82,..,118,12,126,3,129,..,176,29,207,3,212,..,40,3,42,0,46,..,66,3,69,0,69,..,84,16,101,0,101,..,543,73,621,11,630,..,130,24,160,8,162,..,3,0,3,0,3,..,15,9,23,0,23,..,5,0,6,0,6,..,0,0,0,0,0,..,44,23,68,0,74,..,23,0,27,0,27,..,0,0,0,0,0,..,26,4,30,0,32,..,16,4,16,0,16,..,172,15,188,0,189,..,127,26,150,0,150,..,319,15,337,7,341,..,89,10,100,0,100,..,709,60,767,10,779,..,31,3,34,0,34,..,178,62,238,3,241,..,31,16,44,0,44,..,5,0,11,0,11,..,37,19,57,0,57,..,1013,408,1420,17,1439,..,3274,849,4122,54,4172,..,25,11,35,720,755,7189,3298,859,4159,771,12122
POA6110,..,17,0,17,0,24,..,86,3,91,0,91,..,305,15,318,0,320,..,456,53,507,4,514,..,174,8,186,0,187,..,294,32,323,0,323,..,191,17,206,0,206,..,1497,141,1637,10,1646,..,190,19,203,6,210,..,46,3,50,0,50,..,83,44,124,0,124,..,4,0,4,0,4,..,5,0,5,0,5,..,121,45,165,0,165,..,50,3,57,0,57,..,23,3,28,0,28,..,40,6,43,0,44,..,18,4,19,0,25,..,290,10,299,3,304,..,413,54,466,0,468,..,469,14,485,7,493,..,327,24,347,3,356,..,1492,107,1598,18,1614,..,107,8,117,0,122,..,433,88,519,9,529,..,112,17,128,0,132,..,34,6,35,0,35,..,89,29,112,0,112,..,2083,563,2654,46,2697,..,8600,1646,10251,110,10355,..,109,25,135,2279,2416,28083,8713,1670,10384,2390,40858
POA6111,..,6,0,6,4,12,..,15,3,18,0,16,..,57,4,61,0,61,..,99,10,106,0,106,..,58,3,60,0,58,..,56,12,66,0,69,..,40,4,45,0,45,..,318,36,358,3,356,..,176,15,193,7,199,..,31,3,34,0,34,..,11,3,18,0,18,..,0,0,0,0,0,..,3,0,3,0,3,..,39,9,41,0,41,..,36,0,41,0,41,..,19,0,18,0,18,..,17,0,13,0,13,..,8,0,8,0,8,..,79,3,84,0,84,..,49,3,54,0,58,..,105,0,103,3,107,..,67,5,76,0,76,..,303,11,320,3,321,..,39,3,42,0,42,..,77,11,88,0,88,..,54,4,62,3,61,..,9,0,9,0,9,..,21,7,29,0,29,..,611,200,810,16,828,..,2269,375,2645,42,2687,..,76,7,84,1453,1539,18846,2338,383,2724,1497,23068
POA6112,..,26,0,22,0,22,..,73,5,82,0,82,..,410,35,442,0,443,..,805,117,922,3,929,..,371,21,389,0,392,..,155,9,167,0,163,..,324,41,370,3,368,..,2145,227,2370,15,2383,..,229,19,251,6,256,..,83,9,96,0,96,..,89,40,128,0,133,..,5,0,5,0,5,..,14,0,14,0,14,..,93,18,109,0,109,..,51,4,62,0,58,..,64,5,68,0,68,..,79,7,89,0,95,..,45,10,56,0,57,..,365,7,370,3,378,..,353,39,391,0,397,..,517,20,533,0,534,..,329,22,348,0,350,..,1555,91,1645,10,1651,..,227,21,246,0,248,..,556,77,630,13,643,..,122,28,151,3,156,..,12,0,13,0,13,..,72,24,97,0,97,..,2554,498,3055,57,3112,..,10588,1521,12106,130,12239,..,144,30,182,3207,3386,40929,10740,1547,12290,3338,56554
POA6121,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,29,0,29,0,29,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,4,0,3,0,3,..,10,0,10,0,10,..,4,0,4,0,4,..,17,0,19,0,19,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,3,11,0,11,..,31,10,39,0,39,..,152,22,174,4,175,..,5,0,5,110,120,2670,162,22,179,118,2963
POA6122,..,12,3,12,0,12,..,0,0,0,0,0,..,62,3,66,0,66,..,260,37,299,8,308,..,27,3,24,0,24,..,56,0,57,0,57,..,47,3,48,0,48,..,451,51,500,8,503,..,49,3,49,0,49,..,3,0,3,0,3,..,5,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,12,6,20,0,20,..,10,0,10,0,10,..,3,0,3,0,3,..,16,0,16,0,16,..,6,0,7,0,7,..,32,0,39,0,39,..,28,0,28,0,28,..,52,3,52,0,52,..,43,0,46,0,42,..,153,5,161,0,157,..,16,3,22,0,22,..,56,3,59,0,59,..,22,3,24,0,28,..,3,0,3,0,3,..,9,0,7,0,12,..,552,89,637,18,655,..,1803,203,2008,24,2030,..,37,0,41,916,951,14424,1839,208,2047,940,17410
POA6123,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,10,0,10,..,5,0,5,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,3,22,0,22,..,68,5,70,0,77,..,5,0,4,118,123,1350,70,6,82,120,1551
POA6124,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,4,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,13,0,13,..,55,11,63,0,66,..,0,0,3,103,103,1025,53,14,65,103,1192
POA6125,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,5,19,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,5,0,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,17,0,17,0,17,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,92,6,99,0,94,..,10,0,10,250,258,2776,98,6,106,249,3135
POA6126,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,17,0,19,..,3,0,3,357,358,244,23,0,20,355,626
POA6147,..,9,0,9,0,7,..,62,3,68,0,68,..,106,7,109,0,115,..,195,20,213,5,218,..,82,7,87,0,87,..,150,15,167,0,167,..,74,4,79,0,79,..,665,61,731,5,731,..,46,10,50,3,54,..,36,9,41,0,41,..,107,59,172,0,171,..,4,0,4,0,4,..,0,0,0,0,0,..,75,14,92,0,92,..,26,0,26,0,26,..,24,0,24,0,24,..,9,0,14,0,14,..,8,3,14,0,14,..,96,0,95,0,95,..,229,26,257,0,263,..,211,13,223,0,223,..,118,15,136,4,140,..,655,61,714,8,722,..,53,6,58,0,58,..,170,40,205,3,211,..,46,8,55,0,55,..,40,11,48,0,45,..,51,35,85,0,87,..,776,189,962,24,989,..,4699,1212,5908,57,5963,..,37,11,44,620,666,8507,4729,1225,5956,674,15138
POA6148,..,25,0,25,0,25,..,82,3,84,0,84,..,161,3,159,0,161,..,99,8,109,0,109,..,295,15,310,0,313,..,51,7,58,0,66,..,146,7,156,0,156,..,843,42,885,3,886,..,114,9,120,3,126,..,47,6,50,0,55,..,158,77,232,3,239,..,0,0,0,0,0,..,0,0,0,0,0,..,83,12,90,0,90,..,40,0,42,0,42,..,32,0,38,0,38,..,4,0,4,0,4,..,3,0,7,0,7,..,78,0,78,0,78,..,194,13,204,0,206,..,53,4,56,0,61,..,88,4,88,0,90,..,411,23,432,0,429,..,51,5,52,0,52,..,189,11,200,0,200,..,38,5,45,0,45,..,38,7,43,0,43,..,75,17,94,0,94,..,616,68,680,13,690,..,4664,663,5327,34,5356,..,58,22,78,627,704,11754,4719,682,5400,661,17814
POA6149,..,12,0,14,0,14,..,40,0,38,0,38,..,124,3,126,0,126,..,88,8,99,0,99,..,72,5,73,0,73,..,8,0,8,0,8,..,30,0,30,0,30,..,361,20,381,0,381,..,110,9,121,0,119,..,65,7,71,0,71,..,138,67,204,0,204,..,4,0,4,0,4,..,0,0,0,0,0,..,60,0,64,0,64,..,30,0,30,0,25,..,26,3,29,0,29,..,0,0,0,0,0,..,12,0,12,0,12,..,29,0,29,0,29,..,162,12,173,0,172,..,23,0,23,0,23,..,42,0,42,0,42,..,258,12,266,0,272,..,82,4,85,0,85,..,146,3,148,0,148,..,25,0,24,0,24,..,12,0,12,0,12,..,41,9,49,0,49,..,324,44,376,10,383,..,3796,522,4325,27,4351,..,26,3,29,475,506,13615,3826,524,4352,505,18476
POA6150,..,12,0,12,0,12,..,34,0,41,0,37,..,73,0,72,0,72,..,52,0,50,0,50,..,89,7,93,0,93,..,12,0,12,0,12,..,42,0,43,0,43,..,299,11,311,0,310,..,147,7,149,3,149,..,31,6,38,0,38,..,66,21,90,0,90,..,6,0,6,0,6,..,0,0,0,0,0,..,67,6,70,0,70,..,24,0,24,0,24,..,13,0,13,0,13,..,4,0,4,0,4,..,10,0,12,0,12,..,35,0,40,0,40,..,408,42,448,4,457,..,30,0,30,0,30,..,64,3,65,0,65,..,537,47,585,4,585,..,49,5,60,0,56,..,98,0,98,0,95,..,26,0,28,0,28,..,6,0,6,0,6,..,76,12,91,0,90,..,289,33,321,10,331,..,3683,451,4132,33,4167,..,22,7,28,735,761,8222,3703,455,4160,764,13146
POA6151,..,54,3,56,0,63,..,14,0,14,0,14,..,74,5,76,3,83,..,34,0,34,0,34,..,30,0,32,0,36,..,27,0,28,0,28,..,88,9,98,0,95,..,267,19,286,3,288,..,177,16,191,3,195,..,97,22,120,0,116,..,64,21,85,3,87,..,20,0,20,0,20,..,3,0,3,0,3,..,144,10,161,0,161,..,33,4,39,3,39,..,50,4,56,0,56,..,0,0,0,0,0,..,26,0,31,0,31,..,30,0,25,0,30,..,110,0,112,3,114,..,19,0,26,0,26,..,40,0,45,0,45,..,200,6,206,3,207,..,133,14,149,0,149,..,38,0,38,0,38,..,36,5,43,0,43,..,15,3,17,0,17,..,115,18,141,0,138,..,345,48,391,5,396,..,2717,353,3072,35,3110,..,41,9,48,1164,1213,12259,2754,362,3120,1199,16576
POA6152,..,86,3,93,0,94,..,46,0,48,0,48,..,134,12,149,0,149,..,47,8,54,0,57,..,69,3,71,0,71,..,41,4,47,0,47,..,119,5,126,0,126,..,462,26,487,0,493,..,248,19,265,14,277,..,92,25,117,0,114,..,141,52,190,0,190,..,11,0,10,0,10,..,4,0,4,0,4,..,247,29,268,3,273,..,100,15,110,0,114,..,35,6,40,0,40,..,0,0,0,0,0,..,15,3,19,0,19,..,42,3,48,0,48,..,365,33,399,4,398,..,62,0,62,0,67,..,82,4,84,3,91,..,556,40,597,7,599,..,175,11,184,0,184,..,60,6,64,0,69,..,115,18,130,0,130,..,42,6,45,0,51,..,109,12,125,0,124,..,737,109,844,16,857,..,5422,682,6109,54,6165,..,69,12,77,1528,1606,17694,5489,693,6184,1581,25463
POA6153,..,53,0,55,0,55,..,18,0,18,0,18,..,106,4,112,0,112,..,48,0,47,0,47,..,82,0,80,0,80,..,12,0,14,0,14,..,70,5,75,0,75,..,338,11,346,0,346,..,200,8,208,0,214,..,99,23,125,0,125,..,114,48,161,3,167,..,5,0,5,0,5,..,0,0,0,0,0,..,244,29,276,0,273,..,51,4,51,0,55,..,49,3,55,0,55,..,0,0,0,0,0,..,28,0,28,0,28,..,9,0,9,0,9,..,299,27,326,0,325,..,44,0,44,0,44,..,54,0,55,0,55,..,404,32,436,0,435,..,104,6,110,0,110,..,53,0,55,0,55,..,44,7,50,0,50,..,8,0,8,0,8,..,56,0,63,0,63,..,349,37,392,9,395,..,3782,449,4237,26,4259,..,46,0,45,905,950,14658,3826,453,4278,932,19865
POA6154,..,21,3,18,0,19,..,11,0,11,0,11,..,18,0,18,0,18,..,15,0,17,0,17,..,10,0,10,0,10,..,24,0,23,0,23,..,13,3,19,0,19,..,80,6,83,0,83,..,108,6,122,0,123,..,34,4,42,0,42,..,56,27,76,0,76,..,3,0,4,0,4,..,0,0,0,0,0,..,59,8,62,0,62,..,13,0,13,0,13,..,20,0,19,0,19,..,0,0,0,0,0,..,25,0,23,0,23,..,14,0,11,0,11,..,127,13,142,0,142,..,32,4,32,0,32,..,29,0,29,0,29,..,202,14,217,0,217,..,63,8,71,0,69,..,13,0,18,0,18,..,22,0,22,0,22,..,3,0,3,0,3,..,25,5,24,0,24,..,128,26,156,4,160,..,1541,208,1748,14,1763,..,27,0,25,479,502,7764,1567,211,1776,490,10028
POA6155,..,42,3,41,0,41,..,317,15,333,3,332,..,657,23,679,0,680,..,607,64,670,0,672,..,507,28,535,3,540,..,354,18,370,0,370,..,372,15,391,0,392,..,2818,163,2979,12,2990,..,277,25,299,3,301,..,134,21,151,0,157,..,414,189,599,3,609,..,9,3,10,0,10,..,7,0,7,0,7,..,211,18,232,0,232,..,73,11,87,0,87,..,82,8,92,0,92,..,30,3,29,0,29,..,42,5,49,0,49,..,120,6,125,0,125,..,604,63,667,8,668,..,178,5,182,0,187,..,362,14,374,0,376,..,1257,86,1343,11,1350,..,233,16,257,0,257,..,792,54,849,7,856,..,105,12,115,0,115,..,31,9,41,0,41,..,150,46,195,0,197,..,2126,232,2361,35,2399,..,16108,2899,19004,120,19120,..,136,16,151,2409,2559,29567,16241,2913,19153,2528,51244
POA6156,..,23,4,23,0,23,..,7,5,13,0,13,..,27,0,28,0,28,..,10,0,10,0,10,..,14,0,14,0,14,..,0,0,0,0,0,..,25,0,25,0,25,..,90,3,94,0,94,..,266,15,274,8,288,..,42,9,51,0,54,..,9,8,18,0,18,..,8,0,10,0,9,..,0,0,0,0,0,..,36,9,46,3,48,..,38,3,41,0,41,..,21,0,18,0,18,..,3,0,3,0,3,..,31,3,30,0,30,..,29,0,29,0,29,..,83,7,92,3,92,..,50,3,55,0,55,..,8,0,8,0,8,..,161,9,174,3,180,..,100,8,108,0,108,..,13,0,13,0,13,..,24,7,34,0,34,..,0,0,0,0,0,..,16,3,20,0,20,..,240,35,276,7,286,..,1666,198,1866,35,1902,..,37,4,39,819,857,14133,1701,206,1906,854,16897
POA6157,..,27,3,35,0,35,..,3,0,3,0,3,..,18,0,21,0,21,..,15,0,15,0,15,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,49,0,50,0,50,..,196,28,220,3,223,..,32,3,38,0,35,..,9,3,15,0,15,..,4,0,3,0,3,..,0,0,0,0,0,..,26,0,26,0,26,..,22,4,24,0,24,..,22,0,22,0,22,..,0,0,0,0,0,..,14,0,16,0,16,..,19,0,19,0,19,..,22,0,22,0,22,..,38,0,38,0,35,..,7,0,7,0,7,..,75,3,81,0,79,..,78,11,87,3,92,..,17,0,17,0,17,..,22,5,32,0,32,..,3,0,4,0,4,..,14,4,18,0,18,..,184,34,220,3,225,..,1182,127,1311,12,1322,..,28,5,28,769,801,11403,1208,128,1339,783,13525
POA6158,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,182,22,199,0,199,..,17,3,18,0,18,..,4,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,14,0,14,0,14,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,8,0,8,..,4,0,4,0,4,..,3,0,3,0,3,..,19,0,19,0,19,..,22,0,26,0,26,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,9,0,9,..,12,0,9,0,9,..,83,15,93,0,95,..,551,43,594,3,604,..,23,0,23,472,493,6283,569,43,618,478,7376
POA6159,..,6,0,6,0,6,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,25,6,35,0,35,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,5,5,0,5,..,7,0,7,0,7,..,6,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,23,3,24,0,24,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,39,7,47,0,47,..,214,23,237,0,241,..,12,0,12,366,375,2727,221,23,243,366,3340
POA6160,..,9,4,13,0,13,..,0,0,0,0,0,..,10,3,14,0,14,..,3,0,6,0,6,..,5,0,5,0,5,..,0,0,0,0,0,..,14,0,12,0,12,..,36,3,36,0,36,..,262,69,332,3,332,..,18,3,22,0,22,..,9,0,8,0,8,..,3,3,8,0,8,..,0,0,0,0,0,..,9,0,10,0,10,..,21,0,26,0,26,..,10,0,10,0,10,..,0,0,0,0,0,..,5,5,8,0,8,..,17,0,17,0,17,..,6,3,9,0,9,..,12,0,12,0,12,..,10,0,14,0,14,..,53,6,59,0,59,..,59,6,67,0,69,..,9,0,9,0,9,..,13,0,16,0,16,..,4,0,4,0,4,..,8,8,9,0,9,..,151,24,172,3,172,..,954,168,1118,6,1131,..,21,0,23,895,911,6168,972,166,1144,903,8211
