region_id,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_estat_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_estat_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_estat_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_over_LT_Real_eSte_agent,R_650_over_LT_Ste_ter_hsg_aut,R_650_over_LT_Psn_not_Sme_hhd,R_650_ovr_LT_hs_coop_com_ch_g,R_650_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_650_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA6012,5,37,26,0,0,10,78,0,64,0,6,0,0,70,8,51,17,3,3,0,82,32,17,18,3,3,0,73,59,10,27,3,3,0,102,105,8,43,0,6,3,165,125,3,63,3,4,3,201,144,0,54,0,0,3,201,71,3,22,3,0,0,99,28,0,10,0,0,0,38,90,0,30,0,0,0,120,10,7,7,3,3,0,30,677,200,317,24,22,19,1259
POA6014,3,5,42,6,0,36,92,3,10,3,0,3,0,19,13,7,28,8,3,0,59,38,8,49,0,3,0,98,65,0,51,0,0,0,116,241,0,112,0,8,4,365,382,0,154,0,7,0,543,246,0,102,0,12,0,360,121,0,69,7,0,0,197,70,0,39,3,3,0,115,127,0,39,0,5,0,171,15,0,18,4,0,0,37,1324,30,706,28,44,40,2172
POA6015,0,0,15,0,3,4,22,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,8,0,0,0,13,10,0,14,0,0,0,24,24,0,13,0,0,0,37,12,0,16,0,0,0,28,95,0,34,0,5,0,134,3,0,3,3,3,3,15,149,0,115,3,11,7,285
POA6016,5,39,23,0,3,14,84,3,86,5,0,0,0,94,5,48,17,8,5,0,83,6,33,21,10,0,0,70,13,11,33,0,0,0,57,65,6,45,0,3,0,119,165,3,85,3,8,0,264,206,0,111,0,12,6,335,77,0,59,0,5,0,141,33,0,7,0,4,0,44,34,6,10,0,0,0,50,9,7,9,3,3,0,31,621,239,425,24,43,20,1372
POA6017,0,29,12,0,0,0,41,0,22,4,0,0,0,26,3,13,7,6,6,0,35,20,10,21,5,3,0,59,56,3,24,6,0,0,89,120,0,70,0,12,3,205,174,6,91,0,10,0,281,86,0,38,0,0,0,124,16,0,10,0,0,0,26,4,0,0,0,0,0,4,6,0,0,0,0,0,6,3,0,7,0,5,0,15,488,83,284,17,36,3,911
POA6018,0,139,58,7,12,46,262,0,259,6,11,0,0,276,6,159,28,35,3,4,235,14,74,66,5,13,0,172,17,16,70,4,10,0,117,63,19,122,0,8,4,216,296,20,252,0,18,0,586,608,3,322,3,22,3,961,327,0,111,0,11,0,449,151,0,38,0,0,0,189,139,3,29,5,3,0,179,25,48,30,7,11,8,129,1646,740,1132,77,111,65,3771
POA6019,3,22,52,0,8,26,111,3,32,0,0,0,0,35,8,26,33,6,0,0,73,21,22,47,0,4,0,94,40,5,48,4,7,0,104,137,9,91,0,9,0,246,491,3,257,0,14,5,770,548,0,282,0,17,0,847,243,3,95,0,0,0,341,131,0,44,0,0,3,178,154,0,45,0,0,0,199,23,11,36,0,4,4,78,1802,133,1030,10,63,38,3076
POA6020,0,28,28,3,3,17,79,0,57,3,4,0,0,64,0,37,23,13,14,0,87,12,15,47,3,0,0,77,8,4,33,0,0,0,45,21,5,48,0,5,0,79,107,0,93,0,3,0,203,181,0,143,0,6,0,330,96,0,59,0,3,0,158,65,0,35,0,4,0,104,85,0,29,0,0,0,114,8,8,17,3,3,0,39,583,154,558,26,41,17,1379
POA6021,4,50,43,0,0,26,123,0,96,5,0,0,0,101,3,54,24,6,0,3,90,10,34,45,5,7,0,101,7,11,49,0,0,0,67,47,3,86,0,10,3,149,242,3,206,3,22,3,479,272,3,183,0,20,0,478,92,3,39,0,4,3,141,28,3,9,0,3,0,43,64,0,16,0,3,0,83,9,15,21,3,6,6,60,778,275,726,17,75,44,1915
POA6022,0,0,10,0,0,5,15,3,0,0,0,0,0,3,3,3,7,0,0,0,13,0,0,12,0,0,0,12,4,0,6,0,0,0,10,4,3,21,0,0,0,28,37,0,32,0,3,3,75,82,0,57,0,3,0,142,20,0,9,0,0,0,29,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,6,153,9,157,3,6,8,336
POA6023,3,3,18,0,4,15,43,0,8,0,0,0,0,8,3,11,5,0,0,0,19,0,3,6,0,3,0,12,0,0,13,0,0,0,13,4,0,9,0,3,0,16,33,0,64,0,0,0,97,134,0,106,3,5,0,248,74,0,45,0,3,0,122,30,0,15,0,0,0,45,16,0,7,0,0,0,23,4,3,7,0,0,3,17,301,28,295,3,18,18,663
POA6024,0,3,17,11,3,9,43,0,5,0,8,0,0,13,0,9,13,0,0,0,22,4,7,22,0,0,3,36,0,5,13,0,4,0,22,10,4,29,0,9,0,52,67,4,98,0,8,3,180,212,0,117,0,12,0,341,50,0,25,0,0,0,75,3,0,4,0,0,0,7,0,0,0,0,0,0,0,0,6,5,0,4,3,18,346,43,343,19,40,18,809
POA6025,9,4,49,0,3,33,98,0,17,4,0,0,0,21,0,18,22,0,0,0,40,4,7,36,0,3,0,50,6,3,38,0,0,3,50,24,7,85,0,4,0,120,226,3,212,0,12,4,457,448,0,298,0,17,3,766,153,0,58,0,4,4,219,66,0,21,0,0,0,87,90,0,34,4,3,0,131,11,3,15,0,3,0,32,1037,62,872,4,49,47,2071
POA6026,0,8,23,0,3,13,47,0,7,3,5,0,0,15,3,9,12,15,7,3,49,3,3,17,0,0,0,23,4,0,15,0,0,0,19,5,0,27,0,4,0,36,42,0,75,0,4,4,125,209,0,115,0,6,0,330,129,0,50,0,5,4,188,33,0,10,0,0,0,43,9,0,0,0,0,0,9,11,0,13,0,0,0,24,448,27,360,20,29,24,908
POA6027,6,16,55,0,6,28,111,0,67,3,0,0,0,70,7,50,23,11,4,0,95,26,32,43,3,3,3,110,10,13,59,0,0,0,82,42,8,102,0,3,3,158,384,3,312,3,21,3,726,984,6,401,3,28,3,1425,253,0,122,0,3,3,381,118,0,42,0,0,0,160,92,0,30,0,7,0,129,31,14,26,3,7,3,84,1953,209,1218,23,82,46,3531
POA6028,0,3,12,0,0,5,20,3,9,0,0,0,0,12,0,8,9,3,7,0,27,0,3,19,0,3,0,25,4,0,17,0,5,0,26,6,0,19,0,0,0,25,80,3,63,0,7,3,156,392,0,155,0,7,0,554,96,0,35,0,0,0,131,34,0,10,0,0,0,44,66,0,20,0,0,0,86,7,0,8,0,0,0,15,688,26,367,3,29,8,1121
POA6029,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,8,0,3,0,11,17,0,17,0,0,0,34,27,0,24,0,0,0,51,19,0,13,0,0,0,32,17,0,8,0,0,0,25,23,0,8,0,0,0,31,3,0,3,0,0,0,6,106,0,95,0,3,0,204
POA6030,5,26,24,0,5,13,73,0,61,4,8,0,0,73,5,92,38,9,0,0,144,8,48,35,9,4,0,104,3,17,43,0,3,0,66,23,36,66,5,4,0,134,622,8,306,0,19,6,961,982,0,373,4,33,7,1399,137,0,70,0,4,0,211,70,0,18,0,0,4,92,71,4,26,0,0,0,101,21,22,24,13,0,0,80,1947,314,1027,48,72,30,3438
POA6031,0,8,11,0,0,3,22,0,20,3,0,0,0,23,0,28,6,4,0,0,38,3,32,7,0,0,0,42,0,13,8,0,3,0,24,3,12,9,4,3,0,31,33,5,45,4,3,0,90,173,3,91,0,11,0,278,53,0,31,0,3,0,87,6,0,4,0,0,0,10,3,0,0,0,0,0,3,5,6,5,0,0,0,16,279,127,220,12,23,3,664
POA6032,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,11,6,0,9,0,8,7,30
POA6033,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,6,0,0,4,0,0,0,4,7,0,0,0,3,0,10,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,22,0,9,0,38
POA6035,0,0,7,0,3,3,13,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,12,0,3,0,15,12,0,7,0,0,0,19,26,0,14,0,3,0,43,90,0,41,0,0,3,134,102,0,22,0,3,3,130,5,0,7,0,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,3,0,12,244,6,113,0,15,9,387
POA6036,0,4,6,3,0,4,17,0,21,3,0,0,0,24,0,49,0,8,0,0,57,0,31,0,6,0,0,37,3,13,8,0,0,0,24,5,21,8,3,0,0,37,74,3,58,0,4,0,139,369,0,120,0,3,0,492,50,4,21,0,0,0,75,11,0,4,0,0,0,15,8,0,3,0,0,0,11,4,3,5,0,0,3,15,524,149,236,20,7,7,943
POA6037,0,0,9,0,3,5,17,0,0,0,0,0,0,0,3,3,3,0,3,0,12,0,0,11,0,0,0,11,8,0,8,0,0,0,16,31,3,20,0,3,0,57,57,3,11,0,3,3,77,31,0,9,0,0,0,40,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,0,0,6,136,9,77,0,12,8,242
POA6041,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,9,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,4,0,0,0,4,0,0,7,0,3,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,27,0,3,3,39
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,12
POA6043,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,0,0,0,0,3,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,20
POA6044,0,3,8,0,9,14,34,0,0,0,0,5,0,5,0,5,0,0,0,0,5,7,3,9,3,0,0,22,3,3,5,0,4,0,15,5,3,5,0,0,0,13,6,0,5,0,0,0,11,0,0,7,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,8,3,15,24,17,43,3,26,17,130
POA6050,0,12,40,8,4,24,88,0,16,3,21,0,0,40,10,10,22,14,8,0,64,27,3,39,6,0,0,75,37,0,41,0,3,0,81,159,4,73,4,9,0,249,288,0,150,0,7,0,445,273,0,151,5,4,7,440,126,0,65,0,4,0,195,40,0,26,0,0,0,66,71,0,24,0,4,0,99,12,4,17,7,0,8,48,1043,49,651,65,43,39,1890
POA6051,5,67,32,0,4,25,133,3,125,3,0,0,0,131,19,60,30,9,4,3,125,105,49,125,13,22,6,320,104,14,88,3,11,0,220,312,40,144,3,20,3,522,464,3,197,3,21,4,692,327,0,125,0,8,3,463,121,0,37,0,0,0,158,32,0,8,0,0,0,40,28,3,14,0,4,0,49,13,15,15,3,6,7,59,1533,376,818,34,100,51,2912
POA6052,4,38,10,6,3,10,71,3,62,3,20,0,3,91,6,46,16,41,4,0,113,26,16,40,7,3,3,95,25,10,28,0,0,0,63,84,8,29,0,3,3,127,146,4,102,0,13,3,268,219,0,96,0,14,3,332,77,0,34,0,0,0,111,23,0,7,0,0,0,30,23,0,8,0,0,0,31,4,13,15,3,3,5,43,640,197,388,77,43,30,1375
POA6053,3,45,25,41,0,22,136,0,81,0,7,0,0,88,4,46,20,13,0,0,83,11,24,40,3,3,0,81,13,7,60,0,0,0,80,64,9,86,0,0,3,162,215,4,126,0,17,0,362,256,0,141,3,7,0,407,53,0,28,0,0,0,81,19,0,4,0,0,0,23,5,0,6,0,0,0,11,6,10,19,8,0,4,47,649,226,555,75,27,29,1561
POA6054,0,84,44,3,0,23,154,3,146,9,0,3,3,164,16,129,49,9,4,0,207,9,63,59,5,4,6,146,21,23,50,4,4,0,102,57,11,82,0,4,5,159,342,15,207,3,16,0,583,278,3,146,0,14,3,444,40,3,11,0,0,0,54,9,0,3,0,0,0,12,7,4,3,0,0,0,14,15,45,18,7,0,7,92,797,526,681,31,49,47,2131
POA6055,0,10,28,3,14,17,72,0,32,3,3,0,0,38,3,27,22,3,0,0,55,9,20,22,3,8,0,62,3,9,16,0,5,0,33,12,7,23,0,6,0,48,69,13,66,0,7,3,158,151,4,66,0,4,0,225,25,3,14,0,0,0,42,13,4,4,0,0,0,21,8,0,7,0,0,0,15,10,3,8,0,9,0,30,303,132,279,12,53,20,799
POA6056,3,102,68,5,9,36,223,0,179,0,4,3,5,191,18,176,73,17,3,0,287,40,97,105,13,15,4,274,51,27,106,4,5,0,193,134,23,176,0,20,0,353,766,11,419,13,60,6,1275,411,7,227,3,16,4,668,86,3,30,0,0,0,119,19,0,12,0,0,0,31,15,7,3,0,3,0,28,26,54,45,4,10,7,146,1569,686,1264,63,144,62,3788
POA6057,0,4,26,0,5,13,48,0,10,4,0,0,0,14,0,27,11,0,7,0,45,0,10,29,0,6,3,48,0,6,31,0,3,0,40,15,16,25,0,0,0,56,120,0,118,0,3,3,244,204,0,111,0,7,3,325,54,0,21,0,0,0,75,6,0,5,0,0,0,11,0,0,0,0,0,0,0,12,5,8,3,0,0,28,411,78,389,3,31,22,934
POA6058,0,19,23,0,3,8,53,0,43,3,0,0,0,46,3,43,13,5,0,0,64,3,14,23,3,3,0,46,3,3,25,0,0,0,31,15,6,42,4,4,0,71,119,0,129,3,7,0,258,209,0,90,0,8,0,307,14,0,9,0,3,0,26,5,0,3,0,0,0,8,5,0,0,0,0,0,5,7,7,13,3,5,0,35,383,135,373,18,33,8,950
POA6059,0,49,47,8,4,23,131,0,87,3,5,0,0,95,3,30,34,25,0,3,95,16,12,61,0,4,0,93,15,4,47,0,5,4,75,107,4,111,0,8,3,233,337,5,231,0,23,0,596,309,0,184,0,19,3,515,76,0,40,0,4,0,120,23,0,9,0,4,0,36,17,0,18,0,0,5,40,16,16,34,7,5,7,85,919,207,819,45,76,48,2114
POA6060,4,50,62,3,6,33,158,0,79,7,0,4,0,90,24,68,69,35,4,0,200,81,36,97,5,11,0,230,150,17,99,0,11,3,280,322,19,182,7,21,3,554,813,5,407,3,36,5,1269,594,0,293,5,19,0,911,152,0,73,0,4,0,229,47,0,23,0,0,0,70,35,0,13,0,0,0,48,25,15,38,7,9,11,105,2247,289,1363,65,125,55,4144
POA6061,8,201,55,10,6,32,312,0,392,6,14,3,3,418,6,305,37,30,10,0,388,26,154,85,11,7,0,283,26,58,80,0,14,0,178,172,44,158,8,15,8,405,883,24,491,3,100,4,1505,930,12,382,3,70,8,1405,47,3,29,0,4,0,83,3,4,7,0,3,0,17,17,12,5,0,0,3,37,26,93,47,7,5,11,189,2144,1302,1382,86,237,69,5220
POA6062,3,18,78,6,10,36,151,0,30,5,10,3,0,48,5,48,44,6,0,0,103,18,26,72,7,3,0,126,16,5,77,4,8,3,113,80,5,133,0,18,0,236,480,6,331,5,42,6,870,533,4,305,0,38,3,883,96,0,50,0,3,3,152,15,0,6,0,0,0,21,11,0,6,0,6,0,23,20,11,45,0,9,5,90,1277,153,1152,38,140,56,2816
POA6063,3,40,20,0,3,6,72,0,47,3,0,3,0,53,0,40,12,0,0,0,52,3,22,14,4,0,3,46,3,13,19,0,0,0,35,6,21,41,3,0,0,71,113,6,88,3,11,0,221,182,0,97,3,12,3,297,23,0,7,0,3,0,33,3,0,0,0,0,0,3,3,0,0,0,0,0,3,3,16,11,3,3,3,39,342,205,312,16,35,15,925
POA6064,0,98,51,0,0,35,184,3,160,3,0,0,0,166,3,153,30,12,6,0,204,7,60,50,9,5,3,134,6,22,47,3,8,3,89,47,29,110,0,8,3,197,398,7,280,3,49,4,741,277,8,189,0,36,5,515,35,0,22,0,0,0,57,0,6,0,0,0,0,6,4,4,3,0,0,0,11,15,34,31,5,8,8,101,795,581,816,32,120,61,2405
POA6065,5,19,46,5,3,20,98,3,43,0,4,0,0,50,0,51,25,0,15,0,91,3,28,42,4,15,0,92,4,4,46,0,21,0,75,33,6,50,6,12,3,110,136,5,183,0,14,0,338,944,0,377,0,27,9,1357,369,4,115,0,4,0,492,57,0,15,0,5,0,77,17,0,15,0,5,0,37,19,7,43,5,5,9,88,1590,167,957,24,126,41,2905
POA6066,0,36,17,0,0,7,60,0,57,0,3,0,3,63,3,45,4,0,3,0,55,0,30,20,0,0,0,50,0,15,15,3,3,0,36,12,10,39,0,3,0,64,115,6,105,0,12,0,238,267,3,159,0,19,3,451,47,0,19,0,3,0,69,0,0,0,0,0,0,0,3,3,3,3,0,0,12,8,16,15,3,3,3,48,455,221,396,12,46,16,1146
POA6067,0,0,0,3,3,0,6,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,3,0,19
