POA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
POA6012,238,14,0,0,14,0,250,23,44,0,0,49,0,71,0,4,0,0,6,0,6,0,0,0,0,0,0,0,23,47,0,0,53,0,73,0,0,0,0,0,0,0,258,59,0,0,67,0,326,296,8,0,0,8,0,305,20,40,0,0,38,0,58,0,3,0,0,3,0,3,0,0,0,3,4,0,4,20,41,3,3,49,0,66,0,0,0,0,0,0,0,313,48,3,3,53,0,372,216,4,0,0,4,0,217,8,31,0,0,31,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,0,0,32,0,42,0,0,0,0,0,0,0,221,36,0,0,36,0,258,153,0,0,0,0,0,153,12,17,0,0,17,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,20,0,28,0,0,0,0,0,0,0,162,14,0,0,20,0,181,213,0,0,0
POA6014,734,36,0,0,36,0,769,70,206,4,0,203,0,281,0,10,0,0,10,0,10,0,0,0,0,0,0,0,70,216,4,0,217,0,291,0,0,0,0,0,0,4,805,252,4,0,258,0,1066,969,37,0,0,37,0,1005,69,194,0,0,201,0,270,0,15,0,0,13,0,13,0,0,0,0,0,0,0,73,206,3,0,212,0,284,0,0,0,0,0,0,3,1038,247,3,0,246,4,1289,551,18,3,0,20,0,571,32,104,0,0,103,0,135,3,9,3,0,6,0,11,0,0,0,0,0,0,0,30,109,4,0,113,0,143,0,0,0,0,0,0,0,585,124,4,0,129,0,710,320,4,0,0,4,0,329,28,38,0,0,38,0,61,0,3,0,0,3,0,3,0,0,0,0,0,0,0,28,45,0,0,45,0,69,0,0,0,0,0,0,0,348,48,0,0,48,0,400,384,15,0,0
POA6015,147,8,0,0,8,0,149,12,23,0,0,23,0,38,0,0,0,0,0,0,0,0,3,0,0,3,0,3,12,26,0,0,26,0,36,0,0,0,0,0,0,0,158,29,0,0,29,0,191,308,13,0,0,13,0,315,25,34,0,0,34,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,39,0,0,39,0,62,0,0,0,0,0,0,0,327,49,0,0,49,0,381,244,9,0,0,9,0,255,12,30,0,0,30,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,0,0,30,0,37,0,0,0,0,0,0,0,261,36,0,0,35,0,291,145,0,0,0,0,0,146,14,16,0,0,18,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,20,0,30,0,0,0,0,0,0,0,157,17,3,0,18,0,172,221,5,0,0
POA6016,410,23,0,0,23,0,437,35,116,3,0,121,3,158,0,9,0,0,9,0,9,0,0,0,0,0,0,0,35,132,3,0,132,3,172,0,0,0,0,0,0,0,443,159,3,0,159,3,606,427,21,0,0,21,0,447,33,90,6,0,96,0,125,0,3,0,0,3,0,3,0,0,0,0,0,0,0,35,90,6,0,92,0,131,0,0,0,0,0,0,0,459,113,6,0,119,0,574,212,8,0,0,8,0,225,12,29,0,0,33,0,38,0,6,0,0,6,0,6,0,0,0,0,0,0,0,12,30,0,0,36,0,47,0,0,0,0,0,0,0,224,45,0,0,42,0,264,105,8,0,0,8,0,112,4,20,0,0,23,0,28,0,5,0,0,5,0,5,0,0,0,0,0,0,0,4,24,0,0,28,0,34,0,0,0,0,0,0,0,117,31,0,0,31,0,148,139,4,0,0
POA6017,67,4,0,0,4,0,74,10,91,6,0,94,0,104,0,5,4,0,11,0,11,0,0,3,0,3,0,3,10,95,9,0,108,0,123,0,0,0,0,0,0,0,83,104,9,0,117,0,197,21,3,0,0,3,0,26,10,37,3,0,45,0,52,0,14,3,0,16,0,16,0,0,0,0,0,0,0,10,55,6,0,57,0,66,0,0,0,0,0,0,0,32,54,6,0,64,0,98,10,0,0,0,0,0,7,3,14,0,0,15,0,17,0,4,0,0,6,0,9,3,0,0,0,0,0,3,4,14,5,0,18,0,23,0,0,0,0,0,0,0,12,14,5,0,20,0,33,3,0,0,0,0,0,9,3,9,0,0,12,0,11,0,0,3,0,4,0,4,0,0,0,0,0,0,0,3,12,4,0,17,0,19,0,0,0,0,0,0,0,7,12,4,0,14,0,21,6,0,0,0
POA6018,1347,47,3,0,53,3,1403,151,298,8,0,309,0,459,0,23,7,0,34,0,37,4,4,0,0,4,0,6,157,330,16,0,345,0,505,0,0,0,0,0,0,0,1505,382,19,0,397,4,1905,1372,40,0,0,39,3,1415,121,290,9,0,290,0,410,0,21,12,0,33,0,32,0,3,0,0,3,0,3,117,311,18,0,326,0,450,3,0,0,0,0,3,3,1493,347,18,0,368,8,1863,790,18,0,0,18,3,809,62,147,4,0,154,0,213,4,12,12,0,21,0,21,0,0,0,0,0,0,0,64,158,11,0,177,0,233,0,0,0,0,0,0,0,847,180,11,0,193,4,1045,482,3,0,0,3,0,487,28,81,3,0,86,0,107,0,10,5,0,11,0,13,0,0,0,0,0,0,0,29,86,9,0,95,0,126,0,0,0,0,0,0,0,510,96,9,0,100,3,611,601,25,0,0
POA6019,799,28,0,0,28,0,827,55,100,0,0,102,0,153,0,3,0,0,3,0,5,0,0,0,0,0,0,0,60,102,3,0,103,0,157,0,0,0,0,0,0,0,856,130,3,0,127,0,986,629,21,0,0,21,0,647,35,86,6,3,96,0,134,0,6,0,0,12,0,12,0,3,0,0,3,0,3,35,101,4,3,111,0,144,0,0,0,0,0,0,0,667,117,4,3,127,4,798,380,3,0,0,3,0,389,17,62,0,0,62,0,84,0,3,4,0,4,0,4,0,3,0,0,3,0,3,17,68,4,0,73,0,92,0,0,0,0,0,0,0,395,77,4,0,80,3,480,198,5,0,0,4,0,207,19,31,0,0,36,0,49,0,3,0,0,5,0,6,0,0,0,0,0,0,0,14,36,0,0,42,0,55,0,0,0,0,0,0,0,219,44,0,0,43,0,264,293,12,0,0
POA6020,756,29,0,0,29,0,781,39,74,0,0,74,0,111,3,0,3,0,3,0,4,0,3,0,0,3,0,3,41,71,3,0,79,0,119,0,0,0,0,0,0,0,801,102,3,0,104,0,903,983,21,0,0,21,0,1002,70,85,0,0,85,0,153,3,0,3,0,3,0,5,0,0,0,0,0,0,0,70,90,3,0,87,0,159,0,0,0,0,0,0,0,1055,107,3,0,109,0,1164,577,12,0,0,12,0,595,34,33,0,0,33,0,70,3,0,0,0,3,0,3,0,0,0,0,0,0,0,31,35,0,0,41,0,74,0,0,0,0,0,0,0,615,51,0,0,48,0,664,368,13,0,0,13,0,384,18,23,0,0,23,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,0,0,23,0,43,0,0,0,0,0,0,0,385,37,0,0,36,0,420,509,7,0,0
POA6021,486,64,0,0,64,0,551,71,306,0,0,311,0,383,4,37,8,0,44,0,48,0,3,0,0,3,0,3,74,350,8,3,354,0,431,3,0,0,0,0,3,6,562,411,8,3,415,3,983,479,34,0,0,34,0,520,61,266,0,0,267,0,331,0,29,9,0,39,0,38,0,0,0,0,0,0,0,64,296,13,0,309,0,367,0,3,0,0,3,3,5,544,338,13,0,347,3,892,237,17,0,0,17,0,256,23,144,3,0,143,0,172,0,5,6,0,8,0,8,0,0,0,0,0,0,0,23,149,8,3,158,0,184,0,0,0,0,0,0,0,264,165,8,3,171,0,435,138,10,0,0,10,0,150,14,82,0,0,84,0,102,0,3,4,0,11,0,11,0,0,0,0,0,0,0,14,89,8,0,93,0,106,0,0,0,0,0,0,0,154,102,8,0,109,0,255,190,12,0,0
POA6022,214,3,0,0,3,0,220,22,18,0,0,18,0,42,0,3,4,0,7,0,7,0,0,0,0,0,0,0,22,22,4,0,29,0,50,0,0,0,0,0,0,0,240,27,4,0,31,0,273,219,0,0,0,0,0,219,14,27,0,0,27,0,45,0,5,0,0,5,0,5,0,0,0,0,0,0,0,14,30,0,0,30,0,49,0,0,0,0,0,0,0,229,30,0,0,30,0,266,96,0,0,0,0,0,94,5,5,0,0,5,0,18,0,0,4,0,3,0,3,0,0,0,0,0,0,0,5,6,4,0,12,0,18,0,0,0,0,0,0,0,102,10,4,0,11,0,114,47,0,0,0,0,0,46,8,12,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,0,18,0,0,0,0,0,0,0,52,9,0,0,9,0,63,75,0,0,0
POA6023,625,22,0,0,22,0,646,43,55,9,0,63,0,106,0,4,0,0,4,0,4,0,0,0,0,0,0,0,43,58,6,0,70,0,106,0,0,0,0,0,0,0,665,81,6,0,85,0,755,852,29,0,0,27,0,882,54,90,5,0,95,0,150,0,3,0,0,3,0,3,0,0,0,0,0,0,0,54,92,5,0,94,0,148,4,0,0,0,0,0,4,911,119,5,0,124,0,1035,505,7,0,0,7,0,521,20,46,0,0,46,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,0,0,41,0,66,0,0,0,0,0,3,3,529,55,0,0,55,3,585,266,3,0,0,3,0,271,17,21,0,0,21,0,38,0,0,3,0,3,0,3,0,0,0,0,0,0,0,17,21,3,0,28,0,41,0,0,0,0,0,0,0,287,31,3,0,32,0,318,375,6,0,0
POA6024,554,24,0,0,24,0,574,42,59,0,0,59,0,108,3,4,4,0,6,0,11,0,0,0,0,3,0,3,45,64,3,3,70,0,115,0,0,0,0,0,0,0,597,91,3,3,97,0,691,545,18,0,0,18,0,568,34,47,0,0,46,0,81,0,7,4,0,10,0,10,0,0,0,0,0,0,0,34,54,5,0,58,0,94,0,0,0,0,0,0,3,585,67,5,0,79,0,661,288,3,0,0,3,0,293,8,26,0,0,24,0,35,0,3,0,0,3,0,5,0,0,0,0,0,0,0,9,27,0,0,28,0,45,4,0,0,0,0,0,4,303,33,0,0,38,0,339,172,3,0,0,3,0,173,14,23,0,0,26,0,38,0,3,0,0,3,0,3,0,0,0,0,0,0,0,14,30,0,0,26,0,36,0,0,0,0,0,0,0,186,31,0,0,30,0,212,213,5,0,0
POA6025,1255,22,0,0,22,0,1284,79,122,4,0,131,0,206,0,12,5,0,11,0,17,0,0,0,0,0,0,0,81,133,13,0,144,0,220,0,0,0,0,0,0,0,1337,156,13,0,166,3,1504,1278,25,0,0,25,0,1301,85,128,5,0,130,0,214,0,3,4,0,9,0,10,0,0,0,0,0,0,0,89,129,9,0,138,0,221,3,0,0,0,0,3,7,1368,150,9,0,162,4,1534,706,10,0,0,10,0,720,47,66,0,0,65,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,66,0,0,70,0,113,0,0,0,0,0,3,3,749,76,0,0,84,3,840,422,9,0,0,9,0,431,28,49,3,0,48,0,72,0,3,0,0,3,0,3,0,0,0,0,0,0,0,28,52,3,0,55,0,76,0,0,0,0,0,0,0,450,57,3,0,57,0,512,638,18,0,0
POA6026,775,22,0,0,22,0,797,50,104,3,4,106,0,164,0,4,0,0,5,0,5,0,0,0,0,0,0,0,50,110,3,4,114,0,171,0,0,0,0,0,0,0,827,134,3,4,139,0,966,1006,19,0,0,19,0,1033,56,117,0,0,112,3,169,0,9,5,0,11,0,11,0,0,0,0,0,0,0,56,123,3,0,122,3,178,0,0,0,0,0,0,0,1064,141,3,0,142,3,1210,595,8,0,0,8,0,606,34,57,0,0,57,0,94,0,4,0,0,4,0,4,0,0,0,0,0,0,0,34,63,0,0,58,0,93,3,0,0,0,0,0,3,634,69,0,0,72,0,705,384,3,0,0,3,0,393,13,33,0,0,33,0,49,0,5,0,0,5,0,5,0,0,0,0,0,0,0,13,38,0,0,38,0,52,0,0,0,0,0,0,0,397,43,0,0,43,0,443,577,9,0,0
POA6027,1522,35,0,0,40,0,1558,85,205,4,0,210,0,297,4,12,10,0,23,0,23,0,0,0,0,0,0,0,92,219,13,0,229,0,324,0,0,0,0,0,0,0,1611,257,16,0,270,0,1887,1631,36,0,0,40,0,1669,76,174,3,0,187,0,257,0,14,4,0,19,0,19,0,0,0,0,0,0,0,75,189,10,0,203,0,278,0,0,0,0,0,0,0,1705,231,10,3,241,0,1950,925,23,0,0,23,0,946,49,83,3,0,85,0,134,0,5,6,0,14,0,14,0,0,0,0,0,0,0,49,92,6,0,99,0,144,4,0,0,0,0,0,4,973,113,6,0,121,0,1095,599,15,0,0,15,0,608,25,56,3,0,62,0,88,0,4,3,0,10,0,10,0,0,0,0,0,0,0,25,63,5,0,69,0,93,0,0,0,0,0,0,0,623,77,5,0,84,0,707,862,26,0,0
POA6028,819,22,0,0,22,0,842,32,116,0,0,116,0,147,3,5,0,0,5,0,9,0,0,0,0,0,0,0,32,124,0,0,124,0,161,0,0,0,0,0,0,0,851,147,0,0,147,0,1000,1062,19,0,0,19,0,1080,47,126,0,0,129,0,177,0,3,0,0,8,0,8,0,0,0,0,0,0,0,47,134,4,3,141,0,186,3,0,0,0,0,0,3,1112,151,4,3,162,0,1274,721,21,0,0,23,0,741,33,93,0,0,93,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,91,0,0,91,0,127,0,0,0,0,0,0,0,756,113,0,0,118,0,868,449,11,0,0,11,0,462,21,62,0,0,65,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,62,0,0,62,0,85,0,0,0,0,0,0,0,472,73,0,0,75,0,551,687,21,0,0
POA6029,106,6,0,0,6,0,113,8,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,3,0,8,0,0,0,0,0,0,0,114,11,0,0,11,0,123,130,0,0,0,0,0,131,4,9,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,9,0,10,0,0,0,0,0,0,0,139,11,0,0,11,0,142,88,3,0,0,3,0,94,7,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,9,0,0,0,0,0,0,0,94,4,0,0,7,0,100,55,3,0,0,3,0,59,3,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,9,0,0,0,0,0,0,0,57,8,0,0,8,0,68,83,3,0,0
POA6030,1392,60,0,0,61,0,1457,92,309,3,3,321,0,408,3,22,19,0,39,0,40,0,0,0,0,0,0,0,96,332,23,3,360,0,452,0,0,0,0,0,0,5,1487,392,22,3,419,5,1912,1452,41,0,0,41,0,1491,82,308,12,0,321,0,400,3,13,18,0,31,0,34,0,0,0,0,0,0,0,81,327,27,0,355,0,439,4,3,0,0,3,3,10,1536,370,27,0,403,3,1935,870,26,0,0,27,0,895,45,160,4,0,165,0,210,0,16,14,0,27,0,27,0,0,0,0,3,0,3,45,177,16,0,198,0,239,0,3,0,0,3,0,4,910,205,13,0,221,3,1140,590,13,0,0,13,0,608,31,83,0,0,86,0,117,3,3,5,0,13,0,13,0,0,0,0,0,0,0,34,84,9,0,91,0,127,0,0,0,0,0,4,3,628,101,9,0,112,4,736,806,16,0,0
POA6031,861,30,0,0,30,3,896,37,225,0,0,227,0,266,4,17,5,0,24,0,25,0,3,0,0,4,0,4,44,249,4,0,259,0,301,0,0,0,0,0,0,0,901,280,4,0,289,3,1194,749,26,0,0,26,3,780,43,208,0,0,206,0,244,3,14,7,0,27,0,32,0,0,0,0,3,0,3,41,223,9,0,237,0,283,0,0,0,0,0,0,0,794,244,9,0,262,3,1059,425,9,0,0,9,0,429,17,109,5,0,116,0,134,0,5,4,0,15,0,17,0,3,0,0,0,0,4,26,117,12,3,134,0,152,0,0,0,0,0,0,0,450,123,12,3,139,0,584,239,3,0,0,3,0,239,19,61,0,0,61,0,81,0,6,4,0,17,0,12,0,0,0,0,0,0,0,20,72,4,0,81,0,95,0,0,0,0,0,0,0,258,73,4,0,83,0,335,322,11,0,0
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,0,0,0
POA6033,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,13,18,0,0,0,0,0,18,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,21,0,3,0,3,0,20,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,17,0,0,0
POA6034,114,3,0,0,3,0,117,4,11,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,11,0,18,0,0,0,0,0,0,0,119,14,0,0,14,0,134,74,0,0,0,0,0,76,3,7,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,7,0,7,0,0,0,0,0,0,0,71,8,0,0,8,0,82,34,0,0,0,0,0,34,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,34,4,0,0,4,0,34,19,0,0,0,0,0,19,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,19,3,0,0,3,0,26,26,0,0,0
POA6035,459,8,0,0,8,3,467,17,28,0,0,31,0,49,0,3,0,0,3,0,3,0,0,0,0,0,0,0,17,34,0,0,35,0,51,0,0,0,0,0,0,0,471,38,0,0,39,0,518,424,11,0,0,11,0,434,14,41,0,0,41,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43,0,0,43,0,53,0,0,0,0,0,0,0,434,51,0,0,51,0,487,222,5,0,0,5,3,231,3,16,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,16,0,19,0,0,0,0,0,0,0,230,26,0,0,26,3,251,117,0,0,0,0,0,113,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,9,0,0,0,0,0,0,0,115,9,0,0,8,0,127,132,3,0,0
POA6036,769,32,0,0,32,3,805,40,127,0,0,126,0,170,0,13,3,0,17,0,17,0,0,0,4,4,0,4,42,139,4,4,142,0,187,4,0,0,0,0,4,7,820,168,4,4,175,4,996,679,9,0,0,9,0,691,39,135,3,0,141,0,178,0,13,3,0,13,0,13,0,0,0,0,0,0,0,39,150,3,0,153,0,192,0,0,0,0,0,3,0,718,158,3,0,164,3,891,410,8,0,0,8,0,418,22,62,0,0,62,0,82,0,4,3,0,9,0,9,0,0,0,0,0,0,0,20,70,3,0,71,0,97,0,0,0,0,0,0,0,436,73,3,0,76,0,513,265,7,0,0,7,0,272,13,39,0,0,36,0,51,0,3,0,0,3,0,3,0,0,0,0,0,0,0,13,44,0,0,42,0,57,0,0,0,0,0,0,0,279,47,0,0,52,0,334,340,8,0,0
POA6037,119,0,0,0,0,0,119,6,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,12,0,0,0,0,0,0,0,128,3,0,0,3,0,128,147,0,0,0,0,0,143,7,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,3,0,12,0,0,0,0,0,0,0,150,5,0,0,5,0,153,63,0,0,0,0,0,63,3,4,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,8,0,0,0,0,0,0,0,67,3,0,0,3,0,73,37,0,0,0,0,0,42,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,37,3,0,0,3,0,45,38,0,0,0
