POA_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
POA6012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,8,0,3,91,0,0,3,90,3,0,93,18,7,0,0,29,0,0,0,31,6,0,35,0,0,0,0,0,0,0,0,0,0,0,0,103,9,0,3,119,3,0,4,118,12,0,130,13,3,0,0,18,0,0,0,18,0,0,18,20,8,0,0,29,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12,0,0,45,0,0,0,50,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12,0,0,45,0,0,0,50,0,0,46,8,0,0,0,13,0,0,0,9,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,48,8,0,0
POA6014,3,0,0,3,4,0,0,0,4,0,0,0,5,0,0,5,157,21,0,0,183,7,7,8,195,10,0,206,37,0,0,0,40,0,0,0,41,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,195,24,3,0,226,8,7,12,234,18,0,254,35,5,0,0,44,3,0,3,50,3,0,49,53,12,0,0,61,0,0,0,68,3,0,66,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,92,19,0,0,110,3,0,8,114,6,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,19,0,0,109,3,0,8,114,6,0,121,24,0,0,0,27,3,0,3,34,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,117,17,4,0
POA6015,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,113,14,0,0,125,3,0,3,124,7,0,133,23,4,0,0,25,0,0,3,32,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,137,14,0,0,152,3,0,3,155,9,0,166,18,0,0,0,21,0,0,0,21,0,0,21,24,5,0,0,33,0,0,0,33,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,3,0,57,0,0,0,58,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,3,0,56,0,0,0,56,0,0,63,17,3,0,3,19,0,0,0,19,0,0,21,0,0,0,3,3,0,0,0,3,0,0,3,62,5,3,5
POA6016,4,0,0,3,4,0,0,0,3,0,0,0,4,0,0,8,69,10,4,0,81,3,0,8,82,7,0,91,5,0,0,0,9,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,70,14,3,0,87,3,0,8,93,6,0,98,13,3,0,0,19,0,0,0,19,0,0,19,11,0,0,0,16,0,0,0,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,31,0,0,0,33,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,31,0,0,0,33,0,0,34,4,0,0,0,4,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,4,0,0
POA6017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,0,0,0,12,0,0,12,7,0,0,0,4,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,15,0,0,0,15,0,0,20,4,0,0,0,4,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
POA6018,3,0,0,3,5,0,0,0,5,0,0,0,9,0,0,9,303,31,7,0,342,14,0,14,364,12,0,378,35,8,3,0,41,3,0,3,45,5,0,52,0,0,0,0,0,0,0,0,0,0,0,0,336,39,5,0,385,15,0,18,403,22,0,428,66,3,0,0,68,7,0,5,75,9,0,86,59,11,3,0,69,3,0,6,74,5,0,80,4,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,127,11,4,0,144,14,3,11,159,13,0,172,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,6,0,0,6,3,0,0,0,3,3,0,3,6,0,0,6,131,11,4,0,146,14,3,15,167,13,0,180,15,6,0,0,17,0,0,0,18,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,150,13,3,0
POA6019,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,4,142,6,0,0,155,5,0,5,157,11,0,165,20,0,0,0,21,0,0,0,26,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,166,7,0,0,176,6,0,6,183,14,0,197,32,0,0,0,31,0,0,0,28,3,0,35,18,3,0,0,24,0,0,0,24,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,59,0,0,0,55,8,0,65,0,0,0,0,0,3,0,3,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,3,0,3,6,0,0,6,59,4,0,0,65,6,0,6,67,8,0,75,10,3,0,0,13,0,0,0,13,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,71,7,3,0
POA6020,12,0,0,12,4,4,0,0,10,3,0,3,15,0,0,15,203,29,7,3,240,10,0,10,251,15,0,264,29,4,0,0,33,0,0,0,40,9,0,45,0,0,0,0,0,0,0,0,0,0,0,0,230,34,6,3,277,15,0,15,293,17,0,312,39,4,0,0,52,0,0,0,50,5,0,50,62,8,0,0,73,3,0,0,78,10,0,83,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,4,108,10,6,5,130,5,0,7,130,10,0,141,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,116,10,6,5,135,5,0,7,135,10,0,145,18,0,0,0,20,0,0,0,20,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,135,15,4,4
POA6021,3,0,0,3,7,0,0,0,7,0,0,0,6,0,0,6,133,19,0,0,151,8,0,9,160,3,0,164,36,6,0,0,48,0,0,0,48,4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,171,26,0,0,194,11,0,11,208,14,0,216,29,0,0,0,30,7,0,7,35,0,0,36,33,5,0,3,41,3,0,4,40,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,7,0,3,67,5,0,11,75,3,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,7,0,3,67,5,0,11,75,3,0,76,5,3,0,0,13,0,0,0,13,12,0,20,0,0,0,0,0,0,0,0,0,0,4,4,67,11,0,5
POA6022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,3,24,0,0,0,25,4,0,31,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,3,27,0,0,0,28,4,0,40,3,0,0,0,3,0,0,0,3,0,0,9,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,16,0,0,0,16,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,14,0,0,0,14,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0
POA6023,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5,144,21,3,0,164,0,0,0,168,8,0,175,24,5,0,0,30,0,0,0,30,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,169,21,7,0,197,0,0,0,195,14,0,205,31,7,0,0,40,0,0,0,41,8,0,47,30,4,0,0,29,9,0,9,35,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,0,0,72,10,0,10,79,8,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,64,17,0,0,75,10,0,8,81,8,0,90,11,0,0,0,11,0,0,0,16,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,70,12,0,0
POA6024,3,0,0,3,6,0,0,0,6,0,0,3,10,0,0,10,66,6,0,0,75,7,0,5,85,3,0,87,19,0,0,0,16,0,0,3,20,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,88,6,0,0,98,4,0,8,106,7,0,110,21,5,0,0,21,0,0,0,21,0,0,26,11,4,0,0,9,0,0,0,9,3,0,13,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,8,3,0,37,0,0,0,37,7,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,28,8,3,0,40,0,0,0,39,7,0,44,7,3,0,3,11,0,0,0,11,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,33,9,3,4
POA6025,3,0,0,9,12,0,0,0,15,0,0,0,13,0,0,15,270,34,3,3,312,12,4,13,329,15,0,349,44,5,0,0,48,0,0,3,51,13,0,66,0,0,0,0,0,0,0,0,0,0,0,0,313,39,3,3,364,18,4,16,380,29,0,406,40,8,0,0,53,3,0,3,56,10,0,63,79,14,0,0,90,3,0,3,97,3,0,102,6,3,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,121,21,3,0,146,6,0,6,159,15,0,171,3,0,0,0,3,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,8,0,0,0,9,0,0,10,128,21,3,0,156,7,0,7,164,17,0,179,15,0,0,0,18,0,0,0,16,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,148,28,3,0
POA6026,4,0,0,4,4,3,0,0,9,0,0,0,9,0,0,6,221,33,3,4,255,4,0,4,262,15,0,283,43,8,3,0,44,0,0,0,49,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,262,35,3,4,308,7,0,7,310,23,0,336,47,4,0,0,60,3,0,3,59,4,0,65,57,10,3,0,66,4,0,4,74,0,0,75,0,3,4,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,110,12,5,0,129,7,0,7,137,4,0,139,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,9,0,0,0,9,0,0,6,117,12,5,4,140,7,0,7,144,5,0,150,19,3,0,0,24,0,0,0,24,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,134,19,6,6
POA6027,8,0,0,8,10,0,0,0,14,4,0,4,13,4,0,19,296,35,7,5,343,12,0,18,357,15,3,375,49,6,3,3,67,0,0,0,71,15,0,86,0,0,0,0,0,0,0,0,0,0,0,0,350,43,9,4,411,17,0,20,425,39,3,463,79,6,3,0,92,4,0,3,97,8,0,101,53,11,3,0,69,3,3,3,76,4,0,80,4,0,3,0,8,0,0,0,8,0,0,8,3,0,0,0,3,0,0,0,3,0,0,3,145,20,5,0,175,8,3,11,183,13,0,194,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,6,0,0,6,4,0,0,0,4,0,0,0,6,0,0,6,144,26,5,0,180,8,3,13,185,13,0,204,20,4,0,0,32,3,0,4,31,14,0,44,0,0,0,0,0,0,0,0,0,0,0,0,166,32,9,0
POA6028,16,0,0,16,20,3,4,0,20,5,0,5,32,0,0,30,310,32,3,5,347,13,0,13,359,14,0,371,47,3,3,0,58,4,0,4,62,7,0,66,0,0,0,0,0,0,0,0,0,0,0,0,357,37,10,5,405,11,0,11,424,17,0,442,61,7,3,0,71,0,0,3,68,0,0,68,51,3,0,0,56,0,0,0,62,0,0,61,4,0,3,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,120,8,3,0,131,0,0,3,136,0,0,141,3,0,0,0,5,3,0,3,9,0,0,10,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,5,3,0,3,8,4,0,10,121,12,3,0,136,9,0,7,144,3,0,151,25,5,3,0,39,0,0,0,39,7,0,43,0,0,0,0,0,0,0,0,0,0,0,0,147,17,9,0
POA6029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,0,0,40,3,0,3,40,3,0,42,3,0,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,42,7,0,0,45,3,0,3,45,3,0,51,9,3,0,0,9,0,0,0,10,0,0,13,8,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,14,0,0,0,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,17,0,0,0,20,0,0,23,3,0,0,0,5,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0
POA6030,11,3,0,14,10,0,0,0,9,4,0,4,12,3,0,17,259,38,3,8,307,20,0,21,327,8,3,336,44,12,3,3,53,7,0,3,59,10,0,76,0,0,0,0,0,0,0,0,0,0,0,3,299,52,5,10,366,22,3,23,390,19,3,412,54,7,3,0,66,3,0,3,67,4,0,69,32,16,0,0,47,3,0,3,48,0,0,50,3,0,3,0,9,0,0,0,5,0,0,5,0,0,0,0,0,3,0,3,0,0,0,0,87,26,3,0,116,13,0,13,129,3,0,130,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,4,0,0,4,0,0,0,6,0,0,6,93,29,3,0,120,13,0,13,137,3,0,141,13,0,0,0,13,0,0,0,19,13,0,28,0,0,0,0,0,0,0,0,0,0,0,0,101,27,3,0
POA6031,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,117,11,3,0,129,3,0,3,131,3,3,143,13,0,0,0,23,0,0,0,23,9,0,29,0,0,0,0,0,0,0,0,0,0,0,0,129,13,7,3,151,0,0,7,159,7,3,166,20,0,0,0,26,3,0,3,24,0,0,28,12,9,0,0,20,0,0,0,26,0,0,24,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0,47,4,0,4,53,0,0,52,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,38,11,0,0,50,6,0,6,54,3,0,58,8,0,0,0,8,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,0
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,9,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
POA6035,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,18,8,0,0,27,3,0,3,25,0,0,25,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,29,3,0,3,32,0,0,36,3,3,0,0,10,0,0,0,10,0,0,10,7,0,0,0,7,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,13,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,13,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0
POA6036,0,0,0,0,7,0,0,0,6,0,0,0,7,0,0,7,83,7,3,3,100,6,0,6,105,3,0,111,12,0,0,0,12,3,0,3,17,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,100,7,3,3,113,10,0,10,120,7,0,129,19,0,0,0,19,0,0,0,19,0,0,19,9,0,0,0,8,0,0,0,8,3,0,13,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,31,0,0,0,30,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,3,0,0,31,0,0,0,32,4,0,37,0,0,0,0,8,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0
POA6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,13,0,0,0,13,0,0,13,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,21,0,0,0,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
