region_id,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
POA6012,0,190,8,198,10,408,23,441,3,229,6,238,5,259,25,289,11,497,46,554,14,487,43,544,14,522,28,564,19,462,36,517,18,329,22,369,28,128,11,167,25,30,6,61,147,3541,254,3942,6,208,6,220,6,582,31,619,3,413,26,442,0,307,12,319,0,533,49,582,12,527,32,571,20,589,24,633,20,479,28,527,23,317,17,357,53,157,13,223,82,72,8,162,225,4184,246,4655,6,398,14,418,16,990,54,1060,6,642,32,680,5,566,37,608,11,1030,95,1136,26,1014,75,1115,34,1111,52,1197,39,941,64,1044,41,646,39,726,81,285,24,390,107,102,14,223,372,7725,500,8597
POA6014,3,612,28,643,25,1300,39,1364,8,548,20,576,7,644,48,699,11,1206,128,1345,12,1300,67,1379,6,1259,54,1319,16,881,47,944,21,489,17,527,47,295,15,357,46,115,12,173,202,8649,475,9326,0,615,32,647,19,1137,36,1192,4,521,11,536,3,651,39,693,8,1205,77,1290,12,1450,48,1510,18,1272,51,1341,12,876,38,926,21,535,18,574,84,465,27,576,198,153,22,373,379,8880,399,9658,3,1227,60,1290,44,2437,75,2556,12,1069,31,1112,10,1295,87,1392,19,2411,205,2635,24,2750,115,2889,24,2531,105,2660,28,1757,85,1870,42,1024,35,1101,131,760,42,933,244,268,34,546,581,17529,874,18984
POA6015,0,131,0,131,3,503,22,528,4,287,11,302,0,209,9,218,3,121,4,128,0,301,11,312,3,523,17,543,3,342,16,361,3,287,12,302,12,195,10,217,21,54,6,81,52,2953,118,3123,0,112,0,112,6,478,18,502,7,298,13,318,0,126,6,132,0,120,10,130,0,394,14,408,5,527,27,559,3,343,8,354,5,306,16,327,37,233,8,278,30,74,6,110,93,3011,126,3230,0,243,0,243,9,981,40,1030,11,585,24,620,0,335,15,350,3,241,14,258,0,695,25,720,8,1050,44,1102,6,685,24,715,8,593,28,629,49,428,18,495,51,128,12,191,145,5964,244,6353
POA6016,6,369,21,396,9,518,30,557,3,177,12,192,5,338,44,387,10,842,101,953,7,818,63,888,19,560,34,613,12,369,37,418,21,158,7,186,21,93,8,122,25,29,4,58,138,4271,361,4770,3,329,17,349,6,486,28,520,0,210,6,216,4,330,39,373,3,817,77,897,16,828,36,880,18,580,27,625,24,338,22,384,22,169,12,203,53,147,24,224,60,55,7,122,209,4289,295,4793,9,698,38,745,15,1004,58,1077,3,387,18,408,9,668,83,760,13,1659,178,1850,23,1646,99,1768,37,1140,61,1238,36,707,59,802,43,327,19,389,74,240,32,346,85,84,11,180,347,8560,656,9563
POA6017,0,90,21,111,4,107,14,125,0,43,7,50,0,173,47,220,6,563,99,668,7,262,55,324,5,178,31,214,9,155,34,198,4,71,8,83,27,48,11,86,13,6,0,19,75,1696,327,2098,0,106,21,127,0,98,11,109,0,53,13,66,0,187,26,213,3,494,64,561,9,229,25,263,5,162,25,192,5,144,24,173,11,93,4,108,32,57,8,97,16,16,8,40,81,1639,229,1949,0,196,42,238,4,205,25,234,0,96,20,116,0,360,73,433,9,1057,163,1229,16,491,80,587,10,340,56,406,14,299,58,371,15,164,12,191,59,105,19,183,29,22,8,59,156,3335,556,4047
POA6018,11,1111,62,1184,47,1896,84,2027,11,916,47,974,14,1037,62,1113,30,2278,218,2526,35,2406,147,2588,38,2007,100,2145,52,1518,73,1643,52,1082,62,1196,102,624,58,784,87,154,45,286,479,15029,958,16466,4,1057,45,1106,23,1884,94,2001,6,972,55,1033,9,1055,55,1119,25,2390,141,2556,42,2561,106,2709,66,2069,84,2219,63,1745,84,1892,70,1293,73,1436,225,820,87,1132,320,274,118,712,853,16120,942,17915,15,2168,107,2290,70,3780,178,4028,17,1888,102,2007,23,2092,117,2232,55,4668,359,5082,77,4967,253,5297,104,4076,184,4364,115,3263,157,3535,122,2375,135,2632,327,1444,145,1916,407,428,163,998,1332,31149,1900,34381
POA6019,3,541,53,597,21,943,57,1021,5,587,40,632,9,720,107,836,6,1935,299,2240,15,1431,162,1608,10,1172,113,1295,14,866,91,971,19,528,54,601,32,315,37,384,33,75,9,117,167,9113,1022,10302,3,486,47,536,6,748,47,801,3,451,26,480,4,730,74,808,9,1805,162,1976,15,1371,104,1490,12,1167,67,1246,30,942,66,1038,27,709,49,785,64,395,37,496,65,110,21,196,238,8914,700,9852,6,1027,100,1133,27,1691,104,1822,8,1038,66,1112,13,1450,181,1644,15,3740,461,4216,30,2802,266,3098,22,2339,180,2541,44,1808,157,2009,46,1237,103,1386,96,710,74,880,98,185,30,313,405,18027,1722,20154
POA6020,8,518,31,557,22,1191,45,1258,5,699,25,729,0,653,37,690,7,850,55,912,9,1170,68,1247,13,1399,71,1483,20,1624,65,1709,26,877,44,947,46,286,14,346,37,80,6,123,193,9347,461,10001,6,487,37,530,12,1154,55,1221,8,673,31,712,5,605,16,626,6,812,41,859,11,1316,44,1371,13,1593,57,1663,27,1677,64,1768,30,839,31,900,57,345,21,423,79,114,16,209,254,9615,413,10282,14,1005,68,1087,34,2345,100,2479,13,1372,56,1441,5,1258,53,1316,13,1662,96,1771,20,2486,112,2618,26,2992,128,3146,47,3301,129,3477,56,1716,75,1847,103,631,35,769,116,194,22,332,447,18962,874,20283
POA6021,3,617,46,666,30,927,43,1000,3,489,29,521,8,648,49,705,12,1375,104,1491,23,1319,62,1404,28,1093,59,1180,33,886,43,962,68,735,36,839,106,373,28,507,58,62,9,129,372,8524,508,9404,7,537,34,578,11,914,44,969,5,475,22,502,5,596,21,622,13,1356,75,1444,22,1355,50,1427,34,1129,42,1205,42,1181,38,1261,74,772,38,884,165,409,38,612,146,83,11,240,524,8807,413,9744,10,1154,80,1244,41,1841,87,1969,8,964,51,1023,13,1244,70,1327,25,2731,179,2935,45,2674,112,2831,62,2222,101,2385,75,2067,81,2223,142,1507,74,1723,271,782,66,1119,204,145,20,369,896,17331,921,19148
POA6022,5,166,3,174,6,266,4,276,3,141,7,151,5,164,3,172,0,326,11,337,5,358,13,376,4,257,10,271,25,318,6,349,17,251,4,272,9,77,4,90,14,10,0,24,93,2334,65,2492,4,173,10,187,3,273,3,279,3,109,4,116,3,125,3,131,3,329,7,339,0,333,8,341,10,307,8,325,4,391,12,407,14,221,6,241,16,77,0,93,15,18,0,33,75,2356,61,2492,9,339,13,361,9,539,7,555,6,250,11,267,8,289,6,303,3,655,18,676,5,691,21,717,14,564,18,596,29,709,18,756,31,472,10,513,25,154,4,183,29,28,0,57,168,4690,126,4984
POA6023,7,483,9,499,19,1026,21,1066,9,581,7,597,7,463,16,486,8,622,26,656,9,1021,31,1061,0,986,29,1015,22,1079,26,1127,22,601,15,638,23,184,7,214,33,50,6,89,159,7096,193,7448,3,479,12,494,11,879,16,906,3,483,13,499,8,394,9,411,9,639,19,667,9,1128,28,1165,13,1125,25,1163,29,1172,21,1222,26,523,15,564,63,236,11,310,103,63,11,177,277,7121,180,7578,10,962,21,993,30,1905,37,1972,12,1064,20,1096,15,857,25,897,17,1261,45,1323,18,2149,59,2226,13,2111,54,2178,51,2251,47,2349,48,1124,30,1202,86,420,18,524,136,113,17,266,436,14217,373,15026
POA6024,6,467,21,494,26,757,27,810,4,372,12,388,12,394,20,426,7,850,44,901,9,955,33,997,8,765,33,806,31,913,24,968,20,538,17,575,35,180,6,221,27,35,0,62,185,6226,237,6648,4,449,19,472,3,700,21,724,3,363,16,382,0,378,19,397,8,845,37,890,9,957,30,996,21,811,32,864,24,1058,18,1100,33,495,8,536,42,216,18,276,74,58,8,140,221,6330,226,6777,10,916,40,966,29,1457,48,1534,7,735,28,770,12,772,39,823,15,1695,81,1791,18,1912,63,1993,29,1576,65,1670,55,1971,42,2068,53,1033,25,1111,77,396,24,497,101,93,8,202,406,12556,463,13425
POA6025,9,964,68,1041,57,1825,83,1965,16,1029,44,1089,12,1010,53,1075,19,1726,105,1850,21,2008,129,2158,27,2030,96,2153,49,1855,95,1999,69,907,40,1016,56,334,20,410,25,71,6,102,360,13759,739,14858,3,881,61,945,20,1746,78,1844,10,1017,38,1065,3,929,37,969,8,1741,83,1832,20,2029,92,2141,30,2345,85,2460,46,1937,63,2046,50,852,30,932,93,397,14,504,94,99,7,200,377,13973,588,14938,12,1845,129,1986,77,3571,161,3809,26,2046,82,2154,15,1939,90,2044,27,3467,188,3682,41,4037,221,4299,57,4375,181,4613,95,3792,158,4045,119,1759,70,1948,149,731,34,914,119,170,13,302,737,27732,1327,29796
POA6026,7,571,27,605,42,1444,23,1509,17,924,28,969,10,741,26,777,14,899,45,958,10,1260,50,1320,14,1760,60,1834,36,1641,49,1726,33,529,32,594,50,323,49,422,62,83,37,182,295,10175,426,10896,3,568,23,594,21,1381,36,1438,11,907,15,933,7,643,21,671,16,894,27,937,13,1504,37,1554,19,2086,43,2148,34,1504,41,1579,34,622,41,697,112,447,66,625,141,122,88,351,411,10678,438,11527,10,1139,50,1199,63,2825,59,2947,28,1831,43,1902,17,1384,47,1448,30,1793,72,1895,23,2764,87,2874,33,3846,103,3982,70,3145,90,3305,67,1151,73,1291,162,770,115,1047,203,205,125,533,706,20853,864,22423
POA6027,14,1115,71,1200,86,2524,99,2709,31,1648,78,1757,18,1752,122,1892,20,2481,192,2693,26,2673,169,2868,44,3042,178,3264,75,2427,119,2621,60,1035,32,1127,97,472,26,595,56,85,5,146,527,19254,1091,20872,12,1151,55,1218,43,2492,104,2639,22,1609,68,1699,3,1663,87,1753,28,2372,114,2514,24,2918,113,3055,63,3391,112,3566,87,2442,86,2615,66,1059,42,1167,135,543,30,708,157,101,30,288,640,19741,841,21222,26,2266,126,2418,129,5016,203,5348,53,3257,146,3456,21,3415,209,3645,48,4853,306,5207,50,5591,282,5923,107,6433,290,6830,162,4869,205,5236,126,2094,74,2294,232,1015,56,1303,213,186,35,434,1167,38995,1932,42094
POA6028,5,616,19,640,50,1637,45,1732,18,1041,23,1082,15,682,20,717,4,828,44,876,7,1582,46,1635,14,1740,55,1809,19,859,21,899,15,355,12,382,40,138,5,183,11,21,0,32,198,9499,290,9987,6,576,15,597,29,1599,36,1664,7,992,15,1014,9,619,5,633,8,910,20,938,11,1853,37,1901,25,1832,35,1892,23,786,15,824,21,380,7,408,46,157,3,206,27,16,4,47,212,9720,192,10124,11,1192,34,1237,79,3236,81,3396,25,2033,38,2096,24,1301,25,1350,12,1738,64,1814,18,3435,83,3536,39,3572,90,3701,42,1645,36,1723,36,735,19,790,86,295,8,389,38,37,4,79,410,19219,482,20111
POA6029,0,66,8,74,4,165,14,183,3,64,6,73,0,76,17,93,3,121,9,133,0,182,15,197,0,194,15,209,3,154,4,161,4,96,3,103,6,50,0,56,6,14,0,20,29,1182,91,1302,0,85,4,89,0,197,8,205,0,64,4,68,0,66,3,69,0,111,8,119,0,208,9,217,0,195,7,202,4,156,13,173,3,95,3,101,13,62,4,79,18,19,3,40,38,1258,66,1362,0,151,12,163,4,362,22,388,3,128,10,141,0,142,20,162,3,232,17,252,0,390,24,414,0,389,22,411,7,310,17,334,7,191,6,204,19,112,4,135,24,33,3,60,67,2440,157,2664
POA6030,9,1517,146,1672,101,2848,226,3175,36,1430,108,1574,13,1096,117,1226,23,2213,204,2440,29,2703,288,3020,36,2234,175,2445,56,1180,100,1336,64,785,38,887,71,457,30,558,55,110,11,176,493,16573,1443,18509,11,1371,134,1516,50,2687,200,2937,12,1382,117,1511,8,1220,105,1333,38,2458,195,2691,36,2993,233,3262,56,2292,164,2512,61,1271,77,1409,69,897,53,1019,126,465,37,628,148,103,11,262,615,17139,1326,19080,20,2888,280,3188,151,5535,426,6112,48,2812,225,3085,21,2316,222,2559,61,4671,399,5131,65,5696,521,6282,92,4526,339,4957,117,2451,177,2745,133,1682,91,1906,197,922,67,1186,203,213,22,438,1108,33712,2769,37589
POA6031,7,510,33,550,38,950,45,1033,11,417,28,456,8,340,15,363,6,878,59,943,3,881,53,937,10,645,35,690,10,310,19,339,9,131,13,153,8,42,4,54,0,7,0,7,110,5111,304,5525,0,544,16,560,16,987,46,1049,5,416,16,437,3,430,14,447,7,954,33,994,5,993,37,1035,18,625,26,669,9,337,24,370,11,150,13,174,13,46,0,59,6,3,3,12,93,5485,228,5806,7,1054,49,1110,54,1937,91,2082,16,833,44,893,11,770,29,810,13,1832,92,1937,8,1874,90,1972,28,1270,61,1359,19,647,43,709,20,281,26,327,21,88,4,113,6,10,3,19,203,10596,532,11331
