POA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
POA6012,0,0,0,0,0,0,0,0,0,0,175,361,366,493,342,265,258,115,32,2408,0,0,0,9,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,9,14,9,4,3,0,0,36,0,0,0,0,0,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,17,29,92,89,63,53,20,6,367,0,0,0,0,0,0,0,0,0,0,3,0,3,19,3,0,0,0,0,32,0,0,0,3,0,3,4,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,0,0,0,17,3,0,0,28,3,3,5,0,0,53,0,0,0,0,3,0,0,3,0,12,0,0,0,10,0,0,0,0,3,14,0,0,0,3,0,0,0,0,0,4
POA6014,0,0,0,3,0,0,0,0,0,3,556,1301,879,1386,815,660,375,219,148,6337,0,0,0,12,3,0,3,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,16,11,8,4,0,0,48,0,0,0,7,0,0,0,0,0,8,0,12,19,48,12,6,4,3,0,108,0,0,0,0,0,3,4,0,0,9,0,0,0,0,0,3,0,0,0,4,9,46,55,154,165,107,74,44,17,671,0,0,0,0,0,0,0,0,0,5,0,6,3,23,9,3,3,3,0,43,0,0,3,18,9,4,8,3,0,43,0,0,0,0,0,0,5,3,0,9,3,3,0,7,3,4,0,0,0,25,8,13,25,155,17,5,13,3,3,247,0,0,3,3,0,4,3,0,0,15,0,0,0,21,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
POA6015,0,0,0,0,0,0,0,0,0,0,104,443,383,264,314,259,153,154,71,2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,3,5,7,3,3,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,15,30,34,61,49,30,25,11,265,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,13,0,0,0,6,3,3,4,3,0,26,0,0,0,0,0,7,0,3,6,13,0,7,0,0,0,0,0,0,0,13,0,0,0,3,7,3,3,0,3,27,0,0,0,3,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
POA6016,0,0,0,0,0,0,0,0,0,0,326,572,325,893,391,274,97,41,21,2942,0,3,0,3,0,0,0,0,0,4,0,0,0,8,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,0,6,0,0,28,0,0,0,4,0,0,0,0,0,5,0,0,0,0,3,6,0,0,0,6,0,6,10,97,79,49,43,5,3,297,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,3,0,5,3,3,3,0,0,18,0,0,0,0,0,0,3,10,4,20,0,4,3,7,8,0,0,0,0,22,5,21,37,170,11,0,3,3,0,263,0,0,0,6,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,13,0,0,0,3,3,0,0,0,0,4
POA6017,0,0,4,4,0,0,0,0,0,8,89,54,92,400,87,81,45,18,11,875,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,19,3,7,0,0,0,26,0,0,0,0,0,0,0,3,0,8,0,0,0,6,0,0,0,0,0,5,0,0,7,25,19,21,25,4,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,13,11,39,154,9,0,4,0,0,228,0,0,3,0,0,0,0,0,0,10,0,5,0,25,0,0,0,0,0,31,0,0,0,7,0,0,0,0,0,9
POA6018,0,0,0,4,0,0,0,0,0,4,1129,1931,1441,3066,1395,1065,678,477,170,11362,0,0,0,3,3,0,0,0,0,4,0,0,0,3,0,3,4,0,0,12,0,0,0,0,0,3,0,0,0,3,3,6,4,30,17,11,0,3,3,65,0,0,0,7,0,0,0,0,0,9,5,19,36,135,31,23,20,10,4,282,0,0,0,10,0,11,8,16,3,42,0,3,0,12,0,0,3,0,0,24,12,69,77,395,270,198,170,94,38,1317,0,0,0,0,0,0,0,0,0,8,3,3,3,19,8,3,6,0,0,46,0,3,6,26,14,4,18,8,0,87,0,0,0,0,0,3,8,3,9,23,3,12,9,21,12,6,5,0,0,77,0,29,19,109,46,21,12,13,5,255,0,0,14,14,3,0,4,3,3,47,0,5,4,35,18,11,5,0,0,77,0,0,3,3,4,0,0,0,0,14
POA6019,0,0,4,0,0,0,0,0,0,3,600,1009,907,2087,797,601,384,265,73,6725,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,33,6,7,0,4,0,62,0,0,0,3,0,0,0,0,0,5,0,8,5,14,9,7,4,4,0,51,0,0,0,3,0,0,4,3,0,8,0,0,0,4,3,0,0,0,0,11,4,30,58,316,180,107,97,41,12,856,0,0,0,3,0,0,0,0,0,8,0,3,0,27,3,0,0,0,0,40,0,3,5,29,14,6,5,7,0,73,0,3,0,0,6,0,4,0,0,13,0,0,3,3,0,3,0,0,0,14,3,0,7,18,6,7,3,10,3,72,0,3,0,7,0,0,0,3,0,17,0,0,0,6,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4
POA6020,0,0,0,0,0,0,0,0,0,0,537,1193,966,1346,841,928,747,237,84,6886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,3,6,0,0,20,0,0,0,4,0,0,0,0,0,10,0,4,0,15,9,4,3,0,0,34,0,0,0,3,0,3,4,5,3,17,0,0,0,0,0,3,0,0,0,8,5,76,55,178,207,181,178,86,22,995,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,0,0,6,7,9,3,20,10,0,52,0,0,0,0,0,7,9,0,0,19,0,4,3,0,0,3,0,4,0,14,3,5,5,13,16,11,10,6,3,71,0,0,3,4,0,0,0,3,0,15,0,0,0,8,3,0,4,0,0,12,0,0,0,0,0,0,0,0,0,3
POA6021,0,0,9,11,3,4,0,0,0,24,565,854,762,1525,688,505,279,185,38,5398,0,0,0,7,0,0,0,0,0,5,0,0,3,9,14,6,0,0,0,41,0,0,0,0,0,0,0,0,0,0,3,0,3,13,5,4,0,0,0,24,0,0,0,8,0,0,3,0,0,12,3,4,22,57,25,23,9,8,3,158,0,0,0,8,12,13,24,23,4,85,0,4,0,0,0,10,4,3,0,23,0,14,33,124,67,63,54,34,9,393,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,0,0,0,0,13,0,0,5,9,3,0,3,4,0,24,0,0,0,0,9,14,28,46,12,112,3,0,3,20,3,7,3,3,0,43,3,20,62,212,42,24,17,12,5,382,0,0,3,16,3,3,3,0,0,27,0,0,6,26,10,3,0,0,0,44,0,0,0,11,0,0,0,0,0,14
POA6022,0,0,0,0,0,0,0,0,0,0,157,261,206,467,183,151,193,55,13,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,7,8,45,39,26,31,17,9,177,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,4,3,0,6,0,0,0,4,0,0,0,0,0,4,0,0,3,16,0,3,12,3,0,36,0,0,3,0,0,0,0,0,0,6,0,0,4,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3
POA6023,0,0,0,0,0,0,0,0,0,0,421,1003,677,1066,522,530,445,146,42,4859,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,3,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,5,5,17,4,7,4,0,3,40,0,0,0,0,0,3,3,3,0,14,0,0,0,0,0,0,3,0,0,3,4,114,78,177,189,120,142,45,24,891,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,5,6,3,15,6,3,37,0,0,0,0,0,4,3,4,0,13,0,0,0,0,3,3,0,0,0,10,0,9,3,18,9,9,7,6,0,64,0,0,3,0,0,0,0,0,0,7,0,0,0,12,4,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0
POA6024,0,3,0,0,0,0,0,0,0,0,396,717,555,1233,454,425,464,116,33,4395,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,17,0,0,0,0,0,4,0,0,0,4,3,0,8,18,11,6,4,0,0,54,0,0,0,4,0,4,3,5,0,21,0,0,0,3,0,0,3,0,0,3,3,32,29,136,118,93,116,51,6,578,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,11,0,0,0,9,11,3,15,7,0,50,0,0,0,0,0,3,11,3,0,18,0,0,0,5,3,0,0,0,0,8,3,6,11,30,16,0,12,8,6,93,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
POA6025,0,0,0,3,0,0,0,0,0,8,869,1586,1403,2396,1015,901,628,181,69,9042,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,5,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,10,9,12,9,6,0,0,0,47,0,3,0,3,0,3,0,0,0,9,0,3,7,29,13,13,3,0,0,73,0,0,0,3,0,5,4,3,0,12,0,0,0,3,3,3,3,3,0,24,29,129,152,399,430,352,338,130,43,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,4,0,0,19,0,5,4,21,11,16,29,13,3,102,0,0,0,0,0,0,4,0,0,5,0,0,3,8,3,3,0,0,0,15,0,8,3,28,16,17,21,4,4,95,0,5,0,6,0,3,4,0,0,20,0,0,0,5,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0
