POA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
POA6012,0,0,0,4,0,4,89,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,79,3,3,0,0,0,0,4,0,4,97,0,0,0,0,0,0,0,0,0,0,0,322,21,17,9,0,6,0,6,0,13,393,221,0,0,0,4,0,0,0,0,5,229,51,3,0,0,0,0,0,0,0,0,55,3,0,3,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,54,8,3,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,274,9,3,0,4,0,0,0,0,3,301,97,4,0,0,0,0,0,0,0,0,101,19,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
POA6014,0,0,0,3,3,3,177,7,0,6,0,3,3,0,0,6,8,32,0,0,0,0,0,0,0,0,0,0,0,154,13,14,0,5,3,0,3,7,11,209,0,0,0,0,0,0,0,0,0,0,0,617,43,46,8,8,0,9,4,7,14,759,342,3,7,0,0,0,0,3,0,5,366,93,0,3,0,4,0,3,0,0,0,106,10,0,0,0,0,0,0,0,3,4,22,0,0,0,0,0,0,0,0,0,0,0,110,0,3,0,3,0,5,0,3,4,132,0,0,0,0,0,0,0,0,0,0,0,453,6,13,4,7,0,8,3,3,7,501,185,3,8,0,0,0,0,0,0,9,213,71,3,0,0,0,0,0,0,0,0,77,15,0,3,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,84,3,3,0,3,0,0,0,0,0,96,3,0,0,0,0,0
POA6015,0,0,0,0,0,0,71,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,67,3,9,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,3,269,23,20,3,5,3,0,0,0,0,319,135,10,3,0,0,0,0,0,0,4,152,60,3,0,0,0,0,0,0,0,0,65,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,59,3,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0,0,0,0,0,3,200,10,3,0,0,0,0,0,0,4,218,93,0,9,0,0,0,0,0,0,4,107,56,3,0,0,0,0,0,0,0,4,62,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,62,3,0,0,0,0,0,0,0,4,69,0,0,0,0,0,0
POA6016,0,0,0,0,0,3,102,12,3,0,0,0,3,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,105,11,0,0,0,3,0,4,3,4,133,0,0,0,0,0,0,0,0,0,0,0,298,12,10,0,0,3,0,7,3,3,344,137,0,3,3,3,0,0,0,0,0,143,90,3,0,0,0,0,0,0,0,3,94,29,0,0,0,3,3,0,0,0,0,39,3,0,0,0,0,0,0,0,0,0,3,124,3,0,0,3,3,0,0,0,3,135,0,0,0,0,0,0,0,0,0,0,0,257,6,3,3,3,3,0,0,0,5,279,41,0,0,0,0,0,0,0,0,3,45,83,0,0,0,0,0,0,0,0,0,81,22,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,3,0,0,0,111,3,0,0,0,0,0
POA6017,0,0,0,3,0,0,65,7,3,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,62,6,3,0,3,0,0,3,0,3,90,0,0,0,0,0,0,0,0,0,0,0,147,13,6,0,3,0,0,3,0,4,178,63,3,0,3,0,0,0,0,0,3,68,42,0,0,0,0,0,0,0,0,3,46,7,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,0,0,0,3,0,3,56,0,0,0,0,0,0,0,0,0,0,0,114,9,0,3,0,0,0,3,0,6,127,20,3,0,0,0,0,0,0,0,0,26,40,0,0,0,0,0,0,0,0,0,38,15,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
POA6018,6,0,7,3,0,4,387,36,4,3,0,8,0,3,4,0,8,67,0,0,0,0,0,0,0,0,0,0,3,325,43,33,6,11,0,8,4,0,13,459,0,0,0,0,0,0,0,0,0,0,3,1138,136,72,11,18,9,4,12,0,33,1437,759,10,11,0,5,0,3,3,0,7,804,249,9,8,3,0,0,0,0,3,8,279,38,4,12,3,5,3,4,0,0,7,78,0,0,0,0,0,0,0,0,0,0,0,288,22,20,7,6,3,7,0,4,16,361,5,0,0,0,0,0,0,0,0,0,5,1052,33,28,7,8,3,5,3,4,27,1175,412,15,15,0,0,0,0,0,0,17,464,165,10,3,0,3,0,3,0,0,4,184,56,4,3,0,0,0,0,0,3,3,71,5,0,0,0,0,0,0,0,0,3,8,221,10,5,0,3,0,3,0,3,14,260,3,0,0,0,0,0
POA6019,0,0,0,3,4,5,138,4,0,4,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,7,112,9,11,0,0,0,0,3,3,6,150,0,0,0,0,0,0,0,0,0,0,0,617,55,38,9,7,5,3,9,3,25,773,448,7,9,0,0,0,0,0,0,3,472,70,3,0,0,0,0,0,0,0,5,84,7,3,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,76,3,3,0,3,0,0,0,0,9,98,0,0,0,0,0,0,0,0,0,0,0,527,11,15,0,3,0,0,0,0,10,566,185,4,4,3,0,0,0,0,0,3,196,72,0,0,0,0,0,0,3,0,0,77,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,3,0,0,89,3,0,0,0,0,0
POA6020,0,0,0,0,0,8,207,18,4,3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,188,24,11,0,0,0,0,0,0,8,232,0,0,0,0,0,0,0,0,0,0,0,965,98,39,3,0,7,0,3,0,13,1126,683,18,4,4,3,0,0,0,0,11,728,162,0,3,0,0,0,0,0,0,0,173,11,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,179,0,7,0,0,3,0,0,0,0,193,3,0,0,0,0,0,0,0,0,0,7,865,26,16,4,3,3,0,0,3,10,926,258,11,16,0,0,0,0,3,3,5,291,68,0,0,0,0,0,0,0,0,0,72,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
POA6021,4,0,0,0,0,12,488,56,6,10,0,5,3,0,3,0,6,93,5,0,0,0,0,0,0,0,0,0,11,488,34,26,10,11,3,0,3,0,14,590,0,0,0,0,0,0,0,0,0,0,4,823,55,33,8,7,3,0,3,0,23,979,336,5,8,0,0,0,0,0,0,13,367,534,5,0,0,0,0,0,0,0,15,565,113,3,3,0,0,3,0,0,3,7,136,4,0,0,0,0,0,0,0,0,3,7,657,12,7,0,0,4,0,4,3,27,702,3,0,0,0,0,0,0,0,0,0,5,1000,14,12,0,0,3,0,3,3,36,1075,162,0,3,0,0,3,0,0,0,9,178,373,3,0,0,0,0,0,3,0,9,396,171,3,0,0,0,0,0,0,0,8,188,8,0,0,0,0,0,0,0,0,0,8,559,4,0,0,0,0,0,4,0,18,588,0,0,0,0,0,0
POA6022,0,0,0,0,0,0,60,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,55,0,3,3,0,3,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,179,4,7,3,0,3,0,0,0,3,206,153,0,0,0,0,0,0,0,0,0,159,56,3,0,0,0,0,0,0,0,0,60,5,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,67,3,0,0,0,3,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,214,4,0,0,0,3,0,0,0,0,227,89,0,0,0,0,0,0,0,0,0,90,29,0,0,0,0,0,0,0,0,0,29,13,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
POA6023,4,0,0,0,0,3,185,11,0,3,0,0,0,3,0,3,3,17,3,0,0,0,0,0,0,0,0,0,3,171,10,18,0,4,3,3,0,3,7,211,0,0,0,0,0,0,0,0,0,0,0,716,51,36,3,7,3,3,0,4,10,830,494,14,16,0,3,0,0,0,0,3,532,138,0,0,0,0,0,0,0,0,3,146,11,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,3,152,3,0,0,0,0,0,0,0,8,160,0,0,0,0,0,0,0,0,0,0,0,643,12,16,0,4,0,0,0,0,8,696,165,9,7,0,0,0,0,0,0,7,187,59,3,0,0,0,0,0,0,0,0,63,12,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,70,0,3,0,0,0,0,0,0,4,85,0,0,0,0,0,0
POA6024,0,0,0,0,0,0,138,14,0,0,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,134,13,6,0,3,3,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,515,32,26,4,3,6,0,0,0,12,591,482,5,8,0,0,0,0,0,0,5,505,98,0,4,0,0,0,0,0,0,3,108,15,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3,116,3,4,0,3,0,3,0,0,5,125,0,0,0,0,0,0,0,0,0,0,3,596,3,12,0,3,0,3,0,0,11,635,172,7,0,0,0,0,0,0,0,0,186,59,0,3,0,0,0,0,0,0,0,59,19,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,73,0,3,0,0,0,0,0,0,3,87,0,0,0,0,0,0
POA6025,3,0,0,0,0,4,369,20,0,3,0,0,4,0,0,0,6,39,4,0,0,0,0,0,0,0,0,0,4,329,40,23,0,6,4,0,0,0,9,410,3,0,0,0,0,0,0,0,0,0,3,1582,124,106,15,9,7,6,3,6,28,1889,1071,33,27,8,4,4,3,4,0,13,1162,229,6,9,0,0,0,0,0,0,3,249,19,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,253,6,7,0,0,0,0,0,0,3,272,0,0,0,0,0,0,0,0,0,0,0,1324,40,32,8,4,4,3,4,0,13,1429,375,21,18,7,0,0,0,0,0,11,431,87,0,0,0,0,0,0,0,0,0,90,16,0,6,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,104,3,9,0,0,0,0,0,0,0,115,0,0,0,0,0,0
POA6026,0,0,0,4,0,4,211,25,3,5,0,0,0,4,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,204,17,18,0,0,0,4,4,0,5,248,0,0,0,0,0,0,0,0,0,0,0,1166,80,59,3,3,0,4,9,0,15,1353,715,31,17,3,3,0,0,0,0,14,787,117,4,0,0,0,0,3,0,0,4,136,9,4,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,133,6,6,0,3,0,3,0,0,4,150,0,0,0,0,0,0,0,0,0,0,3,849,36,21,3,8,0,3,0,0,17,947,318,28,15,3,0,0,0,0,0,26,389,64,3,0,0,0,0,0,0,0,3,69,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,85,3,0,0,0,0,0
POA6027,3,0,8,3,3,10,467,38,3,9,0,4,0,0,0,3,3,61,3,0,0,0,0,0,0,0,0,0,3,408,46,35,0,5,0,9,3,3,12,531,3,0,0,0,0,0,0,0,0,3,6,2475,225,145,18,22,14,16,9,11,46,2968,1417,67,36,0,5,0,6,6,3,10,1558,296,12,8,0,0,0,0,3,0,5,324,33,3,4,0,0,0,0,3,0,0,44,3,0,0,0,0,0,0,0,0,0,3,331,10,13,0,0,0,3,4,0,5,372,6,0,0,0,0,0,0,0,0,4,10,1756,74,50,0,5,0,12,12,3,23,1945,551,44,31,3,0,0,0,0,0,20,652,132,9,3,0,0,0,0,0,0,3,151,33,5,0,0,0,0,0,0,0,3,49,0,0,0,0,0,0,0,0,0,0,0,168,15,5,0,0,0,0,3,0,6,201,6,0,0,0,0,0
POA6028,0,3,5,0,0,3,287,19,3,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,3,210,56,32,10,0,5,3,3,0,3,321,0,0,0,0,0,0,0,0,0,0,0,1282,223,145,29,7,3,13,10,5,15,1731,510,43,35,5,7,4,3,6,0,6,629,97,11,6,3,4,0,0,0,0,3,126,16,3,0,0,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,112,14,10,3,4,3,0,0,0,4,150,0,0,0,0,0,0,0,0,0,0,0,625,59,43,6,12,9,6,6,0,12,781,188,26,21,0,3,3,0,9,0,3,256,25,4,3,0,0,0,0,0,0,0,42,12,0,7,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,41,4,7,3,0,0,0,0,0,3,61,0,0,0,0,0,0
POA6029,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,110,0,3,0,0,0,0,0,0,0,113,54,5,0,0,0,0,0,0,0,0,54,16,0,0,0,0,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,72,5,0,0,0,0,0,3,0,0,76,34,0,0,0,0,0,0,0,0,0,30,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
POA6030,4,5,3,3,0,5,394,23,7,8,3,0,0,0,0,0,3,50,3,0,0,0,0,0,0,0,0,0,3,287,52,70,5,3,8,6,3,0,9,450,0,0,0,0,0,0,0,0,0,0,0,1340,227,240,30,32,24,16,16,3,37,1961,828,89,70,14,14,12,10,4,3,23,1072,142,14,12,3,3,0,0,5,0,6,182,31,4,0,3,0,0,0,3,3,3,49,0,0,0,0,0,0,0,0,0,0,0,171,17,19,4,3,0,0,6,3,8,230,0,0,0,0,0,0,0,0,0,3,3,1001,102,86,22,20,12,16,9,5,36,1305,505,70,36,7,4,6,4,0,0,21,658,55,10,6,0,0,0,0,3,0,0,75,22,3,0,0,0,3,0,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,73,15,6,0,0,4,0,3,0,3,105,3,0,0,0,0,0
POA6031,3,8,0,3,0,4,120,13,5,3,3,3,0,0,0,0,7,45,0,0,0,0,0,0,0,0,0,0,0,68,30,25,7,9,6,0,6,4,6,160,0,0,0,0,0,0,0,0,0,0,0,429,107,97,7,19,16,4,3,6,18,713,226,22,30,16,12,3,3,6,0,0,316,30,0,3,3,0,0,0,0,3,0,45,3,0,0,0,0,3,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,39,3,7,3,0,3,0,0,0,4,55,0,0,0,0,0,0,0,0,0,0,0,260,29,34,18,10,5,3,6,0,8,375,78,16,14,0,0,0,0,0,0,4,111,6,0,0,0,0,0,0,0,0,0,8,5,4,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,12,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6033,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,21,10,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
POA6034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,7,0,0,0,0,0,0,0,36,16,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6035,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,3,9,4,0,0,0,0,0,0,44,3,0,0,0,0,0,0,0,0,0,4,251,25,51,10,6,0,0,0,6,13,363,223,21,30,5,0,4,3,3,3,7,303,25,0,3,0,0,0,0,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,5,0,0,0,0,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,252,20,29,5,0,4,3,3,3,9,339,96,3,5,0,0,0,0,0,0,29,139,9,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0
POA6036,3,4,0,0,3,0,93,8,5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,63,23,14,5,6,4,0,0,3,3,109,0,0,0,0,0,0,0,0,0,0,0,328,75,72,6,12,7,9,9,4,12,542,218,22,50,9,3,8,6,4,0,11,334,33,5,3,5,5,0,3,0,0,0,59,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,35,6,4,5,3,0,3,0,4,4,68,0,0,0,0,0,0,0,0,0,3,3,259,28,59,10,14,7,12,4,3,11,411,72,15,16,3,0,0,0,0,0,7,117,10,0,3,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0
POA6037,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,105,14,8,0,3,0,0,0,0,3,133,113,6,0,0,0,0,0,3,0,0,128,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,125,6,0,0,0,0,0,3,0,4,137,53,0,0,0,0,0,0,0,0,0,53,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
POA6038,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,0,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,107,13,32,3,3,4,0,6,0,4,174,74,6,7,0,0,4,0,3,3,0,99,3,3,3,0,0,3,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,3,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,77,9,12,0,4,5,0,3,10,3,118,12,0,0,0,0,0,0,3,0,0,15,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
