POA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
POA6012,54,0,0,3,58,5,0,63,321,37,0,0,365,8,0,8,368,17,0,389,583,65,3,5,657,7,3,9,663,14,0,674,22,0,12,0,33,0,0,0,33,0,0,33,15,0,0,3,19,4,0,4,23,0,0,23,940,102,14,13,1068,15,3,21,1086,34,0,1121,3,0,0,0,3,0,0,0,3,0,0,3,21,0,0,0,21,0,3,3,24,0,0,24,25,0,0,0,25,0,3,3,25,0,0,25,965,102,14,13,1094,19,8,20,1115,34,0,1142,330,51,3,0,389,15,0,15,400,27,6,436,0,0,0,0,0,0,0,0,0,0,3,3,1290,152,16,16,1477,32,8,33,1515,65,10,1585
POA6014,139,9,0,9,144,6,0,152,820,128,7,0,957,38,7,43,998,52,0,1047,1627,222,12,3,1869,33,13,40,1904,42,4,1949,126,5,11,0,145,0,0,0,145,8,0,148,13,0,0,18,36,0,0,0,36,0,0,32,2596,359,23,22,3000,69,14,84,3083,107,4,3185,18,4,0,0,27,4,0,4,34,0,0,34,97,4,4,0,108,11,0,11,118,3,0,119,118,4,4,0,130,16,0,12,146,3,0,154,2717,364,26,23,3132,80,17,96,3227,110,3,3340,869,45,19,3,940,42,8,45,986,22,0,1013,3,0,0,0,3,0,0,0,3,0,3,8,3590,409,47,26,4076,123,19,142,4215,134,7,4360
POA6015,80,0,0,0,81,3,0,82,262,31,3,0,306,13,0,13,324,18,0,342,574,65,0,6,642,8,0,13,652,18,0,668,33,0,0,0,33,0,0,0,33,0,0,33,3,0,0,10,13,0,0,0,13,0,0,13,873,94,8,10,988,22,0,28,1016,39,0,1056,3,0,0,0,3,0,0,0,3,0,0,3,32,3,0,0,29,4,0,4,35,0,0,35,32,3,0,0,34,4,0,4,35,0,0,35,907,98,8,10,1028,24,0,32,1052,39,0,1087,384,21,3,0,408,18,4,21,425,24,3,455,0,0,0,3,3,0,0,0,3,0,0,3,1288,117,12,14,1440,45,4,50,1483,60,3,1549
POA6016,36,0,0,0,33,6,0,42,323,57,3,0,394,15,0,15,409,27,0,436,787,101,7,11,906,23,0,23,933,17,0,950,66,10,11,0,84,3,0,3,85,0,0,85,8,0,0,3,6,3,0,3,12,0,0,15,1193,170,23,10,1395,47,0,48,1439,44,0,1482,3,3,0,0,4,4,0,4,11,3,0,11,33,6,0,0,43,3,0,0,45,4,0,46,37,9,0,0,46,4,0,6,50,3,0,58,1228,180,23,14,1439,50,0,51,1491,45,0,1536,303,37,8,3,358,10,0,13,367,16,0,383,3,0,0,0,3,0,0,0,3,0,0,3,1530,216,30,19,1795,65,6,64,1862,65,0,1924
POA6017,5,0,0,0,8,0,0,7,53,16,0,0,67,9,0,4,75,8,0,86,94,20,0,0,117,0,0,0,119,4,0,120,16,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,160,38,0,0,203,9,0,10,213,13,0,226,12,0,0,0,12,7,0,7,14,0,0,20,7,3,0,0,6,3,0,3,8,0,0,8,15,3,0,0,15,10,0,10,25,0,0,24,176,39,0,0,218,17,0,13,237,13,0,251,77,20,5,0,101,17,0,17,115,33,0,147,0,0,0,0,3,0,0,0,3,0,0,4,257,56,7,3,321,27,0,30,352,43,3,395
POA6018,171,14,3,20,185,21,0,207,1178,153,10,8,1358,59,10,68,1418,82,0,1500,2712,267,42,11,3026,80,7,87,3114,62,0,3174,233,14,25,3,282,3,0,3,284,5,0,286,22,3,0,16,32,3,3,4,40,0,0,44,4144,437,82,36,4701,143,18,158,4858,143,4,5008,66,0,0,0,69,7,0,7,76,0,0,76,150,0,0,7,155,11,0,11,166,12,0,172,211,4,0,7,220,15,0,15,240,12,0,247,4354,442,82,39,4917,160,18,179,5095,155,4,5256,1251,106,34,16,1406,44,9,49,1457,118,0,1567,11,4,0,3,18,0,0,0,18,0,11,26,5615,550,115,56,6342,201,20,228,6567,272,12,6854
POA6019,79,6,0,6,82,11,0,92,604,51,15,0,668,27,4,28,699,39,3,736,1204,128,25,3,1359,31,0,31,1383,23,0,1407,97,8,3,3,112,10,0,10,120,3,0,124,3,4,0,3,8,3,0,3,16,7,0,22,1906,190,38,9,2146,67,4,72,2213,70,6,2291,22,0,0,0,27,9,0,9,39,0,0,39,76,4,0,0,82,14,0,11,94,0,0,96,104,11,3,0,111,24,0,25,135,0,0,134,2013,197,43,9,2261,89,5,88,2346,71,6,2425,607,50,14,0,673,28,0,34,702,40,0,743,5,0,0,0,3,0,0,0,3,0,0,11,2622,248,61,13,2935,115,7,121,3058,110,5,3179
POA6020,152,5,0,7,158,15,0,168,734,74,14,0,828,23,0,25,857,49,0,903,1842,158,30,24,2053,35,7,39,2097,54,0,2153,102,14,16,0,129,3,0,3,132,0,0,134,9,3,0,13,23,0,0,0,27,0,0,24,2692,253,61,35,3037,58,9,72,3103,101,0,3210,22,0,0,0,22,0,0,0,29,0,0,29,80,10,8,0,98,0,0,0,95,8,0,102,101,12,8,0,123,5,0,5,125,8,0,133,2791,264,65,35,3156,63,9,78,3233,107,0,3341,726,36,22,17,805,27,0,27,826,46,0,878,0,3,0,0,3,0,0,0,3,0,0,5,3523,305,89,55,3959,93,9,100,4058,155,0,4218
POA6021,80,5,0,11,84,12,4,100,554,53,9,3,620,32,4,37,653,31,0,684,1166,129,13,12,1312,30,3,33,1345,23,0,1368,77,11,5,0,99,0,0,0,104,3,0,106,6,0,3,14,26,0,0,0,26,0,0,29,1804,201,33,27,2058,60,10,68,2128,56,0,2189,22,0,0,0,26,4,3,6,30,7,0,33,74,0,0,0,76,9,0,11,87,0,0,87,91,0,3,0,99,15,3,22,115,3,0,126,1896,201,33,27,2157,78,10,86,2244,61,0,2309,699,77,20,7,806,30,0,30,838,86,0,919,0,0,0,0,4,0,0,0,4,0,14,13,2601,276,54,35,2966,106,10,116,3085,145,14,3249
POA6022,14,0,0,0,14,0,0,18,141,18,0,3,167,4,0,4,172,18,0,190,339,12,11,9,370,5,4,13,379,18,0,401,31,0,13,0,43,4,0,4,46,0,0,46,0,0,0,3,6,0,0,0,6,0,0,6,510,37,20,18,585,18,5,19,608,37,0,645,11,0,0,0,10,0,0,0,10,0,0,10,12,5,0,0,16,0,0,0,16,0,0,16,20,5,0,0,27,0,0,0,27,0,0,27,534,45,20,18,616,18,5,19,635,37,0,674,151,11,3,7,172,0,0,0,173,15,0,188,6,0,0,4,6,0,0,0,6,0,0,6,691,54,21,23,793,13,5,21,813,54,0,864
POA6023,91,9,0,11,95,11,0,110,542,99,7,0,648,18,3,24,674,36,0,705,1501,88,15,9,1611,30,7,36,1651,37,0,1683,98,4,7,0,105,0,0,0,105,0,0,106,19,0,0,6,25,3,0,3,27,0,0,27,2152,193,26,17,2386,55,9,64,2453,72,0,2526,31,0,0,0,36,3,0,5,37,0,0,37,99,9,0,0,104,3,0,3,108,0,0,110,130,12,0,0,141,3,0,7,145,0,0,146,2279,199,26,17,2526,54,11,68,2594,72,0,2666,663,41,13,17,729,10,0,13,749,37,0,782,3,0,0,3,8,0,0,0,8,0,0,8,2949,242,38,33,3263,68,10,83,3344,107,0,3456
POA6024,54,0,0,0,54,11,0,62,373,41,6,3,426,19,0,22,446,33,0,479,935,101,12,7,1055,22,0,28,1084,19,0,1101,72,10,14,0,99,0,0,0,98,0,0,98,10,0,0,3,9,0,0,0,9,4,0,18,1389,156,36,14,1591,40,6,47,1638,54,0,1694,15,3,0,0,18,0,5,5,22,3,0,30,37,3,4,0,41,6,0,6,49,10,0,53,50,4,4,0,55,6,5,14,66,12,0,81,1437,162,37,17,1651,48,12,57,1709,66,0,1772,429,45,11,19,503,17,3,18,522,32,0,553,3,3,0,0,5,0,0,0,5,0,0,5,1871,206,50,31,2157,60,18,78,2235,94,3,2337
POA6025,176,11,0,11,183,24,0,203,888,126,24,7,1046,42,13,57,1099,68,3,1170,2288,201,30,12,2532,47,4,55,2585,59,3,2649,157,25,21,0,203,0,3,3,203,10,0,210,19,3,0,17,41,0,0,0,41,0,0,46,3355,358,70,37,3822,99,22,112,3935,134,7,4075,49,4,3,0,62,32,0,32,89,0,0,89,141,7,9,3,156,7,0,7,164,4,0,171,190,10,6,6,214,36,0,36,255,4,0,258,3546,364,84,46,4036,137,22,151,4189,137,7,4330,1161,98,26,15,1301,28,3,28,1328,85,0,1410,0,0,0,0,0,0,0,0,0,3,5,11,4704,461,112,60,5333,160,24,182,5517,223,14,5753
POA6026,163,7,0,7,168,12,0,174,882,107,17,16,1021,34,9,35,1053,44,0,1102,1776,154,32,11,1974,46,3,48,2027,31,0,2055,131,17,23,0,168,3,3,3,170,0,0,175,9,0,0,3,17,0,0,0,17,4,0,22,2801,279,63,28,3181,78,10,88,3267,81,0,3355,26,3,0,0,26,3,4,10,34,9,0,44,86,6,4,0,96,12,0,12,108,0,0,108,113,7,4,0,127,18,4,16,143,9,0,154,2920,287,71,33,3307,94,13,105,3416,91,0,3507,818,64,25,15,921,21,0,26,948,32,0,978,3,3,0,4,10,0,0,0,10,0,0,10,3742,354,92,57,4245,114,15,128,4372,124,4,4495
POA6027,207,6,5,13,222,29,0,246,1429,179,25,4,1636,56,12,66,1703,76,0,1786,2632,263,54,14,2965,77,10,83,3051,66,0,3123,184,19,26,3,233,6,0,6,239,4,0,244,27,0,3,40,71,0,0,0,71,3,4,81,4276,459,114,62,4911,142,20,159,5072,150,4,5231,76,3,0,0,84,17,0,17,105,12,0,110,153,28,0,4,182,18,0,17,203,3,0,206,230,26,0,4,269,33,0,36,304,14,0,317,4503,488,118,68,5176,176,21,200,5372,166,4,5546,1338,125,42,46,1550,71,15,88,1635,154,0,1794,5,0,0,7,8,0,0,0,8,3,14,28,5846,616,160,119,6730,250,31,282,7018,326,25,7362
POA6028,177,9,0,7,184,8,0,194,1066,127,10,9,1212,48,3,46,1263,50,0,1310,2031,159,28,17,2235,37,7,44,2278,42,3,2321,92,6,31,0,133,3,0,3,136,4,0,142,24,0,0,24,46,0,0,0,46,0,0,48,3219,289,75,40,3626,89,4,95,3721,95,3,3816,54,8,0,0,61,15,0,15,75,5,0,82,146,10,4,3,165,13,0,13,183,6,0,188,205,15,4,3,227,30,0,30,257,13,0,269,3420,308,78,47,3854,118,4,123,3980,101,3,4086,837,77,39,17,972,32,0,32,1001,55,0,1058,0,3,0,3,8,0,0,0,8,0,9,13,4256,389,117,70,4837,144,4,157,4988,156,11,5162
POA6029,19,0,0,0,25,3,0,22,127,17,3,0,152,10,0,10,158,8,0,166,222,38,3,0,258,0,4,4,258,7,0,270,12,7,0,0,22,0,0,0,22,0,0,22,9,0,0,0,9,0,0,0,9,0,0,7,372,60,6,0,436,10,4,15,451,15,0,466,3,0,0,0,3,0,0,0,8,0,0,4,13,0,0,0,14,0,0,0,14,0,0,14,16,0,0,0,21,0,0,0,20,0,0,18,389,60,6,0,454,10,3,16,472,17,0,487,87,11,4,0,102,5,0,5,105,7,0,116,0,0,0,0,0,0,0,0,0,0,0,0,469,70,7,0,553,13,3,17,577,29,0,607
