POA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA6012,63,92,156,751,1024,1778,0,0,0,26,35,56,0,0,0,751,991,1746,3,10,11,50,61,114,3,3,6,3,10,14,14,11,31,0,4,3,13,15,30,18,22,45,77,114,191,0,0,0,0,3,3,82,112,192,47,88,136,5,4,10,1863,2494,4357,54,48,102,21,32,51,8,9,12,0,0,0,3,0,3,18,27,44,20,27,51,1499,1479,2978,20,12,34,11,9,16,1538,1498,3033,495,499,993,4058,4693,8757
POA6014,319,372,690,1327,1630,2960,0,0,0,70,82,152,0,3,3,2304,2681,4989,35,47,83,158,184,347,17,21,40,3,5,11,34,36,73,4,3,11,49,50,97,40,57,102,116,167,288,3,12,15,7,3,13,230,321,549,229,251,483,4,12,13,4645,5565,10214,234,237,471,82,79,164,35,26,57,0,0,0,26,37,63,34,49,81,66,88,150,3719,3227,6943,45,30,67,13,26,37,3772,3277,7050,921,886,1806,10073,10528,20604
POA6015,28,43,62,634,716,1347,0,0,0,33,31,59,0,0,0,773,851,1629,5,11,19,88,113,203,0,0,4,3,3,8,16,23,43,7,4,13,16,18,25,13,20,31,71,72,144,3,0,5,0,0,0,86,135,220,54,69,127,3,9,12,1811,2081,3893,17,28,42,13,8,18,20,17,34,0,0,0,10,9,19,9,5,13,19,12,25,1096,933,2023,8,17,25,4,3,7,1107,949,2056,227,246,479,3234,3380,6609
POA6016,164,201,366,388,476,862,0,0,0,48,46,99,0,0,0,1127,1301,2431,7,5,16,133,158,288,13,10,24,0,8,5,9,9,21,5,9,14,9,19,25,19,25,36,30,41,75,8,11,18,0,3,0,55,82,137,104,146,254,0,3,3,1970,2352,4319,269,239,508,75,69,142,15,25,36,0,0,0,23,12,35,17,27,48,37,38,79,1892,1774,3665,22,15,35,12,16,27,1919,1798,3719,419,431,848,4868,5165,10035
POA6017,71,91,163,104,113,217,0,0,0,27,40,70,0,0,0,473,532,1007,8,3,12,45,46,90,4,3,9,0,4,3,0,3,4,5,5,11,10,16,29,20,23,46,14,23,41,0,0,0,3,0,3,13,34,46,50,58,105,0,0,0,791,903,1700,223,176,405,92,72,169,3,0,3,0,0,0,28,23,48,9,9,17,36,32,67,622,540,1162,8,4,15,3,11,11,639,547,1189,236,193,426,2094,2023,4120
POA6018,245,404,649,2294,3018,5314,0,0,0,195,248,445,0,0,0,4471,5235,9705,57,79,131,304,331,636,47,64,118,28,38,63,45,61,105,19,25,46,115,147,265,124,173,292,246,311,558,22,30,54,13,22,42,399,610,1007,419,547,970,13,14,26,8803,10966,19765,295,266,561,138,144,279,43,40,89,0,0,0,23,29,51,85,82,165,111,113,223,6617,6119,12738,63,53,120,29,44,74,6709,6223,12936,1687,1820,3507,18033,19977,38004
POA6019,128,149,282,1422,1660,3085,0,0,0,85,105,190,0,0,0,2377,2600,4975,18,28,45,114,134,247,35,39,70,4,10,19,23,34,61,10,6,15,59,65,122,74,83,151,152,166,317,3,13,14,3,10,11,199,272,474,255,285,541,16,12,30,4842,5529,10374,71,64,133,55,75,131,26,32,61,0,0,0,5,4,18,35,51,78,41,59,98,4470,3811,8282,52,43,96,29,33,69,4553,3887,8440,1196,1079,2268,10907,10882,21787
POA6020,95,128,225,1772,2092,3861,0,0,0,118,151,264,0,0,0,2567,2872,5439,30,50,81,162,140,304,23,36,58,14,12,34,31,48,79,10,10,16,38,63,103,72,93,167,170,199,371,7,10,16,5,3,4,315,406,717,235,279,517,6,12,13,5581,6467,12049,48,53,104,38,47,88,21,26,44,0,0,0,5,8,21,30,42,69,38,52,92,3510,3080,6596,30,19,51,16,31,41,3558,3128,6681,822,688,1512,10209,10587,20791
POA6021,213,289,499,635,794,1431,3,3,6,75,98,169,0,0,0,3574,3894,7463,12,32,41,696,748,1441,31,59,83,7,6,12,15,24,35,16,17,31,65,63,122,69,72,146,88,105,193,11,13,23,8,14,16,120,173,291,266,291,556,4,5,6,5677,6408,12082,363,312,672,203,188,388,13,27,38,0,0,0,96,58,153,51,52,105,143,116,258,2211,1961,4172,32,18,48,13,17,26,2255,1994,4249,907,958,1869,9780,10285,20058
POA6022,51,52,103,363,396,753,0,0,0,30,18,53,3,0,0,553,632,1185,10,17,27,64,49,109,8,9,19,8,3,12,9,4,11,0,0,0,19,16,40,30,32,58,41,39,79,11,13,19,0,0,3,64,80,152,93,99,186,4,0,4,1306,1406,2708,19,19,36,20,13,39,6,4,11,3,0,3,8,4,14,9,17,25,22,18,42,871,788,1664,7,3,14,0,0,5,879,796,1679,192,171,364,2496,2482,4982
POA6023,59,83,138,1256,1442,2694,0,0,0,131,162,293,0,3,3,1625,1781,3404,31,37,63,118,125,235,21,30,55,14,19,34,38,25,64,6,4,9,41,45,84,67,74,139,156,177,330,7,7,15,6,3,9,302,392,688,201,251,446,8,18,27,4018,4579,8601,76,80,150,34,34,69,3,10,14,0,0,0,9,10,20,16,19,29,24,23,47,2777,2360,5136,29,17,46,9,7,13,2819,2384,5203,533,518,1048,7558,7711,15268
POA6024,81,122,206,987,1104,2089,0,0,0,71,70,141,3,0,3,1596,1724,3323,32,45,73,94,86,175,10,18,32,18,19,34,24,33,52,0,0,4,49,54,99,63,75,141,96,122,216,6,13,25,6,12,13,215,289,503,174,221,398,3,9,9,3440,3892,7336,48,40,88,43,49,95,11,15,26,0,0,0,12,9,23,24,36,55,34,42,72,2504,2071,4574,23,16,40,12,21,31,2539,2103,4643,470,419,885,6669,6677,13347
POA6025,132,201,331,2619,3064,5688,0,0,0,183,204,385,0,0,0,3357,3624,6981,41,38,80,157,173,333,19,38,51,30,32,63,51,53,111,33,31,60,83,90,169,122,164,285,314,317,633,14,23,35,14,26,41,328,433,764,343,416,763,21,15,32,7726,8739,16468,111,108,224,120,124,249,16,20,38,0,0,0,17,25,40,38,49,91,57,74,125,5495,4661,10161,51,41,87,22,45,68,5571,4750,10321,1217,1064,2279,14949,15080,30031
POA6026,92,141,234,2043,2452,4487,0,0,0,173,230,406,0,0,0,2391,2664,5057,67,80,143,94,117,212,25,24,47,32,46,81,34,44,77,3,0,0,65,76,141,141,165,302,265,320,587,19,21,41,12,13,25,346,484,828,318,361,676,5,9,18,6027,7104,13126,82,71,158,31,40,73,15,17,33,0,0,0,14,5,15,42,54,88,53,55,111,3816,3306,7125,40,21,66,6,11,23,3867,3341,7207,737,661,1399,10906,11432,22337
POA6027,215,355,571,3295,3834,7129,0,0,0,406,426,836,0,0,0,4357,4790,9148,62,82,143,140,160,303,50,81,128,50,69,122,67,67,137,51,44,94,120,129,253,266,323,593,414,415,826,20,33,55,28,38,64,326,448,774,612,684,1298,17,27,39,10294,11643,21940,165,133,305,318,227,551,16,20,31,0,0,0,31,36,68,69,110,182,100,151,245,7700,6599,14294,71,60,139,31,52,83,7804,6719,14518,1848,1673,3520,20759,20922,41677
POA6028,86,139,219,2098,2289,4385,0,0,0,284,334,624,0,0,0,2526,2812,5338,26,29,50,77,66,142,34,36,66,32,28,58,22,24,38,49,46,95,93,91,183,138,168,309,288,313,606,10,9,20,7,8,13,185,232,419,380,434,817,11,7,16,6253,6926,13184,99,94,195,115,116,230,13,13,25,0,0,0,22,24,47,56,72,125,79,94,179,3687,3256,6942,22,22,42,16,20,32,3723,3297,7020,773,632,1400,11145,11299,22440
POA6029,13,14,22,199,234,437,0,0,0,5,11,19,0,0,0,338,386,733,8,10,12,8,18,23,0,3,7,0,0,0,11,10,20,0,0,0,9,5,14,9,5,13,12,31,44,3,0,3,0,0,0,40,67,114,14,24,32,0,0,3,662,811,1472,3,0,3,0,0,0,6,5,10,0,0,0,0,0,0,0,3,5,0,3,5,540,471,1014,10,4,11,5,3,6,551,481,1032,128,108,242,1369,1424,2794
POA6030,235,353,585,3183,3664,6847,3,0,3,437,435,871,3,3,6,3413,3891,7304,29,29,63,129,130,257,76,105,181,134,144,282,51,48,93,28,26,59,134,152,286,276,311,585,371,449,824,36,43,72,26,41,67,247,338,582,698,811,1510,40,29,68,9309,10649,19961,174,170,344,294,270,563,12,18,35,0,0,3,91,87,179,61,99,155,149,184,334,7220,6435,13653,72,41,111,27,38,65,7317,6519,13833,1924,1806,3730,19416,19972,39386
POA6031,81,114,196,1135,1375,2509,0,0,0,190,176,362,0,0,0,1620,1732,3346,19,21,38,57,47,106,32,34,68,52,62,119,15,11,34,22,22,48,30,50,80,141,171,311,133,145,273,10,10,23,21,32,55,127,149,271,307,381,681,6,3,9,3918,4420,8336,174,183,357,129,156,282,3,7,7,6,9,12,79,70,148,28,37,71,117,116,234,3011,2865,5879,30,17,50,4,8,12,3047,2894,5939,678,591,1269,8155,8470,16624
POA6032,0,3,0,16,14,32,0,0,0,0,0,3,0,0,0,14,12,21,3,0,4,0,0,0,0,0,0,3,3,3,3,3,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,15,15,29,0,0,0,54,46,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,30,69,0,0,0,0,0,0,34,33,72,6,13,17,100,95,195
POA6033,16,12,28,23,33,54,0,0,0,3,3,10,0,0,0,61,52,116,0,0,0,6,9,16,0,0,0,4,8,16,3,0,3,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,7,9,4,14,0,0,0,115,111,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,41,115,0,0,0,0,0,0,74,41,118,35,28,56,246,196,442
POA6034,3,4,9,118,136,255,0,0,0,24,16,41,0,0,0,145,157,298,0,0,0,4,0,3,10,16,20,5,6,9,0,0,5,0,0,0,9,3,15,15,11,23,10,15,27,0,0,0,0,0,0,10,16,20,19,18,34,0,0,0,360,391,748,3,0,7,3,7,10,0,0,0,0,0,0,3,3,5,0,0,0,3,3,4,350,350,700,4,4,8,0,0,0,359,358,708,98,96,188,827,847,1680
POA6035,28,36,66,767,904,1672,0,0,0,62,76,140,0,0,0,709,709,1418,7,11,16,13,17,33,13,27,39,23,29,49,10,18,30,8,5,11,23,20,46,39,44,86,60,82,144,3,9,13,8,3,14,39,54,92,123,146,263,3,13,20,1914,2165,4077,9,11,19,5,12,16,3,5,5,0,0,0,9,3,16,4,16,19,16,22,34,1833,1706,3539,15,20,33,8,8,17,1859,1737,3592,536,520,1053,4364,4501,8868
POA6036,54,86,138,1177,1326,2503,0,0,0,159,144,300,0,0,0,1463,1712,3171,8,12,14,40,35,69,41,70,108,75,93,168,8,14,22,18,13,33,38,67,107,141,174,317,131,125,259,4,3,6,5,4,14,80,86,166,278,342,619,4,9,17,3674,4216,7889,76,59,135,84,76,163,11,3,13,0,0,0,22,17,31,14,27,43,36,41,78,2865,2681,5545,21,19,43,7,6,17,2894,2708,5600,875,908,1782,7696,8103,15796
POA6037,11,14,32,280,309,587,0,0,0,3,9,16,0,0,0,231,232,463,3,0,3,12,0,11,12,6,20,11,7,18,7,8,10,0,0,0,9,10,23,8,10,16,19,28,45,0,3,4,0,0,0,14,22,41,34,31,69,4,3,5,649,684,1337,10,5,11,3,4,4,0,0,0,0,0,0,0,3,3,0,4,6,3,9,14,663,558,1227,7,8,13,0,7,6,669,572,1245,187,165,355,1533,1458,2990
POA6038,31,27,58,440,495,942,0,0,0,53,59,116,0,0,0,517,614,1128,8,7,14,8,18,31,18,27,40,18,18,40,7,4,13,0,0,5,24,21,40,61,79,135,56,58,110,0,4,6,9,7,20,27,35,59,113,147,260,6,4,8,1370,1603,2972,46,35,87,26,21,48,0,3,3,0,0,0,17,9,31,7,10,13,27,21,46,1193,1147,2342,7,9,23,7,10,15,1207,1167,2371,349,339,689,3054,3216,6269
POA6041,0,7,13,166,184,346,0,0,0,9,9,21,0,0,0,112,107,215,0,9,8,5,4,9,9,12,25,3,0,5,3,0,5,0,0,0,3,5,7,22,12,39,19,16,36,0,0,0,0,0,3,21,19,36,22,29,50,0,0,0,399,409,815,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,3,9,0,3,9,274,230,498,3,3,11,0,5,3,281,234,516,84,86,170,767,748,1514
POA6042,0,0,0,6,11,16,0,0,0,0,0,0,0,0,0,8,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,18,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,16,16,33,0,0,0,0,0,0,16,16,33,0,3,8,39,36,78
POA6043,0,0,0,31,24,53,0,0,0,0,0,0,0,0,0,25,29,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,4,14,0,3,4,0,0,0,65,63,133,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,59,3,0,3,0,0,0,35,29,59,28,15,47,131,117,244
POA6044,8,17,23,122,125,248,0,0,0,5,7,11,0,0,0,127,102,228,0,0,0,3,0,5,0,0,0,0,0,0,4,0,7,0,0,0,3,3,3,3,3,5,26,20,42,0,0,4,0,0,0,28,30,55,13,12,24,0,0,0,336,300,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,205,430,0,3,7,0,5,4,234,209,444,77,56,133,648,586,1233
POA6050,129,173,303,737,963,1704,0,0,0,38,54,94,0,0,0,1748,2020,3771,14,18,28,208,256,467,12,14,27,3,3,7,31,32,60,3,7,10,29,25,59,25,34,57,64,93,151,7,7,20,0,7,10,129,195,326,125,160,287,4,9,13,3188,3905,7093,84,68,159,72,53,129,235,260,492,0,0,0,8,3,7,28,34,58,33,38,67,2726,2487,5214,38,35,69,13,19,31,2781,2537,5314,871,961,1827,7385,7991,15380
POA6051,154,207,363,473,517,991,0,0,0,66,69,126,0,0,0,1212,1293,2505,7,10,17,95,97,188,20,12,34,12,8,20,18,19,41,17,21,34,32,30,64,40,47,85,56,70,122,10,9,12,6,12,20,81,97,174,195,219,414,7,5,13,2337,2532,4875,349,294,644,249,192,439,14,11,24,0,0,0,115,85,193,25,31,57,142,110,254,2373,2127,4504,40,23,63,20,23,42,2432,2172,4602,764,624,1385,6439,6143,12577
POA6052,115,143,263,500,691,1188,0,0,0,40,48,88,0,0,0,1508,1748,3253,4,12,17,140,153,295,26,34,55,3,5,10,16,22,32,3,10,13,15,18,40,19,32,52,60,45,104,0,4,6,0,3,7,77,99,174,101,134,237,3,11,16,2517,3070,5588,58,44,101,90,87,179,26,30,56,0,0,0,15,7,24,22,16,36,34,27,58,1994,1784,3773,31,23,56,13,17,27,2039,1825,3858,505,504,1008,5385,5732,11113
POA6053,145,235,380,695,885,1575,0,0,0,54,85,145,0,0,0,1747,2013,3759,10,31,39,78,74,143,18,12,25,10,10,20,19,27,44,5,6,14,33,34,68,44,54,101,94,88,185,7,11,22,5,7,7,101,130,229,184,210,396,9,17,24,3122,3689,6808,126,116,245,144,107,253,20,19,42,0,0,0,44,26,76,32,23,55,76,54,126,2800,2513,5316,29,26,56,16,12,29,2847,2553,5401,602,579,1182,7080,7352,14432
POA6054,239,334,577,1183,1352,2536,0,0,0,114,133,241,3,3,3,2328,2584,4908,41,68,107,120,113,236,42,45,86,29,24,54,19,35,59,4,5,8,64,52,116,74,88,161,143,137,281,24,55,77,8,13,16,113,188,303,355,386,742,19,35,54,4677,5308,9984,146,125,269,176,140,316,13,6,18,4,3,10,45,17,59,43,64,109,87,86,177,3643,3235,6876,51,24,80,22,36,53,3713,3293,7009,1045,984,2030,10099,10279,20378
POA6055,192,231,424,1246,1419,2662,0,0,0,140,159,294,0,0,0,2289,2387,4674,43,52,100,93,86,179,41,51,94,46,38,81,28,22,57,24,25,52,78,90,175,166,186,352,124,129,248,24,21,53,26,24,54,132,180,311,404,419,827,13,8,17,4923,5302,10226,486,476,964,283,221,505,8,24,30,3,4,10,252,232,487,25,29,55,278,265,547,3185,2739,5929,42,34,70,5,17,19,3235,2787,6018,988,1329,2315,10395,10636,21034
POA6056,171,259,429,2607,3009,5616,0,0,0,245,294,535,23,14,37,4567,4829,9402,73,83,156,99,116,212,100,133,240,79,124,202,45,63,112,17,10,24,100,137,240,202,235,438,273,329,608,48,72,118,79,121,201,340,415,761,696,759,1460,32,40,68,9635,10785,20420,189,153,341,151,125,275,13,10,24,9,9,16,60,58,118,63,103,168,135,166,297,7018,6156,13166,85,69,151,40,53,94,7143,6274,13415,2039,1911,3953,19474,19690,39167
POA6057,63,109,171,1246,1538,2786,0,0,0,115,142,255,41,46,89,1760,1888,3645,19,28,42,40,42,81,17,38,62,37,30,66,20,25,42,3,3,7,38,55,92,60,67,126,174,180,352,10,15,24,51,65,120,149,164,310,264,302,571,46,33,81,4086,4650,8742,41,37,76,67,65,134,4,6,15,0,0,0,10,16,28,20,32,57,37,45,81,3186,2773,5960,28,18,41,14,11,23,3222,2801,6024,842,734,1572,8366,8440,16806
POA6058,79,113,191,894,1054,1952,0,0,0,111,133,245,3,6,8,1127,1232,2355,14,35,52,15,15,31,22,21,45,16,25,36,17,19,35,7,8,11,41,41,81,78,97,180,126,149,273,12,15,33,45,60,97,111,180,292,217,277,490,30,31,61,2897,3386,6284,100,89,196,136,139,279,4,3,11,0,3,3,20,32,48,16,23,40,44,55,96,2402,1983,4383,23,20,41,13,12,27,2435,2018,4452,602,591,1190,6292,6405,12690
