POA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
POA6012,15,67,3,6,17,0,0,0,3,101,6,11,0,0,7,0,0,0,0,18,93,428,20,60,104,38,4,11,11,767,0,0,0,0,0,0,0,0,0,0,10,29,4,26,32,11,0,6,0,115,6,16,0,24,16,11,0,0,0,81,9,12,13,34,24,10,0,3,0,98,0,0,0,4,0,0,0,0,0,10,5,3,0,8,17,3,3,0,0,43,3,8,0,0,8,3,0,3,0,23,0,10,3,3,5,9,0,3,0,35,197,784,43,177,243,80,3,36,22,1583,0,11,0,0,0,0,0,0,0,11,22,116,0,0,0,0,0,0,3,144,115,236,4,10,25,13,0,6,9,415,7,10,0,0,0,0,0,0,0,20,21,89,4,7,22,3,0,0,5,144,8,13,0,0,5,0,0,0,0,27,285,822,55,98,147,67,8,33,22,1539,0,0,0,0,0,0,0,0,0,3
POA6014,24,159,0,12,37,3,0,0,3,242,4,28,0,0,3,0,0,0,0,43,214,1167,38,150,251,76,8,36,12,1956,0,0,0,3,0,0,0,0,0,5,29,108,9,46,59,18,6,13,0,288,40,39,16,57,60,32,0,19,7,256,22,18,38,61,73,14,4,7,6,251,4,0,3,6,15,7,0,4,0,37,6,12,0,9,28,9,0,5,0,71,3,16,0,13,5,3,0,3,0,43,0,17,0,6,20,6,3,8,3,63,434,1968,120,383,593,181,14,108,36,3853,8,30,0,0,0,0,0,0,0,37,42,289,3,4,5,0,3,0,4,344,241,528,29,29,90,35,11,30,9,1004,16,39,0,7,0,3,0,0,3,66,70,259,8,11,37,3,0,4,3,396,13,32,4,0,7,0,0,0,0,55,678,2190,122,227,360,159,38,118,28,3921,0,0,0,5,0,0,0,0,0,5
POA6015,6,53,0,0,13,0,0,3,0,73,0,9,0,0,0,0,0,0,0,6,77,300,11,24,63,21,0,7,11,511,0,0,0,0,0,0,0,0,0,0,7,33,4,8,27,8,0,0,0,83,3,7,0,10,18,7,0,0,0,43,4,5,7,14,4,9,0,0,0,36,0,0,0,3,0,3,0,0,0,8,6,7,0,3,7,3,0,0,7,26,0,7,0,0,0,0,0,0,0,12,3,5,0,4,7,0,0,0,7,28,141,538,27,70,150,53,0,15,24,1017,5,11,0,0,3,0,0,0,0,18,22,105,0,0,3,0,0,0,0,132,88,159,3,0,20,4,0,0,5,278,8,6,0,0,0,0,0,0,0,16,16,71,0,0,15,0,0,3,0,109,0,8,0,0,3,0,0,0,0,14,244,632,26,38,93,43,3,20,19,1130,0,0,0,0,0,0,0,0,0,0
POA6016,16,93,4,8,9,0,0,3,0,134,10,9,0,0,4,0,0,0,0,19,110,534,22,98,109,51,0,42,3,974,0,0,0,0,3,0,0,0,0,3,17,46,3,22,24,9,0,9,0,127,20,30,9,41,37,16,0,16,3,173,14,12,28,42,41,29,3,3,0,163,0,3,0,4,7,3,0,4,0,28,6,5,3,17,25,3,0,10,0,65,0,4,0,0,5,0,0,3,0,16,0,11,0,3,3,3,0,3,3,28,231,932,71,256,290,127,7,98,18,2022,3,7,0,0,4,0,0,0,0,21,11,87,0,0,0,0,0,0,0,103,89,239,7,20,36,14,8,26,6,452,7,17,0,0,5,0,0,0,0,30,36,150,6,8,15,3,0,10,0,223,11,14,0,0,3,0,0,0,0,32,246,1020,71,126,149,90,30,103,9,1852,0,0,0,0,3,0,0,0,0,3
POA6017,5,12,0,4,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,9,33,139,7,39,50,15,3,28,0,317,0,0,0,0,0,0,0,0,0,3,9,12,0,14,12,5,0,4,0,51,12,14,3,37,15,11,0,8,0,102,3,3,20,33,25,11,4,7,0,106,0,3,0,3,3,0,0,3,0,9,0,3,0,7,12,3,0,3,0,35,0,0,0,3,0,3,0,3,0,12,0,3,0,8,6,4,0,3,3,26,76,235,41,155,137,57,7,57,11,767,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,8,24,66,7,7,17,11,6,15,5,148,0,3,0,0,0,0,0,0,0,6,4,21,0,4,11,0,0,0,0,45,3,0,0,0,0,0,0,0,0,11,72,262,35,60,75,40,22,58,4,627,0,0,0,0,0,0,0,0,0,3
POA6018,47,278,8,26,33,3,0,0,0,394,13,56,0,5,4,0,0,0,0,74,344,1871,62,231,408,140,5,38,26,3129,0,0,0,3,0,0,0,0,0,8,66,143,21,74,108,34,3,9,0,459,79,104,39,163,146,38,7,13,6,595,61,65,125,178,218,79,6,32,9,780,5,4,3,16,40,18,3,0,0,93,19,23,11,38,77,37,0,9,0,210,7,35,3,16,24,10,0,6,4,104,13,29,9,19,39,21,0,12,14,141,773,3168,288,798,1185,403,33,120,67,6822,9,27,0,0,4,3,0,0,0,48,33,253,0,5,7,0,0,0,0,305,296,769,32,36,113,34,6,19,12,1314,20,58,0,0,10,0,0,0,0,94,96,425,14,29,49,15,5,3,3,623,31,76,5,12,7,3,0,0,0,137,929,3292,189,339,579,243,55,105,49,5777,3,0,3,4,0,3,0,0,0,16
POA6019,26,186,3,28,18,7,0,3,0,266,7,39,0,7,3,0,0,0,0,57,228,1173,57,164,267,101,10,32,20,2047,3,3,0,7,0,0,0,0,0,8,32,126,18,51,71,21,0,3,3,326,60,82,19,103,106,33,8,13,0,417,43,26,88,119,116,53,7,22,8,476,9,5,5,11,19,9,0,0,0,68,13,11,6,32,47,15,4,10,0,138,8,22,4,12,16,13,0,4,0,78,9,9,4,5,22,15,0,0,4,76,522,2016,210,563,734,273,24,99,39,4478,9,25,0,0,0,0,0,0,0,39,25,145,0,3,4,0,0,0,3,189,183,444,23,38,56,28,3,7,9,793,8,34,3,0,3,0,0,0,0,54,56,263,4,34,21,10,0,3,3,394,15,50,0,10,7,5,0,0,0,95,610,2018,154,264,370,181,50,94,36,3767,3,0,3,7,0,0,0,3,0,19
POA6020,24,146,0,8,17,3,0,0,3,206,8,24,0,8,3,0,0,0,0,47,190,975,41,79,202,69,4,12,9,1580,0,0,0,0,0,0,0,0,0,4,33,124,22,52,73,33,0,6,9,346,35,44,14,69,67,34,3,3,3,284,20,23,63,122,124,50,4,6,4,420,5,3,3,13,18,7,0,3,0,53,15,11,10,26,57,18,0,8,3,145,3,0,0,6,12,8,0,0,0,32,11,22,5,9,21,12,0,3,4,89,398,1629,156,397,631,234,16,48,44,3549,3,19,0,3,0,0,0,0,0,27,21,118,0,3,3,0,0,0,0,141,155,339,11,9,48,10,0,5,11,590,14,28,0,0,9,0,0,0,0,46,48,196,3,15,30,9,4,0,3,309,13,36,0,13,10,3,0,0,3,76,547,1713,93,120,286,111,26,38,33,2975,3,0,0,0,4,0,0,0,0,4
POA6021,14,73,3,19,11,3,0,0,0,119,3,6,0,0,3,0,0,0,0,18,108,668,39,97,186,74,0,20,7,1201,0,0,0,0,0,0,0,0,0,3,34,56,10,45,62,21,3,5,4,241,31,40,19,91,103,33,3,15,4,334,29,34,80,132,118,53,3,22,4,478,3,4,0,4,16,10,0,3,0,43,10,13,7,27,48,13,3,5,0,131,8,5,0,8,12,3,0,3,0,40,8,9,4,15,23,14,0,3,5,85,270,1088,174,444,617,238,16,79,33,2970,0,10,0,0,4,0,0,0,0,15,12,75,4,0,4,0,0,0,0,95,79,265,18,22,41,22,12,9,5,478,3,10,0,3,0,4,3,0,0,24,33,108,6,17,14,3,0,0,3,187,8,15,0,4,3,0,0,0,0,37,284,1254,128,133,251,141,27,75,16,2311,0,0,5,0,0,0,0,0,0,7
POA6022,4,31,3,3,7,0,0,0,0,47,0,4,0,3,3,0,0,0,0,14,20,199,7,20,26,7,0,0,3,284,0,0,0,0,0,0,0,0,0,0,3,20,4,12,23,6,0,0,0,63,6,16,7,27,26,13,0,3,0,94,10,5,29,41,37,13,0,4,4,141,0,3,0,0,12,0,0,3,0,16,0,5,0,10,17,4,0,3,0,43,3,0,0,0,3,3,0,0,0,8,0,3,0,4,5,3,0,0,3,24,56,317,49,128,148,50,3,19,8,781,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12,20,42,0,3,4,0,0,5,0,74,0,3,0,0,0,0,0,0,0,0,9,53,4,4,4,0,0,0,0,72,0,10,0,4,3,0,0,0,0,13,70,333,23,40,45,13,10,3,7,541,0,0,0,0,0,0,0,0,0,0
POA6023,23,114,3,10,17,4,0,0,0,168,3,15,0,0,5,0,0,0,0,22,112,638,22,73,137,34,0,9,15,1038,0,0,0,3,0,3,0,0,0,6,13,93,11,41,62,19,0,5,0,243,21,45,17,46,61,24,0,6,3,222,21,23,47,104,84,29,3,14,7,337,0,3,3,6,19,9,0,4,0,50,8,8,5,25,47,12,0,6,0,107,3,10,0,0,11,0,0,4,0,34,10,14,0,12,13,8,0,3,3,66,239,1141,121,336,466,137,8,54,30,2527,6,10,0,0,3,0,0,0,0,17,22,82,3,3,4,0,0,0,0,119,93,249,10,12,21,5,4,0,4,394,9,23,3,0,3,0,0,0,0,43,50,160,10,14,18,9,0,0,4,258,15,18,0,3,3,0,0,0,0,38,342,1151,78,125,201,68,9,36,22,2034,0,3,0,3,0,3,0,0,0,7
POA6024,9,86,3,11,7,3,0,0,0,115,5,13,0,5,0,0,0,0,0,20,74,472,21,64,94,30,4,4,11,766,0,0,0,0,0,0,0,0,0,0,13,51,10,37,38,12,0,0,0,157,31,35,12,49,73,9,0,7,0,219,37,30,50,113,105,35,7,23,3,396,7,3,3,15,16,15,0,3,0,55,3,9,4,24,30,8,0,3,0,79,3,11,4,4,15,3,0,0,0,41,3,18,0,20,13,14,0,0,6,66,193,811,114,338,410,129,14,49,19,2078,3,9,0,0,3,0,0,0,0,14,3,37,0,0,0,0,0,0,0,44,41,131,12,6,24,3,0,6,3,232,3,7,0,0,0,0,0,0,0,14,24,109,3,12,14,3,0,0,0,172,5,21,3,5,3,0,0,3,0,38,190,802,59,86,139,48,16,19,21,1375,0,0,0,0,0,0,0,0,0,3
POA6025,19,158,3,17,25,5,0,3,3,240,9,35,0,4,8,0,0,0,0,49,215,1121,34,140,268,78,3,17,13,1892,0,0,0,3,0,0,0,0,0,10,52,134,28,83,113,24,3,18,3,454,68,58,27,125,164,55,7,15,0,516,62,68,98,260,222,70,8,37,13,843,5,11,3,19,34,24,0,11,3,109,15,15,9,46,77,29,0,7,0,204,6,13,0,5,24,3,3,3,0,58,6,22,7,28,41,19,0,14,14,156,500,1878,222,742,1008,313,26,129,54,4875,3,23,0,0,0,0,0,0,0,26,17,114,0,0,4,3,0,3,0,142,152,311,20,19,43,10,0,5,3,570,10,15,0,3,4,0,0,0,0,40,52,217,3,25,34,6,0,3,3,351,15,43,4,4,7,0,0,0,0,75,543,1858,129,219,364,139,22,55,39,3373,0,0,0,3,0,0,0,5,0,12
POA6026,13,102,4,18,17,0,0,0,0,155,5,23,0,3,5,0,0,0,0,40,123,808,30,91,163,59,3,14,3,1283,0,0,0,0,0,0,0,0,0,0,20,123,13,79,96,24,0,6,0,372,37,55,18,90,142,41,5,16,3,400,46,41,78,199,187,65,7,21,0,634,8,0,3,14,28,16,0,3,0,76,11,11,4,41,78,24,0,3,6,188,0,4,4,12,14,4,0,0,0,40,8,18,4,21,21,18,0,3,4,96,306,1336,166,577,761,265,18,63,19,3519,0,12,0,0,4,0,0,0,0,13,9,65,0,4,0,0,0,0,3,84,88,227,12,16,23,9,3,3,3,385,5,11,4,0,0,3,0,0,0,24,37,167,6,19,23,4,0,0,4,264,16,35,3,9,4,0,0,0,0,70,354,1405,93,148,232,112,27,43,15,2418,0,0,5,0,0,0,0,0,0,4
POA6027,22,191,5,27,21,7,0,3,0,275,3,52,0,0,12,0,0,0,3,72,202,1386,65,207,300,133,8,39,17,2362,0,0,0,7,5,0,0,0,0,16,61,205,25,103,147,45,0,14,3,601,86,142,47,240,216,80,8,29,12,864,81,85,164,439,344,138,13,66,14,1351,4,5,9,31,52,31,0,12,0,153,22,29,14,73,106,39,4,19,0,299,12,21,3,10,27,3,3,5,3,91,5,20,19,37,71,27,0,14,8,206,558,2434,375,1216,1331,521,39,208,66,6758,3,20,0,6,3,0,0,0,0,36,22,126,3,3,7,3,0,0,0,165,154,394,24,35,54,18,9,20,0,715,9,33,0,5,0,0,0,0,4,55,44,263,15,38,32,9,0,5,3,404,23,76,3,8,14,0,0,0,3,134,580,2254,212,307,411,221,52,100,46,4182,0,0,6,11,3,0,4,6,0,29
POA6028,12,93,0,15,8,0,3,0,0,125,10,27,0,3,5,0,0,0,0,45,129,790,32,106,164,83,4,13,9,1332,0,0,0,3,0,0,0,0,0,7,44,107,16,76,93,30,0,12,4,374,56,66,20,103,137,37,3,3,3,432,44,40,110,198,198,87,8,30,9,720,7,0,0,13,30,23,0,9,0,90,8,12,6,37,70,19,0,9,3,165,7,8,0,10,23,5,0,0,0,54,11,16,0,14,22,18,0,6,7,101,349,1323,189,582,764,323,25,87,37,3670,3,18,0,0,0,0,0,0,0,20,9,57,0,0,4,0,0,0,0,78,106,237,12,11,26,15,0,3,4,425,3,27,0,0,3,0,0,0,0,35,26,143,3,17,15,4,5,0,3,214,24,30,0,9,5,3,0,0,3,71,363,1241,98,146,245,130,29,36,22,2311,0,3,0,0,0,0,0,0,0,9
POA6029,0,15,0,0,4,0,0,0,0,23,0,3,0,0,0,0,0,0,0,8,34,131,0,17,26,7,0,0,0,215,0,0,0,0,0,0,0,0,0,0,5,16,8,7,10,6,0,0,0,47,3,8,0,4,12,9,0,0,0,36,3,0,6,18,4,3,0,3,0,45,0,0,0,0,3,0,0,0,0,7,0,0,0,3,6,0,0,4,0,15,0,6,0,0,3,0,0,0,0,13,0,5,0,0,0,0,0,0,3,17,73,231,14,53,79,20,0,9,3,485,3,7,0,0,0,0,0,0,0,4,5,21,0,0,0,0,0,0,0,27,28,47,0,6,3,0,0,3,0,89,0,3,0,0,0,0,0,0,0,3,5,27,0,3,4,0,0,0,0,44,4,5,0,0,0,0,0,0,0,7,92,253,9,18,34,15,0,0,5,424,0,0,0,0,0,0,0,0,0,0
POA6030,13,97,3,29,17,5,0,0,6,168,5,28,0,6,6,0,0,3,0,45,136,829,46,150,172,60,3,49,15,1457,0,0,0,6,3,0,0,0,0,15,58,122,17,101,107,31,0,23,5,473,61,109,39,254,193,56,11,28,11,763,91,78,195,444,302,155,22,82,15,1389,9,7,10,37,44,43,4,19,3,184,17,18,11,80,83,33,8,20,0,266,10,13,0,21,24,7,0,9,3,83,18,33,13,30,39,36,4,20,21,216,451,1482,342,1181,1030,438,53,264,82,5320,7,19,0,0,0,0,0,0,0,28,16,51,0,0,4,0,0,0,0,66,78,230,13,19,48,16,10,12,5,431,3,8,0,0,6,0,0,0,0,24,37,149,4,35,21,12,0,0,3,262,14,31,4,7,6,3,0,3,0,75,342,1275,133,217,234,97,38,102,19,2456,5,0,0,7,3,0,3,0,0,20
POA6031,5,39,3,17,3,5,0,0,0,75,0,22,0,0,8,0,0,0,0,30,57,426,23,80,101,46,3,22,14,766,0,0,0,4,0,0,0,0,0,5,24,58,10,49,59,15,0,13,0,223,34,49,21,147,100,36,0,10,0,407,38,34,98,205,185,80,13,40,9,697,5,3,4,7,43,16,3,7,0,84,5,4,5,18,49,9,5,10,0,108,3,9,0,7,8,0,0,3,0,35,3,0,5,21,11,17,0,7,7,74,183,717,173,571,583,235,23,109,27,2619,0,5,0,0,0,0,0,0,0,12,6,11,0,4,0,0,0,0,0,25,40,101,14,9,29,7,13,4,0,214,0,4,0,0,0,4,0,0,0,14,16,59,4,23,7,6,0,0,0,112,4,25,3,0,8,0,0,0,0,38,129,625,78,104,133,75,27,41,17,1236,0,0,4,4,0,0,0,0,0,9
POA6032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,0,7,3,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
POA6033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,18,3,3,13,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
POA6034,0,3,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,44,0,14,18,0,0,3,3,86,0,0,0,0,0,0,0,0,0,0,7,0,0,3,6,3,0,0,0,17,0,7,3,16,13,3,0,6,0,50,10,8,16,32,32,6,0,0,0,99,0,0,0,0,3,3,0,0,0,11,0,3,3,9,5,0,0,0,0,20,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,25,72,17,73,78,19,0,13,7,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,3,6,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10,65,4,12,14,5,3,3,3,128,0,0,0,0,0,0,0,0,0,3
POA6035,3,21,0,6,0,0,0,0,0,31,0,4,0,0,0,0,0,0,0,7,24,147,8,25,34,8,0,5,0,253,0,0,0,0,0,0,0,0,0,9,7,26,3,20,21,8,0,3,0,99,11,26,11,58,38,8,3,12,0,158,25,22,60,104,68,27,10,25,3,340,0,0,0,9,6,4,0,3,0,30,3,5,3,21,14,12,3,7,0,67,0,3,0,3,4,0,0,0,0,11,3,5,3,7,16,11,0,6,3,49,75,285,91,247,205,82,14,76,14,1077,3,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,12,31,3,0,3,3,0,3,0,51,0,0,0,0,0,0,0,0,0,0,4,28,0,4,0,0,0,0,0,42,0,8,0,0,0,0,0,0,0,8,50,199,18,32,51,12,3,12,3,383,0,0,0,3,0,0,0,0,0,11
POA6036,4,46,5,21,6,3,0,0,0,81,3,3,0,0,4,0,0,0,0,12,42,334,19,74,76,35,0,23,8,606,0,0,0,0,4,0,0,0,0,7,22,53,7,46,31,15,0,6,3,193,14,44,18,113,65,30,3,10,0,301,34,43,88,190,134,77,15,31,6,619,4,4,0,16,12,14,3,8,0,58,12,3,8,36,33,16,3,5,0,106,0,9,0,9,7,3,0,5,0,32,7,18,10,12,10,14,0,13,3,91,151,607,149,532,393,205,21,97,21,2190,0,0,0,0,5,0,0,0,0,5,0,16,0,0,0,0,0,0,0,19,25,60,7,15,15,6,5,7,0,141,0,9,0,0,0,0,0,0,0,13,5,59,3,21,7,3,0,0,0,108,4,9,0,0,3,0,0,0,0,22,112,501,40,108,103,50,24,41,14,989,0,0,0,0,4,0,0,0,0,5
