POA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
POA6012,57,233,139,152,233,423,259,541,31,2068,0,3,6,0,0,3,0,0,0,11,0,4,5,3,6,13,3,14,0,57,3,10,8,3,4,10,0,0,0,40,0,0,0,3,3,0,0,0,0,7,0,4,6,3,4,4,0,5,0,30,0,3,0,6,4,0,0,4,0,19,3,47,34,24,21,19,7,11,0,167,4,41,23,19,13,16,3,15,3,144,4,3,6,5,7,3,0,3,0,25,0,0,3,6,0,8,4,0,0,26,4,7,10,10,12,7,4,4,0,61,3,10,4,6,8,5,4,3,0,45,12,35,28,22,29,35,11,27,5,207,0,9,13,8,9,9,0,7,0,59,3,8,19,3,32,18,10,3,0,94,7,88,59,37,27,57,17,58,3,365,20,77,97,84,65,56,15,32,0,441,0,18,12,9,5,6,4,3,0,59,3,12,15,8,8,10,3,5,0,63
POA6014,128,488,406,336,663,1222,679,1295,49,5275,0,3,7,6,0,0,0,0,0,19,8,3,18,26,11,22,17,26,3,141,4,29,11,15,9,24,3,3,0,99,0,0,11,6,4,7,0,0,0,35,9,15,8,17,19,39,12,8,0,127,3,4,6,11,16,17,3,8,0,64,14,139,72,81,40,40,11,15,7,417,9,111,44,34,22,15,16,16,9,282,4,8,13,14,4,7,4,9,0,57,0,19,11,7,11,16,3,8,0,64,10,11,17,15,19,24,14,6,0,123,7,9,14,8,7,17,10,13,0,81,20,84,83,79,66,92,48,62,5,534,10,26,68,31,18,16,13,12,0,187,17,24,35,35,79,47,24,21,3,283,16,150,134,103,94,103,49,98,4,754,62,209,229,234,209,133,55,59,10,1191,3,45,13,11,14,10,7,8,0,113,0,32,22,27,21,20,11,17,0,155
POA6015,34,211,99,108,127,320,201,459,17,1580,0,6,0,0,0,0,0,3,0,13,0,4,4,4,5,5,4,8,0,33,0,10,3,0,0,6,0,3,0,26,0,0,0,0,0,0,0,3,0,7,0,3,8,7,3,8,3,7,0,32,0,3,0,5,5,0,0,3,0,16,12,54,28,15,10,10,0,8,4,136,7,42,11,7,3,0,3,9,3,86,3,10,0,0,0,0,0,0,0,16,0,4,3,0,0,3,0,0,0,10,3,8,7,4,4,3,3,7,0,41,3,8,7,5,6,7,0,7,0,43,3,28,28,28,15,22,14,20,0,151,0,10,7,9,0,5,0,0,0,38,3,3,12,9,9,11,5,3,0,56,5,58,32,30,21,31,19,21,0,219,5,73,69,48,29,31,17,20,0,286,0,14,5,3,5,0,0,0,0,36,3,15,7,4,3,3,0,5,0,40
POA6016,67,222,220,189,411,658,316,573,35,2698,0,0,0,0,0,0,0,0,0,3,7,0,9,5,15,28,16,18,0,107,0,11,4,7,7,16,0,0,0,54,3,0,6,3,8,8,4,0,0,28,3,4,3,8,8,19,3,9,0,57,0,0,6,0,7,12,9,0,0,28,9,78,41,27,32,16,13,9,3,230,5,50,49,22,13,7,12,12,3,174,3,3,6,3,0,3,4,0,0,30,0,0,6,3,7,9,0,0,0,37,10,3,16,15,25,24,8,4,0,99,3,13,5,3,11,14,0,10,0,60,12,29,37,25,34,40,20,28,0,229,3,35,44,5,22,14,3,10,0,144,8,8,22,22,54,33,14,19,3,182,17,69,62,59,51,39,26,44,0,373,39,67,99,99,119,50,27,34,3,535,0,20,13,7,0,6,4,3,0,51,0,28,17,21,14,15,0,3,0,96
POA6017,37,87,110,94,285,266,141,182,22,1229,0,0,0,0,3,3,0,0,0,5,0,0,0,0,4,13,4,11,0,33,0,4,0,3,13,3,4,3,0,30,0,0,0,0,7,4,0,0,0,10,0,0,0,0,5,10,4,6,0,33,0,0,0,3,0,0,0,0,0,11,7,9,26,14,26,11,7,0,0,101,3,22,34,21,14,7,0,5,3,116,0,3,4,4,0,8,0,0,0,19,0,0,0,0,5,0,0,0,0,6,3,0,0,0,8,9,0,0,0,25,0,3,0,0,12,7,0,0,4,27,4,7,3,4,27,19,12,12,0,86,0,7,27,7,15,3,4,0,0,69,6,0,8,4,20,15,9,4,0,65,3,14,13,12,10,12,10,17,0,85,12,19,28,41,72,26,6,12,9,227,0,3,0,3,3,5,0,4,0,18,0,5,8,6,12,9,7,5,0,46
POA6018,260,815,501,577,1217,2323,1333,2350,141,9517,0,11,5,5,3,3,3,0,0,25,26,5,11,15,26,67,43,59,0,248,13,50,31,26,28,49,17,19,0,228,3,0,9,12,18,10,8,3,0,65,8,52,23,51,43,70,25,32,3,312,6,16,16,25,20,34,18,6,0,137,36,273,159,144,129,61,26,42,5,874,24,196,101,83,45,52,39,50,3,588,0,21,17,41,25,35,9,9,3,161,3,22,15,18,24,21,10,11,0,130,19,26,46,45,65,66,33,30,0,330,7,15,24,33,31,50,12,20,0,193,31,103,113,117,133,174,76,83,0,836,12,61,42,24,31,52,18,33,3,280,42,49,56,53,175,112,55,34,3,581,62,235,270,249,179,216,118,164,9,1505,88,246,343,340,433,245,95,107,8,1910,3,60,24,32,28,15,14,11,3,186,20,83,59,52,75,51,23,22,3,373
POA6019,165,456,352,388,782,1454,823,1595,84,6099,0,0,3,0,0,3,0,3,0,9,13,10,12,14,19,53,29,71,0,215,0,21,17,14,25,23,10,17,0,128,0,0,3,4,14,8,7,7,0,44,8,27,18,18,28,49,24,31,0,197,6,10,8,3,21,18,12,5,0,82,21,129,82,82,96,64,31,25,0,520,4,114,82,51,47,45,30,40,4,413,5,7,11,23,17,23,12,10,0,101,0,8,6,3,17,21,11,11,0,74,10,20,24,27,40,72,22,20,0,230,3,17,17,20,36,35,11,21,0,157,24,54,64,66,76,105,56,64,4,515,5,44,45,21,36,47,19,20,3,243,23,16,35,30,96,59,32,23,0,327,28,137,116,130,136,122,75,117,4,864,58,159,175,198,267,162,89,74,3,1189,0,29,13,13,15,11,5,15,0,112,4,43,32,48,37,38,14,22,3,238
POA6020,156,520,355,324,584,1269,656,1365,71,5289,0,0,5,5,3,4,0,0,0,20,6,5,20,15,6,21,6,24,0,108,4,32,16,8,16,16,8,11,4,113,0,5,0,3,7,8,5,0,0,29,7,37,34,30,22,32,10,16,3,181,4,13,8,13,15,16,8,8,0,79,18,194,91,81,47,35,12,15,4,505,12,112,37,28,15,12,10,20,0,239,0,15,9,7,4,11,3,5,0,61,0,18,13,7,9,13,6,3,0,72,3,24,32,26,30,34,7,4,0,172,4,23,19,20,19,24,14,13,0,134,14,84,79,62,56,67,23,19,3,415,5,34,23,20,18,27,11,6,0,153,21,36,36,33,72,67,17,18,0,299,47,176,185,155,95,147,66,94,7,978,60,181,221,212,138,94,47,39,7,1002,3,29,13,14,8,6,7,4,0,92,3,39,24,25,25,29,11,10,0,166
POA6021,121,390,317,335,892,1311,602,1027,82,5079,0,3,3,0,3,0,0,0,0,13,6,0,4,3,10,20,13,15,0,83,7,14,32,19,18,34,15,11,4,138,4,4,6,3,13,9,0,0,0,36,3,32,23,25,32,54,13,20,3,192,0,11,13,9,13,22,3,6,0,86,16,185,101,109,81,49,26,27,3,594,4,64,70,45,44,20,15,25,5,293,3,11,12,16,15,11,3,6,0,77,3,10,9,9,10,10,3,0,0,49,11,14,33,19,34,38,7,11,3,170,4,12,12,12,18,20,5,8,0,94,20,42,57,49,78,71,24,26,0,369,7,41,36,22,31,27,6,8,0,175,24,15,25,26,88,50,24,9,0,257,28,91,108,89,96,59,33,54,4,562,39,126,164,134,226,127,41,34,10,897,0,22,7,20,15,14,4,7,0,83,3,35,25,39,40,26,17,14,0,199
POA6022,41,98,96,93,208,298,154,261,25,1273,0,0,3,0,0,0,0,0,0,9,0,0,0,0,4,3,0,6,0,16,3,3,9,3,7,8,3,0,0,31,0,0,0,0,3,0,0,0,0,4,0,5,3,0,5,9,6,0,0,31,0,0,5,0,0,4,3,0,0,22,4,32,26,27,16,5,3,0,0,114,3,25,4,16,4,9,3,7,0,67,0,3,3,6,5,3,0,0,0,22,0,3,5,0,3,0,0,0,0,13,3,0,0,3,7,9,0,0,0,31,0,0,3,0,6,10,0,0,0,22,3,9,12,11,15,17,5,7,0,78,0,6,10,4,4,0,0,0,0,33,3,10,7,17,21,13,7,3,0,76,5,30,28,36,29,23,18,31,3,207,23,35,47,58,56,24,11,7,3,260,0,10,0,0,0,0,4,0,0,15,0,13,8,5,8,3,3,3,0,51
POA6023,113,374,205,231,544,900,536,914,55,3877,0,0,3,3,0,0,0,3,0,11,5,3,11,9,12,18,0,17,0,77,0,22,12,13,10,11,8,4,0,84,0,3,6,3,4,4,6,0,0,30,4,25,17,11,3,19,8,10,0,92,0,3,6,8,7,7,0,0,0,36,15,151,75,54,36,18,11,14,3,371,8,99,23,22,11,9,5,16,3,187,4,11,3,9,8,3,4,3,0,41,3,13,5,0,3,0,0,0,0,29,10,9,32,11,24,23,10,10,0,132,0,13,8,13,15,3,0,8,0,62,3,47,55,46,51,46,12,16,0,282,3,29,19,20,15,11,5,11,0,108,13,19,35,33,55,38,14,9,0,217,20,101,134,118,88,88,52,76,3,689,40,123,177,170,124,74,26,35,4,768,3,27,19,8,4,7,3,0,0,70,3,38,33,26,29,15,5,5,0,148
