POA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
POA6012,0,0,3,12,4,9,3,3,0,35,0,3,3,11,0,9,3,3,0,34,0,0,0,8,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,3,0,3,3,0,5,0,0,17,0,0,9,38,15,20,6,3,0,95,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,11,3,0,3,0,0,21,0,3,0,4,0,4,0,0,0,10,0,4,0,11,14,13,3,0,0,42,3,7,0,9,0,0,4,0,0,25,0,5,13,23,17,10,8,3,0,75
POA6014,0,0,9,62,14,17,15,0,3,124,0,9,3,25,11,10,13,11,10,86,0,3,0,9,3,0,0,0,0,18,0,9,3,12,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,8,5,42,18,13,11,10,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,18,0,0,0,3,0,0,0,0,0,7,0,3,3,13,0,0,0,0,0,17,0,4,0,13,7,9,10,3,3,53,0,7,10,71,25,40,12,10,3,186,0,0,0,16,3,3,0,0,0,20,0,3,0,8,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,7,4,3,3,22,0,0,0,0,0,35,0,0,3,8,3,3,4,0,0,26,0,6,6,28,24,24,12,8,4,115,0,12,10,21,5,9,6,3,0,61,0,13,20,70,21,21,15,5,0,164
POA6015,0,5,0,0,7,3,0,0,0,16,0,0,0,8,0,3,8,8,3,34,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,4,7,4,8,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,4,8,0,0,3,0,20,0,3,4,15,12,15,0,4,0,55,0,0,0,3,5,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,7,0,7,3,4,8,4,3,5,0,41,0,8,3,0,4,3,0,4,0,26,0,9,16,13,19,13,8,7,0,75
POA6016,0,0,4,53,0,5,0,0,0,70,0,0,0,15,11,7,19,18,11,86,0,0,0,3,3,0,0,0,0,8,0,3,3,5,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,3,0,17,9,5,6,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,8,12,0,0,0,0,0,21,0,0,0,0,0,3,3,0,0,9,0,0,4,34,19,22,4,0,0,87,0,0,0,5,5,0,0,0,0,14,0,0,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,3,12,3,0,0,0,0,21,0,0,0,7,0,8,3,0,0,18,0,3,0,21,20,6,8,0,0,51,0,0,3,10,3,0,0,0,0,17,0,0,3,23,4,7,0,0,0,35
POA6017,0,0,0,39,3,0,0,0,0,41,0,0,0,10,3,5,16,13,3,49,0,0,0,3,3,0,0,0,0,3,0,0,3,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,15,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,3,0,0,10,30,12,6,13,0,0,76,0,0,0,0,0,0,0,0,0,6,3,0,6,11,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,9,3,14,4,0,0,0,0,30,0,0,0,4,0,4,0,0,0,10,0,0,0,4,3,0,3,0,0,6,0,0,0,7,0,5,0,0,0,12,0,0,3,9,0,0,0,0,0,16
POA6018,0,13,7,215,26,26,17,6,0,302,0,3,11,33,12,18,53,47,21,199,0,14,5,14,13,3,0,0,0,57,0,3,6,16,3,0,0,0,0,26,0,4,0,0,0,0,0,0,0,3,0,19,19,55,36,22,17,14,4,183,0,0,0,0,0,0,0,3,0,6,0,0,0,11,3,4,3,0,0,25,0,0,0,0,3,3,3,0,0,12,0,0,8,9,0,0,0,0,0,15,0,3,0,6,7,11,22,6,3,57,3,10,33,259,76,75,30,5,0,499,0,0,0,5,11,5,3,3,3,31,0,0,3,10,3,0,0,0,0,16,0,0,0,6,3,4,0,0,0,14,0,9,6,24,5,0,0,0,0,49,0,0,0,12,0,16,7,3,4,44,0,11,9,51,30,36,23,12,0,183,0,15,16,40,14,9,9,4,0,123,0,21,46,142,64,41,19,11,7,340
POA6019,0,9,9,139,15,12,12,3,0,191,0,4,0,43,17,7,9,8,8,97,0,6,0,11,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,27,11,11,7,3,0,71,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,15,4,5,13,5,0,42,3,11,38,247,51,56,10,4,0,424,0,0,3,13,0,3,4,0,3,25,3,0,0,4,0,0,0,0,0,12,0,0,0,6,0,3,0,0,0,12,0,3,5,15,7,0,0,0,0,29,0,0,0,12,3,7,0,0,0,28,0,4,0,41,15,11,8,4,0,99,0,7,6,9,3,4,4,4,3,39,0,20,39,121,53,25,14,6,3,275
POA6020,0,13,6,50,13,13,14,8,3,111,0,0,0,10,6,14,36,15,6,94,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,4,7,11,20,11,0,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,5,0,0,9,0,0,0,0,0,4,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,3,22,8,0,53,0,12,15,82,58,48,35,4,0,249,0,0,0,5,9,4,3,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,7,0,0,0,7,4,7,3,0,0,22,0,8,12,24,28,30,31,5,0,140,0,3,4,3,4,9,4,0,0,33,3,19,35,70,59,55,12,8,0,260
POA6021,0,4,15,110,6,0,4,3,0,141,0,3,8,37,37,66,181,151,55,541,3,0,0,9,3,0,0,0,0,15,0,0,3,4,0,0,0,0,0,8,0,0,0,3,3,3,0,0,0,11,0,5,15,44,20,17,17,9,0,131,0,0,0,0,0,0,0,4,0,7,0,3,0,5,0,3,3,3,0,25,0,0,0,5,6,3,3,0,0,20,0,3,3,16,0,0,0,0,0,21,0,3,0,3,0,3,4,10,3,20,0,9,18,94,26,27,8,3,0,188,0,0,0,4,4,4,0,4,0,20,0,0,19,24,3,0,0,0,0,49,0,0,0,0,0,0,0,0,0,5,0,7,13,25,6,0,0,0,0,60,0,0,0,10,3,8,3,0,0,26,0,4,0,11,7,6,10,6,0,52,0,0,3,18,8,10,0,0,0,53,0,4,13,53,20,7,3,3,0,103
POA6022,0,3,0,14,0,0,0,10,0,28,0,0,0,0,0,3,10,13,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,14,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,9,10,37,22,15,8,4,0,102,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,3,6,3,0,16,0,0,0,5,0,0,0,0,0,7,0,0,4,12,3,5,3,0,0,24
POA6023,0,13,0,30,15,10,4,4,0,77,0,0,0,4,3,12,18,13,10,60,0,3,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,9,8,0,13,21,6,0,55,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,6,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,4,7,3,26,0,11,12,61,51,40,15,5,0,185,0,3,0,3,3,0,6,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,7,0,3,0,0,0,14,0,0,0,6,0,7,0,0,0,21,0,5,8,25,28,24,25,5,0,123,0,0,0,0,0,4,4,6,0,16,0,36,58,69,63,54,15,7,0,301
POA6024,0,9,9,40,12,6,13,7,3,101,0,0,4,4,7,12,21,13,3,67,0,4,0,3,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,6,11,5,8,6,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,3,3,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,6,0,34,0,13,19,84,65,48,22,4,0,262,0,0,0,8,0,0,3,0,0,14,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,4,3,8,0,0,0,0,0,21,0,0,0,5,0,7,3,0,0,14,0,0,7,7,18,10,17,6,4,72,0,0,0,3,6,0,3,3,0,17,0,10,27,42,19,9,6,4,0,116
POA6025,0,29,11,102,36,26,22,6,0,240,0,4,3,14,11,14,28,19,3,97,0,0,3,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,3,0,0,11,0,0,3,10,13,11,3,5,3,54,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,3,3,3,0,11,0,0,0,0,0,3,5,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,10,33,7,3,67,3,34,30,203,93,90,40,4,0,496,0,0,0,7,4,6,11,3,0,36,0,0,3,4,0,0,0,0,0,16,0,0,0,7,3,0,0,0,0,8,3,3,4,17,3,3,5,0,0,40,0,3,0,10,3,24,15,3,0,56,0,22,22,72,45,53,40,13,11,286,0,7,7,11,13,5,10,12,0,69,4,38,74,128,92,66,27,3,0,431
