POA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
POA6012,43,7,0,0,53,3,0,3,55,6,0,58,105,8,4,3,118,0,0,4,115,3,0,120,16,0,3,0,28,0,0,0,28,0,0,28,3,0,0,0,3,0,0,0,3,0,0,3,168,14,11,3,195,3,0,4,197,6,0,208,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,6,0,0,6,7,0,0,0,7,0,0,0,6,0,0,6,177,14,11,3,202,3,3,3,208,6,0,210,88,14,3,0,108,3,0,3,108,6,0,112,0,0,0,0,0,0,0,0,0,0,0,0,267,27,9,4,307,4,3,6,313,9,0,326,63,13,0,0,78,5,0,5,75,3,0,83,159,16,0,0,171,0,0,0,176,4,0,176,0,0,7,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,3,0,0,3,221,26,7,0,256,8,0,8
POA6014,102,11,0,0,112,7,4,12,124,10,0,129,360,43,4,0,400,7,0,6,406,7,0,414,99,5,3,0,106,0,0,0,106,4,0,109,3,0,0,3,4,0,0,0,4,0,0,4,558,62,5,3,631,10,0,15,647,18,0,661,0,0,0,0,4,0,0,0,8,0,0,8,21,0,0,0,24,0,0,0,25,0,0,26,27,0,0,0,33,3,0,3,29,0,0,33,583,63,7,3,658,17,0,19,679,18,4,697,314,23,7,0,339,15,7,20,361,11,0,367,0,0,0,0,0,0,0,0,0,0,0,3,903,78,17,3,998,27,7,38,1037,23,3,1066,206,39,4,0,257,10,0,10,260,9,0,276,528,80,6,4,614,13,0,13,629,12,0,638,13,0,3,0,20,0,0,0,20,0,0,20,7,0,0,4,11,0,0,0,11,0,0,11,758,119,17,9,901,18,0,18
POA6015,20,0,0,0,22,0,0,0,22,3,0,19,68,0,0,0,70,0,0,0,70,4,0,74,11,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,97,4,0,0,97,0,0,0,97,11,0,105,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,4,0,0,4,100,4,0,0,103,0,0,0,108,11,0,116,69,0,0,0,71,3,0,3,75,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,174,6,0,0,177,6,0,6,182,10,0,191,41,9,0,0,48,5,0,5,47,7,0,55,146,12,0,0,159,6,0,6,169,3,0,172,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,4,4,0,0,0,4,0,0,4,191,19,0,3,215,13,0,13
POA6016,64,21,0,0,85,0,0,0,89,7,0,97,199,31,0,0,235,3,0,3,236,5,0,243,52,10,3,0,71,3,0,3,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,3,318,54,7,5,385,9,0,9,391,13,0,410,0,3,0,0,3,0,0,0,3,0,0,3,10,0,0,0,13,0,0,0,13,0,0,13,10,4,0,0,10,0,0,0,14,0,0,14,329,58,7,3,401,11,0,11,406,13,0,425,151,19,9,0,175,6,0,6,182,3,0,187,0,0,0,0,0,0,0,0,0,0,0,0,479,77,18,7,576,13,0,13,592,16,0,606,107,16,0,0,124,7,0,7,129,6,0,140,243,37,3,0,282,13,0,13,295,5,0,295,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,361,55,3,0,412,20,0,20
POA6017,21,3,0,0,22,3,0,3,26,4,0,33,45,16,0,0,59,0,0,0,59,0,0,59,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,83,15,0,0,101,3,0,3,98,4,0,106,6,0,0,0,9,0,0,0,10,0,0,10,0,0,0,0,0,3,0,3,4,0,0,4,6,0,0,0,10,3,0,3,7,0,0,7,86,19,0,0,105,6,0,6,110,4,0,115,44,11,3,0,58,11,0,11,67,12,0,79,0,0,0,0,0,0,0,0,0,0,0,0,133,33,3,0,169,11,0,11,179,17,0,197,9,3,0,0,18,0,0,0,18,0,0,13,23,3,0,0,30,0,0,0,27,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,35,12,0,0,43,0,0,0
POA6018,177,32,3,3,215,13,0,13,229,20,0,244,641,67,11,3,715,18,0,18,728,11,0,738,175,14,12,5,201,0,0,0,200,0,0,201,3,0,0,3,3,3,0,3,5,0,0,8,996,107,21,11,1139,32,0,32,1165,36,0,1201,15,0,0,0,20,3,0,3,22,0,0,22,38,0,0,0,38,0,0,0,39,3,0,43,57,0,0,0,61,3,0,3,65,3,0,69,1055,112,21,11,1196,33,0,33,1227,36,0,1266,509,43,25,4,578,17,4,16,596,28,0,626,3,0,0,0,3,0,0,0,3,0,5,11,1566,156,46,15,1779,52,4,55,1829,68,5,1905,296,36,6,3,339,10,3,15,349,19,0,365,823,72,7,5,908,19,0,20,932,11,0,940,20,0,6,0,29,0,0,0,32,0,0,32,0,0,0,7,8,0,0,0,8,0,0,8,1140,113,22,15,1283,33,3,34
POA6019,105,13,3,0,121,7,0,7,130,6,0,134,352,32,10,0,399,3,0,3,403,6,0,411,78,3,3,0,85,0,0,0,90,0,0,90,3,0,0,0,4,0,0,0,3,0,0,3,542,54,18,0,613,8,0,8,621,15,3,640,6,3,0,0,6,3,0,3,8,0,0,8,15,0,0,0,20,6,0,6,21,0,0,21,17,7,0,0,24,11,0,11,30,0,0,30,563,55,22,0,635,15,0,15,653,15,3,673,265,17,9,0,293,15,0,15,309,10,0,314,0,0,0,0,0,0,0,0,0,0,0,0,820,79,32,0,928,29,0,29,961,26,3,986,145,11,4,0,157,8,0,12,173,15,0,184,329,35,6,0,369,8,0,8,378,0,0,385,12,3,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,3,0,4,486,46,14,3,548,24,0,24
POA6020,75,8,0,0,84,0,0,0,80,8,0,95,362,32,0,10,403,3,0,3,411,3,0,410,69,10,9,0,83,3,0,3,89,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,501,46,7,10,573,5,0,5,575,13,0,592,9,0,0,0,9,0,0,0,9,0,0,9,16,0,0,0,16,0,0,0,16,0,0,16,25,0,0,0,25,0,0,0,22,0,0,22,528,46,7,10,597,6,0,6,601,13,0,619,236,14,9,5,260,14,0,14,274,14,0,283,0,0,0,0,0,0,0,0,0,0,0,0,766,60,15,14,862,20,0,20,881,22,0,903,152,21,3,0,181,3,0,3,184,12,0,196,592,32,4,10,636,10,0,10,649,12,0,658,12,0,0,0,18,0,0,0,18,0,0,18,0,0,0,4,3,0,0,0,3,0,0,3,760,56,4,13,833,14,0,14
POA6021,110,12,0,0,126,3,0,0,123,9,0,136,302,32,3,0,340,5,0,4,349,6,0,351,49,8,5,0,64,0,0,0,62,3,0,69,3,0,0,3,6,0,0,0,6,0,0,5,466,55,8,8,533,10,3,10,544,18,0,556,9,0,0,0,6,0,0,0,6,0,0,8,29,0,0,0,32,4,0,4,36,0,0,36,33,0,0,0,36,4,0,4,43,0,0,42,505,54,6,8,569,13,3,15,584,19,0,600,312,31,10,0,346,8,0,8,361,20,0,380,0,0,0,0,0,0,0,0,0,0,3,0,815,84,17,9,920,23,3,27,941,35,3,983,138,23,3,3,168,3,0,6,170,4,0,175,336,33,0,0,373,10,0,10,383,14,0,397,11,3,0,0,13,3,0,3,19,0,0,19,3,0,0,3,7,0,0,0,7,0,0,7,495,59,4,7,564,16,0,16
POA6022,22,0,0,0,22,3,0,3,22,5,0,25,100,0,4,3,110,0,0,0,111,0,0,114,29,0,7,0,36,4,0,4,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,151,0,7,3,168,4,0,4,173,6,0,174,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,156,0,7,3,167,4,0,4,170,6,0,177,73,13,0,0,86,0,0,0,86,5,0,88,0,0,0,0,3,0,0,0,3,0,0,3,230,14,7,3,257,5,0,5,264,6,0,273,44,7,0,3,53,3,0,3,55,9,0,60,121,5,4,0,129,4,0,3,134,4,0,139,0,0,3,0,8,0,0,0,8,0,0,8,0,0,0,3,3,0,0,0,3,0,0,3,159,15,3,9,185,4,0,5
POA6023,70,12,0,0,85,0,0,0,87,7,0,86,289,16,4,0,310,3,0,3,318,3,0,320,60,0,3,0,61,0,0,0,61,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,420,29,7,4,458,3,0,3,468,10,0,476,6,0,0,0,6,0,0,0,6,0,0,6,16,5,0,0,18,0,0,0,18,0,0,18,20,5,0,0,21,0,0,0,21,0,0,21,440,33,7,4,485,3,0,3,489,10,0,495,213,19,8,5,242,13,0,11,257,3,0,258,0,0,0,0,0,0,0,0,0,0,0,0,654,52,16,6,723,15,3,14,742,13,0,755,129,21,0,0,148,3,0,3,157,8,0,164,500,26,5,3,533,10,0,10,542,5,0,552,20,0,3,0,25,0,0,0,25,0,0,25,3,0,0,3,8,3,0,3,7,0,0,7,653,48,5,7,709,17,0,13
POA6024,49,11,3,0,65,3,0,3,65,6,0,76,255,24,3,0,291,3,0,3,290,12,0,300,41,9,4,0,52,0,0,0,53,0,0,53,3,0,0,0,3,0,0,0,3,0,0,3,358,39,15,0,408,6,0,10,420,13,0,436,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,18,0,0,0,19,3,0,16,18,0,0,0,20,0,0,0,17,0,0,18,369,40,15,0,429,6,0,11,438,17,0,454,189,21,3,11,220,3,0,7,228,6,0,233,3,0,0,0,3,0,0,0,3,0,0,3,562,57,14,11,648,14,3,15,665,25,0,691,88,5,3,3,102,3,0,3,102,11,0,112,293,36,0,3,331,9,3,13,343,0,0,346,15,3,0,0,14,0,0,0,14,0,0,14,0,0,0,3,4,0,0,0,4,0,0,4,397,40,5,7,451,12,3,16
POA6025,123,20,4,0,152,3,0,6,161,10,0,168,500,47,9,8,567,3,0,7,569,8,0,578,123,18,10,0,148,0,3,3,153,3,0,157,4,4,0,4,9,0,0,0,9,0,0,11,751,91,22,14,874,11,3,16,889,23,0,917,6,0,0,0,7,3,0,3,13,0,0,13,33,0,0,3,35,0,0,0,35,0,0,35,43,0,3,3,42,8,0,8,48,0,0,48,789,91,29,16,923,15,3,22,941,23,0,962,462,33,15,5,512,11,0,11,522,18,0,542,0,0,0,0,0,0,0,0,0,0,0,0,1250,127,44,18,1436,26,3,31,1464,40,0,1504,188,21,3,3,222,9,5,16,235,17,3,256,667,43,11,0,722,8,0,11,735,10,0,739,10,4,0,0,15,0,0,0,15,0,0,16,5,0,0,8,8,0,0,0,8,0,0,8,874,74,13,8,968,20,7,27
POA6026,81,10,3,3,98,5,0,5,103,9,0,109,351,30,4,3,390,13,0,13,401,3,0,403,75,3,13,0,96,0,3,3,94,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,511,49,18,3,580,15,3,15,598,12,0,612,8,0,0,0,8,0,0,0,7,3,0,8,21,0,4,0,28,6,0,6,29,0,0,29,27,0,4,0,29,6,0,6,39,3,0,37,544,49,24,3,615,17,3,20,637,11,0,650,262,26,8,5,300,3,0,3,304,8,0,317,0,0,0,0,3,0,0,0,3,0,0,3,807,76,30,10,914,27,3,26,942,20,0,966,181,24,0,3,210,4,3,7,217,10,0,224,557,38,7,3,609,10,3,13,620,4,0,628,23,3,0,0,26,0,0,0,26,0,0,27,0,0,0,0,4,0,0,0,4,0,0,4,760,65,13,7,840,15,9,17
POA6027,181,30,0,0,214,4,4,5,219,17,0,232,637,50,12,3,702,13,3,12,717,13,0,728,127,17,15,3,162,0,0,0,164,0,0,164,9,0,0,7,14,0,0,0,10,0,0,10,945,92,31,10,1085,16,9,21,1104,27,0,1140,12,0,0,0,15,5,0,5,20,0,0,21,46,10,0,0,56,4,0,4,54,0,0,54,56,12,0,0,69,4,0,4,72,0,0,74,1005,98,31,12,1154,22,9,26,1181,28,0,1213,520,45,18,18,601,30,3,30,632,38,0,667,0,0,0,0,0,0,0,0,0,3,7,10,1530,146,52,29,1751,50,7,62,1812,70,7,1887,330,43,5,0,381,10,3,12,396,18,0,409,760,75,11,7,855,20,0,20,872,19,0,897,25,3,3,0,36,0,0,0,35,0,0,37,10,0,0,14,22,0,0,0,22,0,3,24,1128,120,23,17,1287,39,3,41
POA6028,105,16,0,0,118,4,0,10,125,7,0,131,340,28,8,3,381,6,0,6,385,3,0,395,53,7,12,0,68,0,0,0,68,0,0,75,5,0,0,4,11,0,0,0,11,0,0,10,503,44,24,4,585,12,0,15,595,8,0,610,8,0,0,0,10,0,0,0,10,0,0,10,33,0,0,0,40,3,0,3,37,3,0,45,46,0,0,0,49,3,0,3,47,3,0,51,546,47,24,10,632,19,0,18,646,13,0,663,270,21,11,7,316,11,0,11,320,11,0,328,0,4,0,0,3,0,0,0,3,0,0,3,817,69,39,18,944,22,0,24,971,22,3,1000,204,35,4,6,248,6,0,7,255,9,0,269,553,34,5,7,601,15,0,10,614,11,0,624,23,0,3,0,26,0,0,0,30,0,0,30,4,0,0,3,12,0,0,0,12,0,0,12,785,68,17,14,882,23,4,22
POA6029,19,0,0,0,19,0,0,0,20,0,0,20,37,6,0,0,42,0,0,0,42,0,0,41,6,5,0,0,18,0,0,0,18,0,0,18,3,0,0,0,3,0,0,0,3,0,0,3,63,12,0,0,75,0,0,0,80,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,72,12,0,0,77,0,0,0,79,0,0,85,30,3,3,0,36,0,0,0,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,102,13,3,0,118,0,0,0,122,0,0,123,28,3,0,0,26,3,0,3,32,0,0,33,58,8,0,0,67,0,3,3,73,0,0,73,0,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,92,13,0,0,101,3,3,3
POA6030,179,27,11,3,221,9,3,7,227,17,0,242,475,60,8,7,547,17,4,16,570,8,0,576,121,11,10,3,147,0,0,0,147,3,0,144,8,0,0,9,24,0,0,0,22,3,0,22,780,104,31,14,931,25,4,32,961,30,0,990,22,7,0,0,27,0,0,0,27,0,0,27,41,3,0,0,44,4,0,4,46,0,0,46,63,8,0,0,68,4,0,4,76,0,0,76,844,114,36,14,1003,26,4,36,1036,30,0,1069,547,93,39,19,701,60,5,64,763,71,0,835,0,0,0,3,3,0,0,0,3,0,5,5,1386,202,68,41,1706,88,16,99,1805,106,3,1912,268,62,8,0,337,14,0,12,349,21,0,373,635,82,5,3,727,21,0,26,749,14,0,762,21,5,0,0,33,0,0,0,31,0,0,31,10,0,0,9,19,0,0,0,16,0,0,16,934,153,11,15,1114,35,7,43
POA6031,132,23,4,0,165,3,0,3,167,10,0,177,353,41,9,3,400,9,0,9,411,5,0,413,82,3,7,0,88,0,0,0,88,5,0,93,3,0,0,0,4,0,0,0,4,0,0,9,573,69,17,6,658,10,0,10,670,19,3,695,9,3,0,0,10,0,0,0,11,0,0,11,24,0,0,0,30,6,0,6,38,0,0,36,31,7,0,0,39,5,0,5,48,3,0,49,602,69,18,5,704,20,0,20,719,24,3,750,327,26,17,16,391,22,0,18,410,29,0,440,0,0,0,3,4,0,0,0,4,0,0,3,933,98,34,29,1094,35,0,43,1136,54,3,1194,161,27,0,0,188,9,0,12,193,15,0,206,380,48,9,4,443,17,0,17,452,3,0,456,17,3,9,0,21,0,0,0,21,0,0,28,4,0,0,0,4,0,0,0,4,0,4,7,557,73,20,3,649,24,0,28
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
POA6033,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,9,3,0,13,3,0,0,0,3,0,0,0,3,0,0,3,11,0,3,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,15,0,0,0
POA6034,15,0,0,0,22,0,0,0,22,0,0,22,46,4,0,0,57,0,0,0,57,0,0,57,6,0,0,0,6,0,0,0,6,0,0,10,3,0,0,0,4,0,0,0,4,0,0,4,80,6,0,0,85,0,0,0,85,0,0,86,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,81,6,0,0,86,0,0,0,86,0,0,91,38,4,6,0,39,4,0,4,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,115,5,3,3,130,4,0,4,130,0,0,134,12,3,0,0,16,0,0,0,16,0,0,16,33,3,0,0,35,0,0,0,35,0,0,35,3,3,0,0,7,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,51,6,0,0,58,0,0,0
POA6035,40,17,0,0,57,5,0,5,66,3,0,67,139,15,0,3,158,3,0,7,164,3,0,173,22,3,5,0,27,0,0,0,27,0,0,27,0,4,0,7,6,0,0,0,6,0,0,6,208,35,7,11,258,14,0,12,267,12,0,276,3,0,0,0,3,3,0,3,6,3,0,7,14,0,0,0,14,0,0,0,16,0,0,16,12,0,0,0,14,3,0,3,22,3,0,26,220,38,7,11,269,17,0,22,292,13,0,300,149,10,15,10,184,22,0,22,202,13,0,215,0,0,0,0,0,0,0,0,0,0,0,3,366,51,19,15,457,37,0,37,494,22,0,518,54,7,0,0,71,4,0,4,71,5,0,75,149,21,6,9,181,3,0,3,186,6,0,190,10,0,0,0,8,0,0,0,8,0,0,8,0,6,0,4,8,0,0,0,8,0,0,8,208,40,10,11,267,6,0,6
POA6036,81,14,4,3,103,0,0,0,108,13,0,120,273,19,11,4,304,5,3,8,315,9,0,326,49,10,7,0,69,3,0,3,73,0,0,73,3,0,0,0,3,0,0,0,3,0,0,3,411,49,22,3,483,14,3,18,503,16,0,516,10,3,0,0,15,0,0,0,12,6,0,17,28,7,0,0,38,3,0,3,42,0,0,39,42,10,0,0,51,7,0,7,51,4,0,61,445,60,22,3,535,20,3,18,552,25,0,578,318,20,9,5,354,21,4,31,386,32,0,416,3,0,0,0,3,0,0,0,3,0,3,6,771,80,27,12,892,40,9,49,943,55,3,996,134,16,6,0,155,3,3,8,159,6,0,169,287,28,13,5,338,10,0,10,345,7,0,349,5,0,6,0,13,0,0,0,13,0,0,13,0,5,0,3,6,0,0,0,6,0,0,6,432,46,19,10,508,12,3,19
POA6037,4,0,0,0,9,0,0,0,9,0,0,9,46,3,3,0,51,0,0,0,54,5,0,60,8,0,0,0,8,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,63,3,3,0,64,3,0,3,70,5,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,64,3,3,0,70,3,0,3,69,5,0,74,35,6,8,0,49,3,0,3,54,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,99,8,4,3,120,3,0,3,122,10,0,128,10,0,0,0,10,3,0,3,9,0,0,9,74,3,0,0,75,6,0,6,82,3,0,89,0,0,0,0,3,0,0,0,3,0,0,7,0,0,0,3,3,0,0,0,3,0,0,3,78,3,0,3,88,7,0,11
