POA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA6012,3,7,19,0,0,14,43,0,11,0,0,0,0,18,0,88,5,0,0,0,97,6,30,13,0,4,0,54,18,16,7,0,0,0,42,112,6,35,0,3,0,155,152,0,49,0,4,0,210,131,0,57,0,7,0,196,54,0,28,0,0,0,80,52,0,16,0,7,0,73,29,0,5,0,0,0,32,35,0,12,0,0,0,49,18,0,0,0,0,0,21,54,0,12,0,3,0,61,6,4,6,0,0,0,18,670,170,259,7,25,21,1152
POA6014,4,0,41,3,0,26,80,0,0,3,0,0,0,9,0,15,14,3,0,3,35,10,11,33,5,0,0,57,38,0,21,0,3,0,62,196,0,59,0,13,0,279,419,3,136,0,18,0,566,234,0,112,0,7,0,351,151,0,66,0,3,0,225,97,0,36,0,3,0,141,80,0,24,0,3,0,105,70,0,17,0,0,0,81,31,0,4,0,0,0,35,50,0,15,0,0,0,65,21,0,25,7,3,3,52,1392,28,611,18,55,32,2142
POA6015,0,0,15,0,0,3,24,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,9,0,0,0,10,4,0,0,0,0,0,7,16,0,12,0,0,0,23,26,0,14,0,0,0,39,25,0,10,0,0,0,33,19,0,8,0,0,0,35,20,0,8,0,0,0,25,48,0,20,0,0,0,70,3,0,0,0,0,0,5,170,0,98,8,4,3,284
POA6016,0,14,17,0,0,7,41,0,17,0,0,0,0,18,0,100,8,0,0,0,112,4,35,7,10,0,0,60,3,13,18,6,0,0,35,58,12,28,3,3,0,99,190,10,61,4,13,0,281,160,3,98,0,7,0,272,147,0,71,0,7,3,226,64,0,22,0,0,0,91,22,0,7,0,0,0,33,14,0,6,0,0,0,16,9,0,0,0,0,0,9,8,0,0,0,0,0,6,3,3,4,0,0,0,17,681,209,354,22,33,16,1310
POA6017,4,4,9,0,0,7,23,0,7,0,0,0,0,7,0,41,8,4,3,0,51,5,19,6,3,0,0,31,31,3,9,4,0,0,44,89,3,33,0,7,0,138,240,12,98,0,9,3,352,143,0,77,0,9,6,238,48,0,14,0,0,0,67,8,0,0,0,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,3,19,579,82,263,10,24,12,977
POA6018,8,33,66,6,6,27,153,0,61,6,5,0,0,68,3,328,21,32,0,3,387,11,121,30,10,0,0,174,13,48,40,12,5,0,125,26,29,53,0,14,0,126,144,18,138,3,15,0,317,536,14,293,4,14,3,865,573,3,223,0,10,3,815,293,0,71,0,0,0,367,151,0,40,0,0,0,193,81,0,18,0,0,0,99,34,0,7,0,0,0,41,36,0,11,0,0,0,41,21,38,32,7,5,3,103,1920,692,1039,75,85,48,3861
POA6019,0,13,52,0,8,37,109,0,13,0,0,0,0,16,5,47,9,0,0,0,64,14,27,31,9,0,0,74,14,5,31,3,3,0,53,75,5,51,0,7,0,145,320,10,123,0,15,3,470,566,4,272,0,15,10,864,403,0,158,0,8,0,568,249,0,69,0,3,0,319,157,0,21,0,0,0,179,60,0,22,0,3,0,85,32,0,13,0,0,0,52,43,0,12,0,0,0,54,23,10,28,4,7,3,68,1950,129,897,14,72,55,3119
POA6020,0,11,25,0,4,22,63,0,9,0,0,0,0,12,3,85,11,11,0,0,114,3,27,22,3,0,0,58,9,11,13,0,0,0,29,6,4,28,0,3,0,44,45,0,55,0,3,0,106,132,5,110,0,3,0,249,140,0,78,0,0,0,217,90,0,36,0,0,0,131,65,0,36,0,0,0,101,49,0,9,0,0,0,60,24,0,9,0,0,0,28,25,0,6,0,0,0,33,4,6,17,0,0,0,30,594,153,457,25,17,25,1276
POA6021,4,19,57,6,0,21,104,0,19,0,0,0,0,24,4,122,17,3,0,0,144,3,38,35,0,0,0,77,4,15,17,0,0,0,36,16,11,29,3,7,0,73,145,12,117,0,14,3,290,405,4,237,3,27,3,677,177,7,75,0,10,0,272,57,0,16,0,0,0,72,36,0,11,0,0,0,47,17,0,3,0,0,0,18,8,0,0,0,0,0,6,3,0,3,0,0,0,8,12,20,19,0,0,6,53,893,267,631,13,65,31,1905
POA6022,0,0,4,0,0,9,10,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,4,0,0,0,9,4,0,7,0,0,0,11,0,0,3,0,0,0,9,20,0,20,0,0,0,41,80,0,62,0,10,6,153,39,0,16,0,0,0,59,3,0,3,0,0,0,6,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,152,3,135,0,9,10,313
POA6023,0,0,15,0,0,6,19,0,4,0,0,0,0,4,0,10,3,0,0,0,15,0,4,6,0,0,0,11,0,0,8,0,0,0,11,0,0,12,0,0,0,11,8,0,19,0,0,0,28,101,0,47,0,0,0,157,128,0,65,0,5,0,201,57,0,10,0,0,0,74,31,0,12,0,0,0,43,11,0,0,0,0,0,12,7,0,3,0,0,0,5,4,0,0,0,0,0,3,6,0,6,4,3,0,23,353,23,209,5,10,11,614
POA6024,0,0,14,3,0,13,25,0,0,0,0,0,0,0,0,12,14,0,0,0,26,0,14,17,4,0,0,39,0,3,10,0,0,0,14,0,3,9,0,11,0,27,30,3,33,4,0,0,73,205,0,120,0,7,0,331,139,0,58,0,6,0,205,25,0,12,0,0,0,33,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,3,0,0,17,417,35,294,12,29,9,800
POA6025,0,3,33,0,0,24,67,0,0,3,0,0,0,6,0,19,7,0,0,0,26,3,15,25,0,3,0,45,0,5,26,0,0,0,26,3,0,36,0,0,0,37,82,3,95,0,8,3,190,487,0,317,0,19,0,820,259,0,114,0,3,0,379,92,0,36,0,0,0,128,55,0,13,0,0,0,70,42,0,12,0,0,0,56,23,0,3,0,0,0,27,20,0,4,0,0,0,24,11,3,18,0,0,3,41,1079,52,744,4,40,35,1950
POA6026,0,0,19,0,0,9,30,0,0,0,0,0,0,4,0,10,0,0,0,0,20,0,4,8,7,0,3,31,0,5,8,0,0,0,16,7,0,10,0,0,0,16,6,0,36,0,0,0,46,141,0,111,0,3,4,258,204,0,93,0,7,0,303,96,0,29,0,0,0,126,8,0,6,0,0,0,18,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,11,0,0,0,23,475,24,350,16,21,14,902
POA6027,3,8,41,0,7,24,83,0,22,4,0,0,0,26,9,70,26,0,5,0,107,22,46,51,3,0,0,112,11,18,28,3,0,0,62,23,12,45,0,4,0,81,187,11,136,3,3,3,343,972,11,415,0,18,3,1422,429,0,194,0,18,0,638,164,0,57,0,6,0,224,87,0,23,0,0,3,109,24,0,12,0,0,0,38,7,0,4,0,0,0,12,10,0,3,0,0,0,14,22,9,33,0,9,0,81,1973,200,1064,16,63,33,3347
POA6028,0,4,15,0,0,6,26,0,3,0,0,0,0,5,5,8,7,0,0,0,18,0,8,8,3,3,0,20,4,0,18,0,0,0,20,4,0,14,0,0,0,23,40,0,18,0,0,0,64,307,0,135,0,10,0,460,206,0,86,0,3,0,295,85,0,31,0,0,0,121,61,0,12,0,0,0,74,28,0,4,0,0,0,31,12,0,6,0,0,0,17,12,0,4,0,0,0,16,7,3,7,0,0,0,26,768,25,376,3,23,8,1207
POA6029,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,0,5,0,0,0,14,16,0,15,0,0,0,29,15,0,13,0,0,0,31,17,0,6,0,0,0,28,13,0,4,0,0,0,19,6,0,5,0,0,0,9,3,0,0,0,0,0,5,5,0,3,0,0,0,10,0,0,3,3,0,0,3,89,0,67,5,4,4,163
POA6030,6,7,31,0,0,23,71,0,9,0,3,0,0,19,8,78,14,6,4,0,113,7,74,22,18,0,0,123,11,28,28,10,3,0,75,8,46,49,4,3,0,109,323,37,167,8,12,0,553,1163,18,431,3,24,0,1643,285,0,119,0,9,0,414,103,0,35,0,0,0,141,41,0,5,0,0,0,51,21,0,3,0,0,0,23,3,0,7,0,0,0,11,13,0,10,0,0,0,20,21,16,28,4,7,6,79,2013,323,956,52,75,36,3448
POA6031,8,10,11,0,3,3,29,0,4,0,3,0,0,7,0,33,3,0,3,0,39,3,22,13,3,5,0,47,0,17,14,0,0,0,34,3,22,11,0,3,0,35,40,16,37,0,3,0,98,299,3,118,0,10,0,437,127,0,75,0,4,0,205,19,0,16,0,0,0,33,8,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,13,0,0,0,25,513,141,306,14,28,7,1005
POA6032,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,3,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,8,3,25
POA6033,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,16
POA6034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,41,0,3,0,0,0,42,50,0,15,0,0,0,59,6,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,96,0,19,0,0,0,117
POA6035,0,0,10,0,0,11,22,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,0,0,0,6,0,0,11,0,0,0,15,15,0,16,0,0,0,33,161,0,46,0,0,0,211,212,0,80,0,3,6,301,28,0,18,0,0,0,49,7,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,3,0,13,439,0,196,0,13,15,660
POA6036,0,3,8,0,0,8,18,0,0,0,0,0,0,6,0,38,0,3,0,0,41,12,39,5,3,0,0,62,3,20,8,3,0,0,26,8,30,10,3,0,0,47,296,25,57,0,3,3,386,595,9,172,0,4,0,782,109,0,33,0,4,0,150,29,0,7,0,0,0,39,9,0,3,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,8,3,0,0,3,22,1073,165,305,14,17,12,1593
POA6037,0,0,3,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,9,10,0,12,0,0,0,22,43,0,18,0,0,0,61,47,0,18,0,0,3,65,5,0,3,0,0,0,11,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,114,0,72,0,8,7,202
POA6038,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,9,159,0,26,0,0,0,186,251,0,52,0,4,3,306,32,0,12,0,3,0,50,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,457,0,99,0,7,11,569
POA6041,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,5,3,0,0,0,0,0,3,0,0,4,0,0,0,4,4,0,8,0,0,0,15,4,0,7,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,40,0,3,3,62
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,13
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,3,0,4,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,13,0,0,0,24
POA6044,0,0,8,0,5,3,18,0,0,0,0,0,0,4,0,4,0,0,0,0,11,0,5,4,0,0,0,10,4,0,3,0,0,0,9,4,0,11,0,0,0,20,6,3,11,0,0,0,17,13,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,19,47,0,16,7,110
POA6050,0,3,27,0,0,14,47,0,0,0,4,0,0,9,4,22,5,17,7,0,63,9,3,12,33,4,0,64,12,0,20,12,0,0,43,106,0,40,6,0,0,156,245,0,105,3,10,0,359,333,3,104,0,7,0,450,160,0,86,0,3,0,257,94,0,32,0,3,0,121,47,0,18,0,0,0,65,29,0,9,0,0,0,40,12,0,7,0,0,0,16,9,0,6,0,0,0,16,10,0,23,9,5,0,49,1066,48,512,91,32,19,1765
POA6051,0,12,32,0,0,17,59,0,26,3,0,0,0,33,8,159,11,3,3,0,187,18,25,43,6,3,0,90,79,19,43,3,11,3,165,244,16,110,0,16,0,388,496,29,175,3,28,0,736,440,8,165,0,9,0,620,221,0,68,0,0,0,297,66,0,26,0,0,0,94,16,0,6,0,0,0,19,6,0,0,0,0,0,9,4,0,0,0,0,0,3,5,3,0,0,3,0,13,22,11,20,0,3,3,61,1635,311,718,27,71,23,2778
