region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA6012,189,156,345,54,67,121,0,0,0,0,0,0,7,4,11,1277,1042,2319,67,99,166,12,0,12,19,0,19,78,23,101,24,11,35,60,74,134,1787,1476,3263,37,28,65,0,0,0,0,0,0,11,19,30,4,6,10,6,3,9,58,56,114,0,0,0,0,0,0,6,3,9,0,5,5,0,0,0,6,8,14,20,9,29,84,73,157,3,8,11,3,0,3,0,0,0,6,8,14,94,120,214,152,279,431,25,19,44,2148,1975,4123
POA6014,114,113,227,397,295,692,0,0,0,3,0,3,16,11,27,3099,2526,5625,176,286,462,20,3,23,70,11,81,263,61,324,53,23,76,185,181,366,4396,3510,7906,39,35,74,0,0,0,0,0,0,19,20,39,8,10,18,10,0,10,76,65,141,0,0,0,0,0,0,15,16,31,8,13,21,3,7,10,26,36,62,28,29,57,130,130,260,9,23,32,3,3,6,3,0,3,15,26,41,198,262,460,432,668,1100,48,40,88,5219,4636,9855
POA6015,7,7,14,74,26,100,0,0,0,0,0,0,6,0,6,1072,736,1808,49,53,102,5,0,5,20,0,20,49,6,55,12,7,19,10,16,26,1304,851,2155,3,4,7,0,0,0,0,0,0,8,11,19,3,0,3,0,0,0,14,15,29,0,0,0,0,0,0,3,3,6,3,4,7,6,0,6,12,7,19,10,5,15,36,27,63,5,4,9,0,0,0,0,0,0,5,4,9,110,154,264,130,190,320,18,16,34,1603,1242,2845
POA6016,173,157,330,163,136,299,0,0,0,0,0,0,12,4,16,1532,1301,2833,116,166,282,20,4,24,43,4,47,139,30,169,40,7,47,78,75,153,2316,1884,4200,48,62,110,0,0,0,0,0,0,11,3,14,10,0,10,7,4,11,76,69,145,0,0,0,0,0,0,4,7,11,0,3,3,0,0,0,4,10,14,17,12,29,97,91,188,16,7,23,0,3,3,5,0,5,21,10,31,79,96,175,170,315,485,30,33,63,2713,2429,5142
POA6017,28,42,70,48,59,107,0,0,0,3,0,3,5,3,8,807,539,1346,43,79,122,15,0,15,16,5,21,25,7,32,11,6,17,36,31,67,1037,771,1808,33,37,70,0,0,0,0,0,0,11,17,28,0,4,4,4,0,4,48,58,106,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,5,4,9,53,66,119,4,3,7,0,0,0,3,0,3,7,3,10,9,14,23,72,97,169,12,4,16,1190,955,2145
POA6018,195,167,362,186,165,351,3,0,3,0,3,3,20,4,24,5994,5070,11064,334,476,810,78,6,84,97,13,110,229,54,283,129,32,161,152,180,332,7417,6170,13587,237,229,466,0,0,0,0,0,0,115,113,228,21,32,53,7,5,12,380,379,759,0,0,0,0,0,0,17,20,37,6,23,29,6,0,6,29,43,72,67,29,96,476,451,927,52,48,100,6,0,6,6,0,6,64,48,112,262,429,691,734,1190,1924,96,84,180,9049,8372,17421
POA6019,58,78,136,194,150,344,3,0,3,0,0,0,13,7,20,3789,3222,7011,254,290,544,34,3,37,92,11,103,141,29,170,114,23,137,105,111,216,4797,3924,8721,135,168,303,0,0,0,0,0,0,80,77,157,4,11,15,7,0,7,226,256,482,0,0,0,0,0,0,15,24,39,0,18,18,5,3,8,20,45,65,63,31,94,309,332,641,22,39,61,4,0,4,7,3,10,33,42,75,184,231,415,509,671,1180,70,44,114,5902,5244,11146
POA6020,168,140,308,51,35,86,0,0,0,0,3,3,14,3,17,3869,3072,6941,179,248,427,72,0,72,50,0,50,83,14,97,60,9,69,77,52,129,4623,3576,8199,179,86,265,0,0,0,0,0,0,94,79,173,19,27,46,7,3,10,299,195,494,0,0,0,0,0,0,0,5,5,4,8,12,3,3,6,7,16,23,36,23,59,342,234,576,29,24,53,0,0,0,3,0,3,32,24,56,243,365,608,470,825,1295,61,62,123,5771,5086,10857
POA6021,121,122,243,103,122,225,0,0,0,0,0,0,25,8,33,3514,2753,6267,238,293,531,94,0,94,52,6,58,79,14,93,78,22,100,60,50,110,4364,3390,7754,108,89,197,0,0,0,0,0,0,49,47,96,17,7,24,7,0,7,181,143,324,0,0,0,0,0,0,3,7,10,6,6,12,3,0,3,12,13,25,36,17,53,229,173,402,23,34,57,4,5,9,0,0,0,27,39,66,122,196,318,367,604,971,68,63,131,5177,4465,9642
POA6022,66,67,133,19,7,26,0,0,0,0,0,0,6,0,6,904,734,1638,65,66,131,34,0,34,7,4,11,28,0,28,13,4,17,15,20,35,1157,902,2059,43,26,69,0,0,0,0,0,0,9,16,25,3,5,8,3,0,3,58,47,105,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,12,6,18,73,56,129,6,11,17,4,0,4,0,0,0,10,11,21,41,47,88,121,188,309,14,12,26,1416,1216,2632
POA6023,202,142,344,48,25,73,0,0,0,0,3,3,4,3,7,2703,2238,4941,177,193,370,67,3,70,25,5,30,59,9,68,48,12,60,62,46,108,3395,2679,6074,190,109,299,3,0,3,0,0,0,57,43,100,19,21,40,12,0,12,281,173,454,0,0,0,0,0,0,0,7,7,3,0,3,3,3,6,6,10,16,23,13,36,310,196,506,25,33,58,0,0,0,3,3,6,28,36,64,156,252,408,386,572,958,28,36,64,4303,3771,8074
POA6024,183,195,378,50,36,86,3,0,3,3,0,3,3,0,3,2464,2031,4495,172,178,350,66,3,69,44,6,50,34,4,38,54,11,65,48,51,99,3124,2515,5639,104,94,198,0,0,0,0,0,0,47,53,100,8,12,20,13,0,13,172,159,331,0,0,0,0,0,0,3,5,8,0,6,6,3,0,3,6,11,17,43,8,51,221,178,399,36,24,60,0,4,4,3,0,3,39,28,67,98,152,250,326,525,851,33,29,62,3841,3427,7268
POA6025,300,261,561,96,47,143,4,0,4,0,0,0,20,6,26,5555,4504,10059,386,379,765,158,3,161,85,5,90,68,13,81,141,28,169,100,108,208,6913,5354,12267,246,193,439,0,0,0,0,0,0,185,159,344,30,46,76,14,5,19,475,403,878,0,0,0,0,0,0,3,8,11,7,8,15,0,0,0,10,16,26,71,24,95,556,443,999,64,64,128,3,0,3,4,3,7,71,67,138,208,407,615,761,1167,1928,105,92,197,8614,7530,16144
POA6026,325,285,610,72,26,98,0,0,0,0,0,0,12,3,15,4189,3541,7730,286,318,604,111,0,111,56,5,61,66,13,79,91,11,102,86,75,161,5294,4277,9571,153,104,257,0,3,3,0,0,0,97,101,198,28,35,63,21,4,25,299,247,546,0,0,0,0,0,0,5,0,5,0,9,9,3,0,3,8,9,17,33,16,49,340,272,612,43,41,84,3,0,3,4,3,7,50,44,94,168,245,413,545,886,1431,90,81,171,6487,5805,12292
POA6027,551,510,1061,175,118,293,5,0,5,0,0,0,14,9,23,7697,6352,14049,585,606,1191,214,4,218,123,10,133,98,14,112,254,36,290,246,268,514,9962,7927,17889,267,225,492,3,0,3,4,0,4,215,224,439,62,46,108,19,11,30,570,506,1076,3,0,3,0,0,0,4,6,10,6,16,22,5,3,8,18,25,43,83,49,132,671,580,1251,102,77,179,3,3,6,7,0,7,112,80,192,281,486,767,1147,1510,2657,145,147,292,12318,10730,23048
POA6028,444,302,746,75,39,114,0,5,5,0,0,0,14,3,17,3673,3178,6851,310,342,652,105,3,108,40,4,44,33,3,36,111,23,134,65,55,120,4870,3957,8827,91,75,166,0,0,0,0,0,0,127,77,204,33,30,63,20,4,24,271,186,457,0,0,0,0,0,0,0,4,4,0,5,5,6,0,6,6,9,15,46,25,71,323,220,543,37,27,64,5,0,5,4,0,4,46,27,73,130,232,362,478,725,1203,73,57,130,5920,5218,11138
POA6029,10,12,22,9,4,13,0,0,0,0,0,0,0,0,0,493,380,873,22,34,56,4,0,4,5,0,5,21,6,27,15,0,15,10,8,18,589,444,1033,6,14,20,0,0,0,0,0,0,9,13,22,0,0,0,3,0,3,18,27,45,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,5,5,10,23,35,58,3,3,6,0,0,0,0,0,0,3,3,6,47,45,92,56,96,152,7,11,18,725,634,1359
POA6030,395,483,878,182,52,234,0,0,0,3,3,6,26,7,33,5669,4627,10296,590,449,1039,204,7,211,89,4,93,39,15,54,242,45,287,117,129,246,7556,5821,13377,191,202,393,0,0,0,0,0,0,148,164,312,40,66,106,17,0,17,396,432,828,0,0,0,0,0,0,3,3,6,6,5,11,7,0,7,16,8,24,95,20,115,507,460,967,77,91,168,3,3,6,4,0,4,84,94,178,175,363,538,853,1098,1951,126,107,233,9301,7943,17244
POA6031,80,73,153,54,40,94,0,4,4,0,0,0,3,0,3,1966,1665,3631,163,181,344,87,3,90,34,6,40,13,6,19,97,13,110,28,34,62,2525,2025,4550,41,47,88,0,0,0,0,0,0,59,56,115,6,11,17,3,0,3,109,114,223,0,0,0,0,0,0,0,3,3,0,7,7,0,0,0,0,10,10,24,7,31,133,131,264,18,23,41,3,0,3,5,0,5,26,23,49,50,120,170,284,372,656,36,30,66,3054,2701,5755
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,64,4,4,8,4,0,4,0,0,0,0,0,0,0,3,3,4,3,7,47,39,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,5,22,3,6,9,3,3,6,70,56,126
POA6033,0,4,4,3,3,6,0,0,0,0,0,0,0,3,3,118,81,199,16,8,24,11,0,11,0,0,0,0,0,0,3,3,6,15,4,19,166,106,272,0,0,0,0,0,0,0,0,0,7,3,10,0,3,3,0,0,0,7,6,13,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,10,6,16,4,3,7,0,0,0,0,0,0,4,3,7,16,17,33,18,18,36,0,0,0,214,150,364
POA6035,3,10,13,37,12,49,0,0,0,0,0,0,0,0,0,627,515,1142,66,43,109,27,0,27,7,3,10,0,7,7,48,9,57,12,14,26,827,613,1440,6,11,17,0,0,0,0,0,0,17,22,39,0,3,3,0,0,0,23,36,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,35,40,75,7,14,21,3,0,3,0,0,0,10,14,24,24,53,77,83,118,201,12,9,21,991,847,1838
POA6036,94,107,201,57,22,79,0,0,0,0,3,3,12,3,15,1732,1487,3219,181,141,322,58,3,61,18,3,21,13,0,13,82,10,92,30,39,69,2277,1818,4095,56,48,104,0,0,0,0,0,0,58,65,123,12,13,25,8,0,8,134,126,260,0,0,0,0,0,0,6,3,9,0,0,0,3,0,3,9,3,12,29,10,39,172,139,311,24,30,54,0,0,0,0,0,0,24,30,54,40,99,139,272,292,564,40,16,56,2825,2394,5219
POA6037,3,0,3,18,5,23,0,0,0,0,0,0,0,0,0,285,228,513,28,15,43,18,0,18,0,0,0,0,0,0,27,4,31,12,5,17,391,257,648,0,0,0,0,0,0,0,0,0,3,11,14,0,6,6,0,0,0,3,17,20,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,10,16,17,33,0,3,3,0,0,0,0,0,0,0,3,3,8,25,33,63,73,136,9,6,15,487,381,868
POA6041,0,3,3,13,3,16,0,0,0,0,0,0,0,0,0,153,110,263,10,19,29,7,3,10,0,0,0,0,0,0,11,3,14,7,9,16,201,150,351,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14,52,29,81,8,6,14,275,200,475
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,17,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,20,13,33
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,41,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,8,0,8,32,23,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,6,15,0,0,0,41,32,73
POA6044,0,0,0,12,3,15,0,0,0,0,0,0,0,0,0,159,119,278,35,27,62,17,0,17,0,0,0,3,5,8,12,7,19,31,17,48,269,178,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,5,0,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,41,38,79,28,33,61,3,6,9,349,255,604
POA6050,104,91,195,383,397,780,0,0,0,0,0,0,14,9,23,2396,1882,4278,158,261,419,22,0,22,57,11,68,165,57,222,46,16,62,181,229,410,3526,2953,6479,66,73,139,0,0,0,0,0,0,6,9,15,4,3,7,4,0,4,80,85,165,0,0,0,0,0,0,14,10,24,3,10,13,5,5,10,22,25,47,30,19,49,132,129,261,7,14,21,3,0,3,3,0,3,13,14,27,158,200,358,349,541,890,27,32,59,4205,3869,8074
POA6051,326,305,631,221,224,445,0,0,0,0,3,3,29,10,39,2234,1508,3742,117,211,328,24,3,27,48,15,63,129,38,167,52,19,71,74,76,150,3254,2412,5666,58,75,133,0,0,0,0,0,0,32,37,69,7,10,17,11,6,17,108,128,236,0,0,0,0,0,0,5,7,12,3,10,13,6,6,12,14,23,37,27,9,36,149,160,309,22,20,42,3,0,3,0,0,0,25,20,45,84,94,178,309,413,722,36,27,63,3857,3126,6983
POA6052,48,47,95,292,292,584,0,0,0,0,0,0,5,8,13,1746,1488,3234,112,175,287,21,0,21,33,7,40,99,22,121,26,14,40,53,53,106,2435,2106,4541,39,27,66,0,0,0,0,0,0,5,16,21,4,5,9,3,3,6,51,51,102,0,0,0,0,0,0,3,10,13,5,5,10,5,0,5,13,15,28,20,6,26,84,72,156,7,4,11,0,3,3,4,0,4,11,7,18,86,112,198,225,394,619,37,30,67,2878,2721,5599
POA6053,282,301,583,117,149,266,3,0,3,0,3,3,15,5,20,2260,1864,4124,166,186,352,44,0,44,54,6,60,150,42,192,52,19,71,54,34,88,3197,2609,5806,57,49,106,0,0,0,0,0,0,29,34,63,11,8,19,12,7,19,109,98,207,0,0,0,0,0,0,4,3,7,0,8,8,5,0,5,9,11,20,25,13,38,143,122,265,8,15,23,4,0,4,7,0,7,19,15,34,83,116,199,302,442,744,48,43,91,3792,3347,7139
POA6054,281,277,558,113,83,196,3,0,3,0,0,0,18,5,23,3334,2632,5966,276,278,554,82,3,85,50,8,58,112,25,137,67,23,90,70,84,154,4406,3418,7824,67,59,126,0,0,0,0,0,0,43,63,106,6,23,29,7,3,10,123,148,271,3,0,3,0,0,0,6,14,20,6,8,14,4,0,4,19,22,41,34,26,60,176,196,372,24,24,48,0,3,3,6,0,6,30,27,57,97,158,255,451,620,1071,76,67,143,5236,4486,9722
POA6055,66,102,168,61,35,96,3,0,3,0,0,0,4,6,10,2062,1622,3684,155,161,316,96,0,96,36,7,43,32,8,40,51,11,62,95,64,159,2661,2016,4677,16,24,40,3,0,3,0,0,0,37,32,69,7,7,14,0,3,3,63,66,129,0,0,0,0,0,0,7,5,12,0,3,3,0,3,3,7,11,18,28,7,35,98,84,182,7,8,15,0,0,0,0,3,3,7,11,18,135,169,304,281,357,638,42,49,91,3224,2686,5910
POA6056,146,244,390,229,125,354,3,0,3,4,3,7,10,12,22,6232,4997,11229,578,510,1088,213,9,222,93,8,101,111,27,138,179,47,226,198,215,413,7996,6197,14193,103,109,212,0,0,0,0,0,0,112,133,245,22,30,52,12,6,18,249,278,527,0,0,0,0,0,0,6,5,11,12,16,28,6,0,6,24,21,45,64,41,105,337,340,677,27,44,71,11,0,11,3,0,3,41,44,85,237,360,597,887,1126,2013,157,126,283,9655,8193,17848
POA6057,20,27,47,169,138,307,0,0,0,0,0,0,3,6,9,3138,2484,5622,268,191,459,129,5,134,51,3,54,36,3,39,75,19,94,50,57,107,3939,2933,6872,9,12,21,0,0,0,0,0,0,21,39,60,6,3,9,0,0,0,36,54,90,0,0,0,0,0,0,6,10,16,3,11,14,5,0,5,14,21,35,28,11,39,78,86,164,3,4,7,3,3,6,3,0,3,9,7,16,100,189,289,426,521,947,73,52,125,4625,3788,8413
