POA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA6073,1221,1321,2543,534,267,804,142,344,492,35,43,78,46,30,74,761,691,1455,380,539,920,6,4.3,5.1,62.3,52.3,57.2,58.2,49.5,54,36,23,63,20,46,63,142,191,333,102,156,263,353,121,481,8,15,21,18,44,68,388,184,573,1204,1288,2498,145,164,307,860,918,1779,461,511,973
POA6074,415,399,811,190,79,270,49,117,169,19,13,30,19,22,38,280,232,513,107,147,255,6.8,9.5,7.4,67.5,58.1,63.3,62.2,52.4,57.8,9,12,19,3,9,16,38,58,92,36,52,85,137,44,187,3,3,7,4,22,29,149,68,219,419,397,819,35,50,84,307,288,598,133,144,278
POA6076,8817,9202,18018,3802,1862,5660,1159,2520,3677,267,261,523,346,307,653,5571,4948,10515,2715,3753,6469,6.2,6.2,6.2,63.2,53.8,58.4,59.3,50.5,54.7,377,332,707,192,295,484,1249,1574,2822,843,1178,2019,2227,868,3093,57,130,184,131,281,411,2410,1275,3691,8913,9213,18129,987,1063,2046,6576,6773,13351,3110,3297,6403
POA6077,619,612,1232,260,135,393,90,172,260,24,16,48,21,19,41,397,345,740,194,241,434,5.3,5.5,5.5,64.1,56.4,60.1,60.4,52.8,56.9,15,9,26,9,9,15,30,71,103,39,54,93,201,54,249,4,8,7,4,20,21,206,72,285,622,594,1223,50,48,105,484,475,959,183,167,342
POA6078,417,357,778,188,79,264,66,109,168,17,18,28,19,11,28,287,207,494,103,123,223,6.6,5.3,5.7,68.8,58,63.5,65,57.7,59.1,11,10,19,3,9,10,35,34,60,18,42,61,130,40,162,0,5,5,12,12,28,141,54,195,417,361,783,33,15,52,317,262,576,117,112,229
POA6079,17,11,24,3,3,4,0,0,3,0,3,5,0,0,0,3,4,12,7,4,14,0,0,0,17.6,36.4,50,17.6,54.5,50,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,3,7,17,9,26,0,0,0,10,9,25,0,0,0
POA6081,1923,1862,3785,941,461,1401,207,589,794,90,57,146,85,67,148,1322,1171,2489,469,594,1065,6.4,5.7,5.9,68.7,62.9,65.8,64.4,59.5,61.8,40,60,95,35,57,87,200,321,521,145,225,371,611,213,829,16,29,44,21,47,65,653,288,944,1979,1935,3919,222,207,426,1478,1453,2934,672,644,1314
POA6082,1289,1285,2573,633,308,934,137,383,523,54,40,85,80,49,129,903,775,1672,313,454,768,8.9,6.3,7.7,70.1,60.3,65,63.9,56.9,59.9,19,26,40,16,34,56,120,169,289,105,145,252,416,180,598,12,18,31,24,50,70,447,243,696,1324,1282,2606,173,206,385,939,887,1827,496,547,1046
POA6083,1470,1438,2905,702,341,1044,181,432,612,68,51,121,70,43,109,1017,869,1882,349,465,812,6.9,4.9,5.8,69.2,60.4,64.8,64.7,57.3,61.2,33,49,85,18,24,40,112,189,296,122,194,313,472,169,644,18,26,40,32,42,70,521,228,751,1503,1448,2946,121,133,258,1152,1093,2245,426,455,878
POA6084,3257,3295,6553,1593,856,2451,357,864,1217,142,119,263,130,127,254,2226,1958,4184,699,1028,1722,5.8,6.5,6.1,68.3,59.4,63.8,64.2,55.8,60,32,42,71,14,54,69,143,314,457,199,343,544,1124,441,1566,40,82,114,48,102,149,1207,620,1834,3046,3092,6140,593,566,1164,1968,1959,3929,1501,1531,3031
POA6090,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,3,10,3,0,3,7,3,7,3,0,3
POA6100,6509,6109,12619,3162,1967,5126,1006,1460,2464,182,216,396,390,312,697,4737,3951,8691,1200,1669,2864,8.2,7.9,8,72.8,64.7,68.9,66.8,59.6,63.3,509,495,1011,147,197,346,1400,1526,2924,662,695,1359,1054,446,1498,57,67,125,75,103,171,1185,614,1796,4810,4626,9439,1735,1662,3397,2575,2496,5068,3818,3612,7433
POA6101,7097,6950,14043,3225,2155,5376,990,1661,2649,183,230,411,441,333,776,4836,4384,9216,1498,1909,3408,9.1,7.6,8.4,68.1,63.1,65.6,62,58.2,60.1,470,477,952,136,248,382,1366,1724,3087,602,652,1259,1202,524,1730,61,68,126,88,139,222,1342,735,2075,5614,5693,11308,1669,1587,3258,3215,3274,6485,3746,3642,7391
POA6102,6134,6067,12202,1803,1125,2929,1083,1105,2190,157,148,303,564,385,948,3602,2770,6376,1955,2673,4626,15.7,13.9,14.9,58.7,45.7,52.3,49.6,39.2,44.4,412,321,735,78,125,204,1070,1183,2255,563,496,1062,780,350,1127,64,57,114,65,108,171,903,513,1418,4100,4227,8330,1971,1591,3561,1963,2260,4222,3891,3327,7213
POA6103,4661,4302,8963,2074,1278,3347,650,875,1531,144,121,268,282,228,508,3159,2495,5652,892,1286,2174,8.9,9.1,9,67.8,58,63.1,61.5,52.9,57.4,273,224,496,79,101,173,773,949,1721,438,401,833,828,365,1193,26,40,66,49,68,118,903,476,1374,3241,3089,6333,1258,1148,2401,1662,1691,3351,2681,2385,5067
POA6104,6085,5987,12073,2761,1694,4461,733,1249,1980,231,168,398,343,258,600,4064,3376,7441,1360,2028,3387,8.4,7.6,8.1,66.8,56.4,61.6,61.2,52,56.6,211,215,430,64,137,196,714,951,1671,515,542,1054,1357,581,1935,45,61,111,96,137,233,1494,786,2283,5012,4934,9944,1269,1184,2456,2989,3048,6029,2986,2788,5776
POA6105,6162,6096,12259,2729,1556,4282,776,1222,1997,166,165,335,380,301,681,4047,3249,7296,1539,2271,3811,9.4,9.3,9.3,65.7,53.3,59.5,59.6,48.3,54,233,232,465,60,95,158,767,962,1724,473,518,990,1369,544,1914,58,71,133,92,141,234,1513,760,2278,5159,5164,10322,1450,1361,2807,3153,3271,6425,3156,2932,6089
POA6106,11,3,18,6,0,6,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,63.6,0,38.9,54.5,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,5,0,5,4,0,4,4,0,4,5,0,5
POA6107,18077,17196,35279,8041,4275,12318,2874,4093,6966,590,519,1106,1257,1071,2327,12757,9960,22715,4207,6280,10492,9.9,10.8,10.2,70.6,57.9,64.4,63.6,51.7,57.8,1041,992,2028,204,331,534,2818,3464,6286,1606,1611,3224,3531,1485,5018,162,215,371,247,385,633,3937,2084,6022,15819,15154,30973,4529,4245,8780,8889,8699,17588,10368,9682,20053
POA6108,9332,9382,18709,4300,2263,6559,1246,2395,3644,287,266,555,634,451,1078,6469,5371,11835,2395,3624,6022,9.8,8.4,9.1,69.3,57.2,63.3,62.5,52.5,57.5,272,237,504,98,175,269,938,1255,2188,764,903,1669,2397,987,3387,101,159,265,146,255,396,2647,1401,4049,9296,9442,18735,1374,1372,2747,6593,6709,13303,3650,3653,7308
POA6109,4993,4671,9668,2112,884,2997,617,940,1561,163,150,316,409,295,697,3299,2269,5566,1322,2098,3423,12.4,13,12.5,66.1,48.6,57.6,57.9,42.3,50.4,106,121,226,25,42,71,371,471,838,365,381,746,1183,467,1646,70,90,159,72,122,196,1320,678,2001,4729,4426,9156,932,918,1854,2896,2806,5700,2434,2224,4659
POA6110,15665,16110,31777,7535,3868,11399,1823,3741,5566,520,449,967,1068,866,1936,10947,8925,19869,3723,6189,9913,9.8,9.7,9.7,69.9,55.4,62.5,63.1,50,56.4,481,453,936,115,213,328,1397,1984,3376,1127,1521,2649,4046,1845,5891,194,307,501,212,387,595,4451,2544,6992,15530,15468,30992,2955,3068,6020,9490,9448,18938,8020,8143,16163
POA6111,9304,9390,18695,4140,2087,6227,1178,2387,3566,325,296,621,565,476,1038,6211,5248,11456,2450,3509,5963,9.1,9.1,9.1,66.8,55.9,61.3,60.7,50.8,55.7,211,216,424,80,197,280,763,1175,1942,686,988,1670,2603,1172,3776,93,157,249,168,259,426,2862,1591,4455,9074,9068,18148,1323,1379,2701,6146,6084,12230,3858,3964,7817
POA6112,21212,21980,43194,10986,5744,16735,2340,5348,7690,697,763,1463,1364,1248,2613,15393,13107,28498,4405,7601,12012,8.9,9.5,9.2,72.6,59.6,66,66.1,53.9,59.9,705,728,1436,216,340,554,2189,3056,5254,1730,2238,3969,5624,2917,8543,262,424,683,353,567,914,6236,3906,10143,20484,20697,41181,4775,5143,9915,10697,10741,21436,12760,13480,26240
POA6121,1186,1192,2379,649,319,968,138,386,524,38,31,64,41,51,95,868,786,1651,267,365,628,4.7,6.5,5.8,73.2,65.9,69.4,69.6,61.7,65.4,15,22,42,5,23,30,82,125,213,81,107,184,392,153,544,16,20,36,11,47,57,418,218,629,1261,1228,2493,138,138,277,952,912,1862,409,418,831
POA6122,6268,6526,12799,3726,1886,5606,643,1808,2453,221,219,439,315,346,658,4893,4257,9155,1015,1962,2969,6.4,8.1,7.2,78.1,65.2,71.5,73.2,60,66.4,108,127,239,53,100,150,397,722,1119,457,771,1225,2164,1080,3245,63,147,212,96,182,269,2324,1405,3728,6190,6201,12392,1643,1799,3442,2760,2727,5491,4459,4743,9204
POA6123,635,583,1219,308,121,422,82,168,248,32,20,45,30,36,68,448,335,781,137,205,344,6.7,10.7,8.7,70.6,57.5,64.1,66.5,53,58.7,3,4,7,4,5,15,22,52,71,34,43,80,192,92,288,7,15,22,7,21,23,206,128,332,562,511,1074,136,162,301,417,359,773,251,281,532
POA6124,460,481,938,213,108,315,56,134,186,17,19,42,32,16,48,313,280,592,105,162,271,10.2,5.7,8.1,68,58.2,63.1,62.2,54.3,57.9,3,14,17,3,7,14,33,74,105,36,53,93,160,65,225,0,3,6,8,10,22,169,80,252,478,488,970,42,55,98,294,308,606,193,194,389
POA6125,1293,1260,2554,628,297,930,114,326,434,44,34,81,64,43,108,854,707,1552,330,467,797,7.5,6.1,7,66,56.1,60.8,60.8,52.1,56.6,12,5,19,9,20,32,67,125,193,89,102,186,426,153,581,7,39,48,22,43,67,458,236,692,1306,1280,2588,134,112,249,926,864,1792,465,479,947
POA6126,469,107,579,51,30,80,11,29,42,0,4,3,5,4,9,76,67,142,385,29,416,6.6,6,6.3,16.2,62.6,24.5,13.2,58.9,21.6,7,0,6,0,3,3,17,10,27,12,14,20,32,16,54,0,3,3,0,0,3,34,22,55,139,105,242,15,10,26,93,75,168,53,37,89
POA6147,6281,6128,12408,2718,1449,4163,939,1469,2404,180,176,353,480,334,817,4311,3424,7742,1655,2454,4109,11.1,9.8,10.6,68.6,55.9,62.4,61.1,50.5,55.8,282,257,537,66,123,186,887,1036,1923,506,570,1074,1334,569,1909,65,85,146,87,142,234,1490,799,2292,5942,5835,11783,1144,1066,2216,4112,4093,8202,2699,2525,5221
POA6148,6994,7631,14623,2955,1609,4562,1053,1982,3027,192,186,379,414,339,754,4610,4118,8727,2113,3217,5337,9,8.2,8.6,65.9,54,59.7,60.1,49.5,54.5,583,463,1048,142,234,377,1484,1700,3186,612,783,1390,1265,510,1776,39,83,121,102,184,282,1401,773,2175,6743,7203,13941,1330,1346,2682,4433,4830,9265,3421,3494,6910
POA6149,7479,7872,15350,3467,1845,5314,1108,2288,3398,160,183,342,396,270,673,5139,4587,9724,2118,3072,5196,7.7,5.9,6.9,68.7,58.3,63.3,63.3,54.8,59,591,406,995,207,300,503,1639,1809,3451,742,928,1671,1338,508,1851,45,90,130,99,216,308,1478,813,2290,7564,7869,15426,1005,986,1988,5604,5792,11394,2802,2833,5629
POA6150,5461,5806,11267,2110,1175,3286,884,1521,2407,143,139,280,310,245,556,3447,3083,6526,1735,2359,4101,9,7.9,8.5,63.1,53.1,57.9,57.4,48.8,53,460,332,795,132,177,308,1364,1460,2825,479,634,1112,700,279,980,34,52,91,71,143,209,805,470,1283,5124,5462,10583,788,802,1591,3715,3982,7697,2083,2093,4178
POA6151,6997,7076,14080,3272,2020,5291,1016,1764,2784,187,203,390,322,255,579,4807,4241,9053,1651,2310,3962,6.7,6,6.4,68.7,59.9,64.3,64,56.3,60.1,734,658,1388,211,296,511,1881,1925,3805,617,707,1322,799,391,1184,32,66,99,94,151,247,920,608,1527,5891,5928,11816,1535,1502,3038,3487,3652,7136,3791,3633,7428
POA6152,10372,11485,21854,4518,2985,7500,1500,2721,4227,263,309,570,572,463,1034,6854,6481,13335,2823,4146,6974,8.3,7.1,7.8,66.1,56.4,61,60.6,52.4,56.3,998,833,1827,263,451,713,2527,2860,5389,891,1104,1992,1395,677,2074,55,111,166,128,217,352,1581,1010,2588,8796,9512,18301,2338,2459,4796,5117,5861,10976,5708,5892,11599
POA6153,7890,8710,16596,3609,2008,5616,1193,2318,3512,165,214,377,361,300,665,5331,4839,10169,2092,3406,5501,6.8,6.2,6.5,67.6,55.6,61.3,63,52.1,57.3,814,653,1469,213,391,605,2169,2344,4512,772,904,1674,1012,501,1513,29,77,109,101,223,323,1148,796,1944,7251,7870,15116,1552,1634,3194,4530,5104,9631,4030,4213,8244
POA6154,3801,4326,8130,1708,934,2649,552,1183,1741,95,106,207,172,124,298,2534,2353,4887,1083,1733,2811,6.8,5.3,6.1,66.7,54.4,60.1,62,51.4,56.5,296,238,532,101,173,271,890,1040,1930,415,469,884,606,306,913,22,50,65,56,91,150,685,446,1130,3761,4128,7890,652,695,1345,2522,2806,5330,1769,1901,3673
POA6155,20355,20234,40593,9649,5270,14920,2814,5752,8562,559,593,1151,1234,1085,2321,14262,12697,26958,5429,6911,12338,8.7,8.5,8.6,70.1,62.8,66.4,64,57.4,60.7,1456,1197,2658,315,520,835,3736,4341,8078,1793,2073,3871,3637,1594,5229,174,262,435,219,447,666,4024,2307,6333,20055,20642,40694,3299,3454,6755,13651,14095,27743,8885,9131,18021
POA6156,6249,7222,13469,2970,1656,4629,835,2004,2843,177,205,376,281,232,514,4268,4097,8360,1663,2718,4383,6.6,5.7,6.1,68.3,56.7,62.1,63.7,53.5,58.3,366,346,713,149,253,401,1221,1628,2852,622,732,1355,1291,527,1811,42,64,106,114,206,314,1448,795,2238,6245,6999,13243,1090,1237,2325,4117,4619,8735,2937,3384,6321
POA6157,5120,6018,11134,2431,1554,3987,695,1609,2297,156,185,342,247,207,458,3539,3553,7083,1245,2094,3342,7,5.8,6.5,69.1,59,63.6,64.1,55.6,59.5,315,292,611,124,294,416,971,1469,2440,520,626,1141,1107,437,1548,32,61,97,74,152,223,1216,651,1865,4896,5477,10376,836,980,1815,3118,3583,6699,2397,2757,5160
POA6158,2891,3138,6027,1349,823,2168,424,952,1374,86,90,179,136,90,222,1992,1956,3945,685,968,1654,6.8,4.6,5.6,68.9,62.3,65.5,64.3,59.4,61.7,251,241,494,100,172,269,731,871,1608,260,365,632,413,192,602,22,29,44,44,72,115,478,290,766,2708,2913,5625,502,573,1074,1799,1988,3790,1319,1427,2750
POA6159,1424,1509,2927,601,406,1007,198,378,580,45,52,96,65,36,100,907,877,1781,349,474,824,7.2,4.1,5.6,63.7,58.1,60.8,59.3,55.4,57.5,157,127,286,36,63,102,384,437,822,135,154,295,171,67,237,6,11,21,17,34,57,193,116,312,1113,1163,2270,277,303,584,628,661,1285,734,804,1540
POA6160,3589,3755,7343,1422,1008,2430,509,899,1410,99,122,222,201,134,335,2229,2164,4396,917,1159,2072,9,6.2,7.6,62.1,57.6,59.9,56.6,54,55.3,323,369,696,99,201,302,729,977,1711,311,335,646,543,232,774,18,26,45,51,34,81,610,292,897,2650,2830,5481,748,781,1528,1566,1710,3278,1778,1844,3622
POA6161,171,128,299,43,15,61,8,9,19,0,3,3,3,0,3,58,29,83,3,5,9,5.2,0,3.6,33.9,22.7,27.8,29.8,21.1,27.8,0,0,0,0,0,0,9,5,18,13,3,9,16,3,18,0,0,4,0,0,0,15,6,24,40,29,69,24,21,38,16,9,27,45,29,76
POA6162,4424,4810,9239,1843,1167,3009,659,1292,1949,143,154,299,245,192,432,2891,2807,5696,1201,1718,2927,8.5,6.8,7.6,65.3,58.4,61.7,59.8,54.3,56.9,339,395,733,98,215,311,825,1201,2023,372,423,793,832,320,1153,26,41,64,85,95,177,936,461,1394,3974,4362,8336,796,849,1643,2637,2825,5456,2005,2222,4231
POA6163,20576,21923,42499,8995,5203,14203,2633,5614,8248,657,684,1339,1203,906,2108,13493,12414,25900,5576,7919,13491,8.9,7.3,8.1,65.6,56.6,60.9,59.7,52.5,56,789,871,1663,302,600,900,2615,3810,6431,1632,2111,3740,5063,1965,7026,176,301,479,350,562,907,5593,2830,8421,18409,19488,37902,3612,3874,7486,12360,13248,25601,9018,9382,18398
POA6164,21634,22338,43970,12233,6628,18864,2533,6451,8980,703,824,1527,1260,1072,2334,16722,14977,31694,3656,6193,9846,7.5,7.2,7.4,77.3,67,72.1,71.5,62.2,66.8,875,838,1717,298,596,890,2845,4051,6894,1818,2419,4238,5796,2592,8387,202,407,610,321,560,878,6319,3559,9872,21483,21868,43355,4436,4582,9015,13039,13171,26210,11344,11767,23110
POA6165,38,34,79,15,8,23,6,6,17,0,0,3,0,0,0,20,21,39,10,11,26,0,0,0,52.6,61.8,49.4,55.3,41.2,54.4,0,0,0,0,0,0,0,0,0,0,0,3,15,3,24,3,3,8,0,0,0,16,8,27,32,26,59,4,3,9,29,23,51,14,11,19
POA6166,3877,3954,7837,1963,974,2935,421,1197,1617,122,136,258,199,126,323,2701,2436,5138,966,1329,2295,7.4,5.2,6.3,69.7,61.6,65.6,64.6,58.3,61.4,74,89,163,32,84,111,358,551,910,311,399,711,1198,426,1626,22,61,87,65,113,175,1286,597,1890,3751,3791,7547,563,636,1201,2493,2512,5008,1678,1761,3432
POA6167,10771,10014,20790,4452,2324,6777,1006,2278,3278,335,334,675,757,618,1376,6548,5551,12101,3382,3683,7064,11.6,11.1,11.4,60.8,55.4,58.2,53.8,49.3,51.6,166,187,348,66,154,219,717,1080,1797,604,842,1447,2632,1271,3904,110,227,340,143,284,426,2890,1786,4669,9314,9293,18610,2003,2076,4080,5671,5504,11170,4936,5220,10152
POA6168,10137,10338,20476,3949,1955,5903,928,2071,2993,306,259,567,706,554,1254,5879,4839,10718,3128,4622,7748,12,11.4,11.7,58,46.8,52.3,51.1,41.4,46.2,112,114,227,64,116,178,457,766,1217,651,827,1482,3039,1332,4373,130,217,341,154,281,432,3323,1829,5152,8594,8866,17462,1790,1802,3595,5520,5805,11329,4521,4579,9101
POA6169,13791,14095,27887,5965,2996,8963,1437,3318,4749,467,429,895,1008,762,1764,8871,7504,16372,3927,5721,9651,11.4,10.2,10.8,64.3,53.2,58.7,57.1,47.8,52.4,175,219,391,107,225,332,738,1379,2111,1038,1344,2379,4454,1937,6395,160,280,444,246,381,632,4867,2604,7468,13184,13365,26547,2295,2342,4638,8597,8604,17204,6261,6485,12750
POA6170,4656,4716,9375,2581,1420,4000,550,1146,1695,161,182,346,317,335,654,3607,3085,6692,723,1361,2081,8.8,10.9,9.8,77.5,65.4,71.4,70.7,58.3,64.4,208,184,389,56,124,179,552,825,1381,403,470,865,1243,679,1919,60,99,163,64,105,168,1369,884,2250,4138,4147,8286,1433,1469,2906,1705,1757,3463,3441,3463,6903
POA6171,11150,11890,23041,6398,3298,9690,1000,3104,4101,459,442,900,593,664,1259,8451,7507,15956,1728,3539,5269,7,8.8,7.9,75.8,63.1,69.3,70.5,57.6,63.8,189,189,379,89,214,307,825,1455,2280,922,1329,2252,3670,1957,5626,125,278,398,185,330,514,3973,2561,6537,10750,11209,21961,2913,3210,6121,4201,4247,8450,8384,9180,17572
POA6172,5066,5356,10424,2495,1233,3725,498,1428,1926,208,165,369,386,327,714,3586,3156,6745,1040,1783,2824,10.8,10.4,10.6,70.8,58.9,64.7,63.2,52.8,57.8,71,51,122,21,74,95,257,435,689,400,556,957,1549,843,2395,72,110,184,87,156,246,1710,1109,2818,5152,5333,10489,889,1016,1906,3304,3385,6689,2461,2654,5115
POA6173,4368,4342,8706,2565,1133,3699,431,1388,1821,189,150,339,256,264,517,3442,2941,6376,653,1218,1867,7.4,9,8.1,78.8,67.7,73.2,72.9,61.5,67.3,89,72,164,44,73,122,341,593,940,392,521,911,1461,716,2178,44,83,130,68,124,191,1575,923,2498,4565,4444,9003,993,1082,2080,2379,2347,4725,2847,2911,5758
POA6174,1386,1415,2804,717,354,1065,177,416,592,65,52,117,97,89,182,1045,909,1959,236,401,639,9.3,9.8,9.3,75.4,64.2,69.9,69.2,58.1,63.3,15,22,32,8,31,46,75,164,234,95,138,234,482,258,734,14,25,40,27,27,53,520,313,830,1237,1252,2486,455,466,927,605,581,1184,1004,1032,2038
POA6175,1374,1400,2775,718,344,1067,157,395,547,45,48,98,90,99,191,1016,885,1902,270,444,714,8.9,11.2,10,73.9,63.2,68.5,67,56.2,61.7,18,20,37,19,36,55,92,174,269,121,168,293,461,225,682,19,27,41,16,41,56,494,287,776,1397,1425,2824,291,275,570,778,776,1552,825,852,1675
POA6176,546,543,1084,301,146,450,57,152,212,25,10,38,14,32,47,395,343,740,92,152,243,3.5,9.3,6.4,72.3,63.2,68.3,70.1,56.7,64.6,7,10,22,0,9,12,29,44,73,44,66,110,175,100,268,6,12,21,12,16,26,194,130,316,295,288,578,297,329,629,235,221,460,318,347,673
POA6180,1928,2073,4001,979,487,1463,188,542,730,98,72,165,126,119,246,1389,1220,2604,412,741,1154,9.1,9.8,9.4,72,58.9,65.1,65.6,53.1,58.9,33,29,68,16,49,62,106,215,326,140,257,388,664,343,1007,30,43,70,40,56,97,734,445,1179,1880,1995,3874,500,504,1004,870,900,1768,1357,1458,2817
POA6181,197,178,379,104,52,152,21,54,70,12,3,13,15,7,28,151,117,267,44,58,96,9.9,6,10.5,76.6,65.7,70.4,69.5,61.2,62,0,0,3,0,0,3,10,21,37,16,16,36,74,26,106,5,9,7,4,7,10,89,36,129,210,195,403,19,20,37,161,143,309,67,71,134
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,3,3,7
POA6207,432,407,840,199,81,286,40,118,154,27,7,33,14,16,34,288,228,511,110,144,257,4.9,7,6.7,66.7,56,60.8,61.6,50.6,56.3,6,3,8,0,3,8,13,51,66,33,30,66,148,57,206,4,4,12,9,7,16,160,74,238,409,365,771,82,90,172,244,217,461,212,218,431
POA6208,4680,4869,9549,1730,758,2492,417,1113,1522,185,122,310,262,231,489,2591,2227,4814,1649,2270,3918,10.1,10.4,10.2,55.4,45.7,50.4,49.8,40.9,45.3,34,42,69,26,69,90,172,327,498,234,415,650,1429,679,2104,59,95,152,69,141,214,1556,913,2473,4216,4423,8641,903,966,1872,2610,2583,5201,2291,2620,4912
POA6209,861,799,1664,262,142,403,92,191,283,32,21,52,56,38,90,441,386,823,357,369,726,12.7,9.8,10.9,51.2,48.3,49.5,44.8,44.3,44.4,5,13,15,4,7,7,25,51,75,31,51,82,243,94,339,10,25,31,14,23,35,263,139,408,806,725,1531,106,119,229,599,548,1153,285,294,582
POA6210,26975,29616,56587,9856,5109,14964,2796,6409,9205,957,793,1754,1753,1462,3216,15358,13780,29140,9657,13997,23648,11.4,10.6,11,56.9,46.5,51.5,50.5,41.6,45.8,433,382,813,198,460,656,1729,2782,4513,1933,2809,4744,8009,3658,11664,277,520,798,451,886,1338,8731,5068,13798,24081,26033,50110,5454,6040,11490,14097,14885,28979,14479,16136,30612
POA6211,2842,2829,5666,1090,462,1555,285,713,994,108,102,208,160,168,328,1636,1441,3083,996,1222,2215,9.8,11.7,10.6,57.6,50.9,54.4,52.2,45.1,48.7,43,41,90,22,61,79,160,300,456,219,314,534,950,384,1337,40,43,78,55,91,151,1050,516,1562,2649,2535,5181,579,659,1237,1529,1423,2944,1584,1669,3250
POA6213,308,281,588,123,53,177,38,72,109,14,10,25,17,10,29,190,144,336,75,103,184,8.9,6.9,8.6,61.7,51.2,57.1,56.8,48,52.9,9,5,9,4,3,4,22,28,45,19,18,39,67,33,99,4,3,6,8,0,12,75,40,117,294,259,545,26,43,67,217,177,393,95,105,200
POA6214,264,237,495,121,49,168,45,78,123,9,6,22,6,11,17,183,146,334,57,70,127,3.3,7.5,5.1,69.3,61.6,67.5,66.3,56.1,63.2,0,0,0,0,3,5,9,23,33,16,23,37,73,36,110,0,3,3,9,11,14,75,51,129,272,223,498,24,39,62,178,156,336,102,100,200
POA6215,1684,1698,3375,674,279,953,145,375,517,86,73,160,86,71,155,992,793,1785,510,716,1230,8.7,9,8.7,58.9,46.7,52.9,53.7,42.8,48.3,5,15,21,3,16,19,51,114,165,88,132,216,502,214,717,8,38,48,27,44,66,537,293,830,1551,1542,3087,264,262,520,1074,992,2060,664,716,1377
POA6218,165,155,316,61,11,74,16,37,49,8,6,19,13,11,24,104,67,169,55,74,129,12.5,16.4,14.2,63,43.2,53.5,51.5,34.8,44.9,3,0,3,0,4,4,0,16,16,10,7,18,56,15,67,5,8,6,6,5,11,60,26,84,148,142,296,33,31,68,97,96,196,73,72,144
