POA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
POA6012,0,0,0,0,0,126,4,0,0,0,0,0,0,0,3,134,32,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,942,252,252,65,72,73,43,54,27,48,1849,275,98,135,35,37,62,97,92,25,14,863,16,7,4,0,0,3,4,19,13,8,77,0,0,0,0,0,0,0,0,0,0,7,295,110,140,35,37,64,106,114,34,22,951,5,0,0,0,0,0,0,0,0,0,4,1244,358,397,102,116,142,147,165,59,67,2799
POA6014,0,0,0,0,3,272,6,9,0,3,0,0,0,0,13,308,108,3,0,0,0,0,0,0,0,17,131,28,0,0,0,0,0,0,0,0,3,30,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,141,3,0,0,0,0,0,0,0,21,167,2058,404,468,95,145,99,82,109,53,92,3605,601,263,493,115,168,239,300,262,189,60,2672,51,10,24,9,15,12,18,29,22,22,211,0,0,0,0,0,0,0,3,0,0,7,647,274,518,122,174,252,314,293,210,85,2890,8,0,0,0,0,0,0,0,0,0,12,2715,676,986,214,326,350,397,396,262,175,6506
POA6015,0,0,0,0,0,158,5,10,0,0,0,0,0,0,8,174,52,3,3,0,0,0,0,0,0,0,60,11,3,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,70,5,4,0,0,0,0,3,0,0,77,784,166,172,47,60,24,42,29,11,26,1346,285,46,84,16,30,29,28,37,12,9,578,12,3,3,0,0,0,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,301,54,89,16,27,29,38,37,15,9,609,3,0,0,0,0,0,0,0,0,0,4,1087,212,256,64,89,53,77,68,22,33,1964
POA6016,0,0,0,0,3,150,0,0,0,0,0,3,0,0,3,163,29,0,0,0,0,0,0,0,0,0,32,34,0,0,0,0,0,0,0,0,0,33,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,95,904,151,186,52,61,37,49,29,16,18,1498,474,104,279,61,95,133,165,144,127,34,1623,101,12,10,7,9,19,14,13,27,10,221,0,0,0,0,0,0,3,0,0,0,11,581,123,292,70,102,148,184,164,150,41,1856,3,0,0,0,0,0,0,0,0,0,8,1483,268,475,127,167,186,231,187,161,63,3362
POA6017,0,0,0,0,0,77,3,0,0,0,0,0,0,0,3,78,11,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,38,321,56,84,48,31,25,29,16,8,14,647,236,97,277,59,58,91,116,100,77,24,1135,49,7,28,5,14,11,16,18,24,15,190,4,0,3,0,0,3,3,3,0,0,17,287,109,304,66,78,104,133,120,101,37,1339,0,0,0,0,0,0,0,0,0,0,3,605,165,392,115,106,129,164,141,104,52,1990
POA6018,0,0,0,0,6,639,23,22,0,3,8,3,0,3,32,732,188,6,5,0,0,0,0,0,0,12,216,68,0,0,0,0,0,0,0,0,4,75,31,0,0,0,0,0,0,0,0,3,38,4,0,0,0,0,0,0,0,0,0,8,104,0,0,0,0,0,0,0,0,13,118,0,0,0,0,0,0,0,0,0,3,3,297,6,3,0,0,0,0,0,0,27,343,3967,805,983,294,363,244,161,171,53,183,7226,1431,552,876,237,216,208,180,201,59,100,4066,192,34,55,11,23,20,41,36,24,50,486,17,0,5,0,0,0,0,0,0,3,30,1638,585,939,248,239,231,227,238,81,149,4582,11,0,0,0,0,0,0,0,0,5,20,5615,1394,1926,547,604,474,385,404,138,341,11828
POA6019,0,0,0,0,3,277,3,3,3,0,0,0,3,0,4,290,70,4,0,0,0,0,0,0,0,4,76,21,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,99,4,0,0,0,0,0,0,0,4,104,2268,484,769,266,306,203,164,125,62,122,4763,535,217,467,92,136,131,120,205,70,53,2022,36,8,21,0,5,4,16,22,17,18,141,3,5,4,0,0,0,0,0,0,0,13,568,230,491,92,143,140,137,224,87,71,2178,5,0,0,0,0,0,0,0,0,0,11,2845,709,1261,356,453,343,306,352,147,196,6957
POA6020,0,0,0,0,0,343,6,14,0,0,0,0,3,3,5,382,85,6,6,0,0,0,0,0,0,0,92,12,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,105,3,8,0,0,0,0,0,0,4,123,2773,565,589,108,151,111,64,53,61,100,4569,648,160,198,22,49,44,28,27,19,24,1216,53,10,12,0,0,6,6,3,6,9,99,5,0,0,0,0,0,0,0,0,0,10,704,173,213,22,53,47,30,27,27,29,1323,3,0,0,0,0,0,0,0,0,3,7,3484,740,801,130,203,161,96,87,82,125,5899
POA6021,0,0,0,11,11,716,6,4,0,0,3,0,6,0,32,772,46,0,0,0,0,0,0,0,0,3,53,109,0,0,0,0,0,0,0,0,4,111,78,0,0,0,0,0,0,0,0,3,82,3,0,0,0,0,0,0,0,0,0,4,181,0,0,0,0,0,0,0,0,10,196,0,0,0,0,0,0,0,0,0,15,18,234,0,0,0,0,0,0,0,0,25,265,1554,225,360,122,155,104,43,51,16,63,2689,2099,439,720,124,152,150,166,153,81,115,4193,458,24,61,15,29,19,29,41,22,42,743,18,0,3,3,0,0,0,0,0,10,39,2583,465,778,143,180,168,196,194,109,167,4974,7,0,0,0,0,0,0,0,0,28,34,4143,690,1138,263,328,272,241,240,126,257,7705
POA6022,0,0,0,0,0,131,0,0,0,0,0,0,0,0,6,138,13,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,600,68,102,27,37,18,20,0,7,20,898,214,35,73,8,18,32,17,17,12,13,443,31,7,4,4,3,6,0,0,6,4,69,0,0,3,0,0,0,0,0,0,0,5,243,36,88,14,24,42,21,21,22,17,518,0,0,0,0,0,0,0,0,0,0,3,850,106,186,42,55,60,39,17,28,36,1416
POA6023,0,0,0,0,0,235,8,14,0,0,0,0,0,0,9,276,90,7,0,0,0,0,0,0,0,8,104,20,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,120,5,0,0,0,0,0,0,0,9,135,2085,507,616,101,133,129,73,46,44,72,3801,556,127,243,44,66,39,16,14,9,20,1134,45,7,16,0,7,5,12,5,4,7,105,12,0,0,0,0,0,0,0,0,0,8,610,135,253,42,71,46,26,24,14,30,1247,0,0,0,0,0,0,0,0,0,0,3,2693,637,868,143,201,176,97,68,58,102,5049
POA6024,0,0,0,0,0,250,7,5,0,0,0,0,0,0,7,266,53,3,0,0,0,0,0,0,0,3,62,11,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,76,3,0,0,0,0,0,0,0,0,90,1721,290,347,71,121,73,36,23,24,45,2755,452,108,203,64,73,33,51,22,27,28,1060,70,11,14,4,4,7,4,10,14,6,146,0,3,3,0,3,0,0,0,0,3,13,522,125,223,68,75,33,64,27,41,38,1215,0,0,0,0,0,0,0,0,0,7,6,2245,415,569,140,198,106,100,55,63,85,3972
POA6025,0,0,0,0,0,483,24,27,7,0,0,0,0,0,11,547,145,3,0,0,0,0,0,0,0,0,151,23,0,0,0,0,0,0,0,0,0,31,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,33,0,3,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,179,3,3,0,0,0,0,0,0,3,194,4604,954,1218,291,363,209,207,152,100,132,8228,1036,289,377,71,103,65,80,46,23,40,2124,85,9,34,0,3,4,11,12,9,7,169,9,0,0,0,0,0,0,0,0,0,11,1130,303,412,71,103,69,87,54,30,48,2308,3,0,0,0,0,3,0,0,0,3,12,5738,1252,1632,359,468,281,299,202,134,182,10546
POA6026,0,0,0,0,3,396,28,14,3,0,3,0,0,0,27,473,161,6,0,0,0,0,0,0,0,41,215,25,0,0,0,0,0,0,0,0,5,28,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,5,36,0,0,0,0,0,0,0,0,0,0,0,194,6,0,0,0,0,0,0,0,45,249,3409,770,936,209,242,171,102,86,31,147,6111,576,203,312,56,68,75,47,43,12,25,1420,62,7,14,3,3,3,9,6,3,7,115,5,0,0,0,0,0,0,0,0,0,3,639,215,328,61,71,77,55,50,16,30,1545,4,0,0,0,0,0,0,0,0,4,8,4054,982,1265,273,317,248,165,129,42,188,7660
POA6027,0,0,0,3,10,721,52,38,3,0,3,3,3,0,32,857,177,8,4,0,0,0,0,0,0,11,204,47,0,0,3,0,0,0,0,0,0,50,13,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,56,0,0,3,0,0,0,0,0,5,64,4,0,0,0,0,0,0,0,0,3,9,235,8,7,3,0,0,0,0,0,22,275,7038,1763,2143,425,520,362,285,208,130,236,13104,1330,385,748,152,205,229,274,216,141,83,3768,147,25,46,13,20,13,38,50,26,34,410,11,3,5,0,0,0,3,0,3,3,27,1492,413,797,163,218,242,314,268,170,125,4204,26,0,0,0,0,0,5,0,0,15,45,8558,2177,2943,583,735,605,603,478,300,375,17354
POA6028,0,0,0,0,0,234,34,35,0,3,5,0,9,0,7,316,50,5,3,0,0,0,0,0,0,0,57,3,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,53,8,4,0,0,0,0,0,0,0,72,3717,1486,1941,524,425,332,192,161,89,114,8975,666,354,524,135,127,95,75,61,18,23,2086,61,14,16,4,0,16,3,5,11,7,139,6,0,0,0,0,0,0,0,0,0,7,733,365,541,140,128,109,82,71,36,30,2228,4,0,0,0,0,0,0,0,0,3,14,4459,1852,2475,663,553,445,276,230,125,146,11218
