POA_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
POA6012,23,64,7,3,7,0,6,5,5,124,6,21,3,0,0,3,0,3,0,46,86,113,62,9,13,13,15,13,5,332,28,25,51,0,9,3,0,9,0,128,16,16,9,3,0,0,0,0,0,48,11,142,3,12,3,3,0,0,3,173,14,27,0,4,3,0,0,6,0,60,158,141,8,14,24,37,8,14,7,404,39,86,7,18,12,5,0,4,3,177,10,25,6,4,0,0,0,7,0,63,12,0,20,0,3,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,3,0,0,4,16,6,6,5,0,0,4,0,0,0,22,414,666,183,76,84,74,29,68,30,1626,13,54,6,20,9,7,0,0,0,104,0,8,0,0,0,0,0,0,0,14,4,19,0,0,3,3,0,0,0,36,4,22,0,0,3,0,0,0,0,32,4,10,0,3,0,0,0,3,0,21
POA6014,65,176,14,14,5,13,3,4,4,300,40,95,19,0,12,9,9,6,0,185,235,344,198,15,48,34,27,48,8,959,62,70,105,7,9,4,3,13,3,280,14,19,14,9,5,5,3,12,0,81,28,345,4,34,6,9,0,9,5,440,26,83,5,10,4,7,4,10,0,155,355,382,32,41,94,81,27,55,10,1060,83,207,12,54,34,10,9,16,6,421,17,45,18,7,9,13,5,4,0,118,14,4,69,6,3,0,4,10,0,107,0,0,0,0,0,0,0,3,0,4,12,17,7,0,5,3,3,4,0,50,11,13,5,0,3,3,3,3,8,53,953,1798,507,197,231,177,98,201,46,4214,20,120,14,16,31,9,0,5,0,210,4,15,3,0,9,0,0,3,0,35,16,54,6,7,9,6,0,5,0,111,12,35,7,3,8,3,0,0,0,68,8,20,3,3,6,3,0,0,0,42
POA6015,28,63,0,0,0,0,0,0,0,99,7,13,0,0,3,0,0,0,0,31,99,91,43,9,13,7,8,5,4,284,31,28,24,0,4,3,0,4,0,97,3,5,4,0,3,0,0,0,0,19,12,145,3,5,3,3,0,3,3,171,7,21,0,3,0,0,0,0,3,39,130,137,4,5,25,26,0,5,5,348,27,58,3,10,9,5,3,3,4,118,8,15,0,0,5,3,0,0,0,30,5,0,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,11,366,584,95,34,73,51,14,23,20,1250,6,33,5,7,3,3,0,3,0,70,0,5,0,0,4,0,0,0,0,10,4,15,3,0,0,0,0,0,0,22,3,11,0,0,3,0,0,0,0,21,0,3,3,0,0,0,0,0,0,11
POA6016,12,81,8,3,0,7,0,10,3,123,19,51,12,0,5,3,6,17,0,116,84,175,152,13,9,21,37,50,4,549,25,41,83,5,8,0,9,10,0,178,11,18,12,0,0,3,0,4,0,46,14,87,0,7,3,3,3,3,0,123,16,66,0,5,0,0,0,4,0,93,136,169,12,25,43,35,15,40,7,483,26,87,9,23,18,3,11,6,3,187,10,51,11,6,7,3,3,9,0,88,15,3,44,5,5,5,6,3,0,82,0,0,0,0,0,0,0,0,0,4,0,4,3,8,6,0,0,3,0,24,0,4,4,0,0,0,5,3,0,29,376,835,348,93,107,85,93,164,18,2126,3,66,6,6,13,3,0,3,0,103,4,15,4,0,8,0,0,8,0,34,5,27,6,6,3,3,0,10,3,52,3,22,4,4,0,6,0,0,0,43,6,10,0,3,4,0,0,0,0,20
POA6017,0,11,6,0,3,0,4,7,0,37,8,20,9,3,8,5,4,4,0,68,18,41,79,6,11,21,23,27,0,226,9,4,47,0,7,0,0,8,0,70,0,0,5,0,0,0,3,0,0,13,0,27,3,6,0,4,3,4,0,52,3,16,0,0,3,0,0,0,0,28,41,57,8,9,24,15,16,18,3,195,5,17,3,18,6,0,7,7,0,64,3,13,10,8,5,0,0,7,0,45,4,0,22,4,0,3,3,3,0,46,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,11,3,3,3,0,0,0,0,5,0,19,96,222,202,66,67,52,65,96,10,877,3,14,3,3,3,3,0,0,0,30,0,4,0,3,4,0,0,9,0,25,3,4,3,4,3,0,0,3,0,18,0,9,3,4,3,3,0,0,0,25,0,0,3,0,0,0,0,0,0,4
POA6018,75,222,34,19,14,13,4,8,0,382,65,158,26,9,22,11,9,6,3,316,349,609,720,52,83,66,93,66,27,2065,129,78,449,12,33,17,26,70,14,826,26,40,43,4,9,6,4,12,0,136,43,320,18,43,10,5,8,5,0,461,55,204,7,11,5,8,9,6,0,312,492,603,63,35,156,114,25,44,10,1556,93,219,22,82,41,28,15,17,7,534,26,93,31,15,11,24,4,23,4,228,29,7,77,11,10,21,17,10,0,184,0,0,0,0,0,0,0,0,0,0,21,14,16,11,5,3,8,4,4,87,14,17,35,11,8,4,3,16,20,120,1420,2589,1554,312,411,309,231,285,99,7214,18,186,34,36,37,17,0,3,0,325,13,36,5,7,16,3,0,0,0,79,19,78,25,4,14,15,4,3,5,168,15,49,14,4,28,10,0,0,0,127,8,30,4,4,7,8,3,3,0,74
POA6019,55,155,23,14,13,5,3,4,0,265,29,65,22,11,10,0,7,3,0,155,224,341,487,34,35,41,49,60,14,1275,114,62,327,8,19,17,21,56,7,627,20,30,26,5,5,0,0,16,0,100,30,193,12,48,7,7,7,6,10,325,31,119,3,10,5,3,3,6,3,186,325,322,43,41,84,106,19,42,15,998,67,151,21,65,19,17,13,12,6,381,18,60,27,10,8,12,4,16,0,162,14,7,74,14,10,6,7,14,0,146,0,0,0,0,0,0,0,0,0,0,12,11,8,8,3,0,0,6,0,60,13,10,21,7,3,4,6,10,5,82,953,1530,1092,274,212,220,149,247,63,4745,19,103,19,17,31,13,0,13,0,220,8,11,8,0,10,4,0,0,0,35,8,52,18,5,11,4,3,4,0,108,8,45,8,6,8,4,0,3,0,89,3,26,12,7,8,6,0,5,0,67
POA6020,45,116,12,4,11,3,7,6,5,203,24,72,17,0,3,7,0,0,0,126,263,308,367,25,56,34,41,45,19,1170,123,38,261,12,16,10,12,26,9,504,18,24,18,0,3,4,0,9,5,83,21,132,6,27,7,6,5,4,3,205,45,113,3,7,8,0,3,3,3,187,292,364,22,34,78,82,26,10,10,916,58,104,6,41,18,10,3,6,6,256,15,49,22,5,5,11,6,3,0,113,14,0,33,3,3,4,10,14,0,79,0,0,0,0,0,0,0,0,0,4,13,8,9,6,5,0,0,3,0,41,14,7,13,0,0,4,3,5,15,58,944,1327,784,169,206,172,122,143,75,3947,13,75,19,15,17,18,0,0,0,156,5,11,3,0,8,0,0,0,0,28,8,34,7,3,7,0,0,4,0,76,7,20,15,4,0,0,0,0,0,51,8,8,3,3,9,3,0,0,0,34
POA6021,13,51,20,0,8,12,4,9,4,117,44,97,22,3,3,11,9,6,3,195,158,252,444,21,48,46,93,69,20,1146,68,31,286,3,7,9,20,32,8,466,9,6,14,0,3,0,3,14,0,51,22,117,11,15,3,6,10,11,0,199,12,74,7,3,3,3,4,3,0,112,164,230,28,29,82,65,30,43,9,677,33,69,3,41,15,16,10,11,3,201,13,35,11,4,10,12,8,7,0,91,19,3,79,4,7,6,25,18,4,163,0,0,0,0,0,0,0,6,0,4,0,8,11,0,0,0,3,3,0,27,9,9,25,0,5,8,9,15,3,86,557,981,971,137,194,200,223,236,58,3546,14,50,9,10,13,12,0,10,0,118,7,21,3,6,13,4,0,0,0,52,11,35,8,4,6,13,3,10,0,87,8,18,8,4,8,8,0,0,0,47,3,3,0,0,3,4,0,3,0,21
POA6022,6,24,7,0,3,3,0,0,0,39,5,29,5,3,0,0,4,0,0,49,35,39,139,10,13,10,24,14,3,282,13,3,85,0,4,0,3,6,0,123,0,5,4,3,0,0,3,0,0,24,0,21,3,3,0,0,0,0,0,38,11,25,0,6,0,0,0,0,0,43,29,44,11,8,12,3,9,3,0,128,11,20,0,15,10,0,3,0,0,61,3,14,5,0,0,5,0,0,0,27,7,4,13,0,3,0,3,11,0,31,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,3,16,0,0,6,0,4,0,0,3,6,20,130,234,281,52,55,33,46,49,13,897,0,18,4,0,0,3,0,0,0,28,0,3,4,0,0,0,0,0,0,12,0,0,5,3,0,3,0,0,0,21,0,5,0,0,0,0,0,0,0,7,0,3,0,0,5,0,0,0,0,8
POA6023,41,90,16,12,8,3,0,10,0,170,28,64,22,0,6,3,0,0,0,121,154,231,332,24,47,28,54,39,9,916,56,20,176,8,12,9,8,25,5,314,12,12,9,4,5,3,5,8,0,64,27,93,3,23,8,3,3,0,0,159,35,92,6,10,3,3,3,0,0,155,193,223,19,24,60,47,8,21,16,598,35,85,3,47,25,9,0,4,3,221,16,28,11,8,8,5,0,3,0,74,9,6,30,3,3,4,0,3,0,57,0,0,0,0,0,0,0,0,0,0,5,6,9,6,0,0,7,0,0,38,6,4,11,7,3,3,0,4,4,41,622,949,641,159,175,116,96,123,49,2932,9,51,11,5,18,6,0,5,5,103,8,11,0,3,6,0,0,0,0,32,5,20,3,7,6,3,0,3,0,58,3,16,7,3,3,0,0,3,0,31,6,9,5,0,4,5,0,0,0,33
POA6024,12,51,8,3,3,5,4,0,3,99,23,61,14,3,4,3,3,0,7,111,89,155,382,18,31,26,52,49,18,817,29,23,217,0,6,5,12,43,5,340,3,17,13,3,3,0,4,8,0,53,14,46,3,16,3,5,3,4,0,97,22,69,6,8,4,3,0,4,0,121,98,119,19,14,41,28,11,16,6,354,21,37,8,38,17,7,7,10,6,150,0,32,18,7,7,5,5,3,0,73,12,3,36,6,5,3,8,3,0,71,0,0,5,0,0,0,0,0,0,8,0,3,9,3,9,3,0,0,0,27,6,3,16,3,4,3,8,6,10,63,335,620,745,125,137,110,122,147,50,2391,3,38,13,8,6,9,3,0,0,81,4,10,0,0,6,0,0,0,0,17,4,12,3,3,6,0,0,5,0,40,7,6,5,0,4,3,0,0,0,16,3,13,8,0,4,4,0,0,0,27
POA6025,37,117,27,6,7,9,3,9,3,212,47,106,26,7,13,7,16,7,0,236,336,341,894,47,88,45,117,108,28,2007,111,42,555,14,27,18,36,61,8,863,15,28,46,3,9,6,18,19,3,146,28,167,20,51,3,8,3,6,5,303,33,133,4,8,6,3,3,10,0,214,297,310,48,37,98,66,22,24,10,907,52,103,23,78,28,19,9,21,8,335,18,50,26,11,5,13,3,10,3,143,24,6,89,5,7,15,18,21,4,174,0,0,0,0,0,0,0,0,0,0,6,5,15,12,3,3,6,6,0,63,15,9,41,8,6,6,16,15,23,133,1018,1424,1800,296,297,218,265,310,91,5718,19,101,26,17,23,8,0,3,0,196,8,18,0,0,18,9,0,6,6,60,10,30,16,12,11,3,3,7,0,95,4,14,10,6,10,3,0,0,0,50,6,14,7,0,9,4,0,4,0,40
POA6026,26,85,12,7,3,7,7,3,3,155,39,110,23,0,14,3,4,6,4,206,219,288,621,43,71,56,92,81,17,1479,65,29,325,6,22,12,22,58,10,553,14,14,24,4,4,3,9,4,0,80,19,72,12,25,3,3,8,3,0,152,47,144,9,4,7,3,6,0,3,218,223,266,27,26,94,51,14,15,4,717,38,76,11,72,19,12,6,11,0,246,8,29,13,5,6,19,9,3,0,85,15,4,51,6,8,7,12,18,3,122,0,3,0,0,0,0,0,0,0,0,8,11,9,3,8,3,7,0,0,49,9,4,25,6,5,8,0,9,5,72,723,1130,1164,210,248,182,191,223,52,4131,16,51,9,8,24,6,0,0,0,118,0,26,5,3,3,0,0,0,3,36,8,13,11,3,15,6,3,0,0,55,3,14,6,0,6,4,0,0,0,35,4,13,5,3,11,3,0,3,0,47
POA6027,48,145,26,15,12,10,12,11,7,280,59,153,51,3,12,20,7,18,3,324,404,440,1308,71,106,91,184,196,37,2840,143,44,780,30,40,24,50,110,14,1222,25,33,49,9,8,11,11,30,3,176,38,196,29,50,12,9,13,11,6,364,50,200,20,24,13,5,10,13,6,332,329,341,75,65,125,116,38,54,13,1146,54,142,34,120,42,20,22,25,9,467,9,65,46,14,11,28,12,20,5,198,30,11,104,31,7,18,26,30,0,249,0,0,3,0,0,0,0,0,0,5,15,18,16,13,3,12,4,3,3,92,13,14,45,12,9,8,13,19,24,160,1222,1786,2571,442,403,370,397,534,137,7863,19,104,28,10,31,13,3,8,0,218,13,34,7,3,17,10,0,3,0,84,10,35,15,3,26,10,8,16,0,121,15,27,18,7,16,8,0,6,0,98,13,14,19,11,12,8,0,11,0,82
POA6028,28,56,14,12,7,3,6,3,4,126,50,83,25,10,13,7,5,10,0,195,307,272,709,35,65,50,93,88,36,1664,99,26,416,22,21,7,40,50,12,690,12,7,21,0,0,6,12,8,0,72,22,126,13,25,4,11,3,7,6,227,28,99,4,8,3,8,5,5,0,159,230,233,35,34,96,59,31,14,10,743,30,64,19,81,18,18,10,8,5,252,6,25,17,4,3,11,3,4,3,85,11,5,65,11,10,10,10,14,0,144,0,0,0,0,0,3,0,0,0,3,8,12,11,9,0,0,6,6,0,53,11,3,27,3,8,4,3,6,11,79,850,1011,1387,250,256,197,221,232,99,4493,9,57,15,10,13,17,0,0,0,129,8,19,0,4,7,0,0,3,0,38,10,18,8,6,11,8,3,5,0,65,4,9,5,3,13,4,0,0,0,38,3,8,3,4,3,3,0,3,0,25
POA6029,10,19,3,0,0,0,0,0,0,31,4,9,0,0,0,0,0,0,0,11,29,31,43,4,0,3,7,8,0,137,21,13,45,0,4,0,0,3,0,82,0,0,4,0,0,0,0,0,0,9,5,36,0,4,0,0,0,0,0,41,3,19,0,0,0,0,0,0,0,27,40,31,0,4,11,14,0,3,7,114,9,25,0,7,4,0,0,0,0,47,0,12,4,0,0,3,0,0,0,20,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,5,131,199,118,29,16,28,11,14,9,553,3,13,0,4,7,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
POA6030,24,72,16,13,10,12,12,4,3,155,47,127,40,5,25,12,8,10,5,283,257,265,1192,58,84,70,174,189,34,2331,100,37,684,17,31,24,61,128,18,1101,19,4,39,3,11,5,24,26,0,127,37,98,22,42,8,5,12,6,4,238,25,77,6,13,12,5,3,3,5,156,228,158,53,45,92,68,47,45,15,743,49,92,30,104,36,18,18,30,7,377,15,31,31,12,14,17,10,15,0,137,40,9,130,19,10,24,28,29,0,292,0,0,0,0,0,3,0,0,0,9,11,12,28,17,4,3,7,13,0,95,17,4,52,12,0,9,33,26,31,187,860,993,2314,362,339,264,447,525,127,6234,19,38,22,15,20,10,4,7,4,131,3,41,11,5,12,3,0,3,0,73,12,24,16,13,6,10,9,16,0,107,5,15,3,9,9,12,0,4,0,57,3,7,10,10,12,8,3,3,0,56
POA6031,11,13,14,6,3,5,6,3,0,52,29,59,29,4,13,6,5,7,4,164,98,110,565,22,43,25,91,83,18,1048,30,20,293,14,9,3,20,48,7,440,6,4,23,0,3,0,11,17,0,67,8,47,11,19,4,0,8,0,4,102,8,42,4,10,3,3,3,3,0,75,104,96,27,20,66,31,38,11,3,400,20,30,12,58,10,13,21,12,3,174,6,18,10,3,6,10,3,5,0,69,15,7,74,6,4,17,15,14,0,145,0,0,0,0,0,0,0,3,0,10,6,5,12,9,3,0,10,0,0,45,7,4,27,4,9,0,14,8,12,76,354,451,1096,180,179,114,229,215,47,2870,0,17,13,6,20,9,0,4,0,71,0,5,3,4,12,0,0,7,0,30,3,10,9,0,6,12,3,8,0,48,3,0,3,0,0,3,0,0,0,11,5,0,6,4,6,3,0,3,0,28
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,11,0,3,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,3,0,21,0,0,4,0,0,0,0,3,0,7,3,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,10,19,9,19,3,0,0,3,4,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6034,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,6,3,7,69,3,3,0,8,6,0,96,3,0,44,0,3,0,6,5,0,68,0,0,0,0,0,0,0,6,0,11,0,3,0,3,0,3,0,0,0,12,0,3,0,0,0,0,0,0,0,4,7,6,7,4,3,7,3,0,0,39,4,3,0,15,0,3,3,0,0,30,3,0,5,0,0,4,0,0,0,12,0,0,9,0,0,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,5,0,0,0,0,0,0,9,23,36,141,30,14,22,25,24,0,314,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6035,5,5,0,0,0,0,0,0,0,19,3,11,10,3,0,0,0,4,0,32,49,39,245,17,9,10,55,46,8,478,23,0,202,0,6,5,23,36,3,303,7,5,13,3,0,0,5,10,0,44,3,22,5,17,0,0,4,0,0,52,4,23,0,4,0,0,4,0,0,34,35,14,7,9,13,14,16,4,0,117,6,19,8,23,3,4,4,9,0,63,3,3,3,3,3,7,3,4,0,24,11,0,19,7,0,4,5,4,0,49,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,9,0,4,17,0,3,6,3,7,4,42,147,151,534,79,42,52,127,132,17,1269,3,6,3,0,9,0,0,0,0,23,0,0,0,0,3,0,0,0,0,7,0,4,9,3,4,0,3,4,0,20,0,0,0,0,0,0,0,0,0,7,4,0,3,0,0,0,0,3,0,15
POA6036,8,15,3,0,3,3,3,0,0,36,24,52,15,6,3,3,0,7,0,108,103,89,485,18,31,19,81,59,7,888,33,9,282,9,10,9,18,50,5,430,3,3,17,3,0,3,5,10,0,51,14,44,15,18,3,0,9,8,0,101,9,45,0,0,0,0,4,3,0,69,88,55,18,28,53,29,29,13,12,320,17,34,10,44,14,5,15,8,0,147,9,15,10,3,3,5,3,10,0,60,9,0,57,5,7,6,14,14,0,112,0,0,3,0,0,0,0,0,0,4,0,4,9,9,0,0,8,3,0,31,12,9,27,8,5,9,12,15,6,102,331,371,948,151,125,99,206,195,30,2460,4,18,9,4,4,3,0,4,0,53,4,10,7,5,7,3,0,3,0,42,4,9,7,3,8,3,5,0,0,35,0,3,4,0,3,3,0,3,0,18,0,3,0,4,3,3,0,3,0,18
POA6037,0,3,0,0,0,0,0,3,0,7,0,0,3,0,3,0,3,4,0,12,12,7,82,4,7,6,31,25,7,182,6,3,56,0,0,3,4,13,0,85,0,0,6,0,0,0,0,3,0,19,0,5,4,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,6,7,3,0,0,0,0,3,0,0,19,3,3,0,8,3,0,0,0,0,21,0,0,0,0,0,0,0,4,0,5,0,0,9,0,0,0,4,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,5,0,0,0,4,0,0,18,31,34,179,16,10,13,57,57,10,412,3,4,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,5
POA6038,3,8,3,3,3,0,3,3,0,22,4,35,6,4,3,6,0,0,0,57,34,46,231,16,15,18,35,28,0,424,16,7,167,9,3,0,9,35,5,252,0,0,11,3,4,3,5,4,0,22,3,24,8,16,0,0,3,6,0,53,3,16,3,4,3,5,0,0,0,30,37,29,8,13,19,14,7,12,0,143,9,14,9,36,3,5,8,4,5,81,0,6,6,3,3,3,0,0,0,25,0,0,29,4,5,4,4,6,0,58,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,0,6,0,0,17,4,0,8,3,0,3,3,5,3,34,117,189,488,114,69,61,85,110,13,1238,4,10,4,3,7,4,0,4,0,37,0,5,3,4,7,0,0,0,0,16,4,3,8,4,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,9
