POA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6054,16,49,93,98,70,48,17,0,0,401,26,36,101,96,89,71,14,0,0,426,430,777,2207,2179,2076,1442,347,27,4,9481
POA6055,11,67,138,107,84,44,13,3,0,469,13,42,172,111,86,71,4,3,0,507,402,1029,3339,2421,1928,1215,267,35,3,10641
POA6056,32,99,202,166,177,137,33,3,0,845,39,93,162,164,221,121,49,7,0,866,1009,1834,3738,3526,4109,2907,706,85,10,17918
POA6057,22,71,122,91,88,53,22,3,0,466,22,40,80,77,87,78,6,7,0,400,481,831,1810,1736,1811,1250,266,25,0,8219
POA6058,20,44,66,51,57,38,8,0,0,284,18,35,91,64,67,60,5,0,0,343,325,600,1419,1315,1204,1005,218,14,0,6098
POA6059,19,43,108,94,107,69,31,3,0,471,13,54,127,102,102,87,34,14,0,529,495,1001,2363,2348,2535,1831,488,91,14,11159
POA6060,16,46,165,95,76,56,20,3,0,480,17,39,169,110,84,47,22,3,0,490,317,978,4350,2771,2012,1402,382,47,10,12275
POA6061,24,101,273,139,116,73,18,0,0,750,32,99,361,217,166,122,19,12,0,1030,515,1772,6326,3541,2448,1709,367,43,4,16723
POA6062,22,80,199,142,164,124,42,6,0,775,30,92,213,160,180,104,46,13,0,836,653,1545,3872,3180,3058,2394,655,58,7,15422
POA6063,12,33,92,72,60,50,5,0,0,331,14,34,87,100,77,57,12,0,0,382,363,600,1405,1480,1437,1011,165,5,0,6464
POA6064,25,92,169,169,140,97,23,0,0,724,32,84,211,192,185,105,23,3,0,833,700,1421,2991,2870,2897,1976,400,38,0,13299
POA6065,72,161,383,374,296,169,38,4,0,1505,72,127,342,371,307,158,51,10,0,1430,1815,2797,7582,7962,6584,3540,765,63,3,31113
POA6066,24,54,88,89,116,60,13,3,0,447,19,50,99,100,135,68,11,6,0,493,592,996,1690,1679,2340,1545,228,18,0,9088
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
POA6069,43,111,284,214,160,66,18,0,0,895,38,85,234,196,168,79,20,3,0,833,1023,1768,5031,4942,3885,1863,402,25,0,18938
POA6070,5,5,10,10,12,15,4,0,0,55,6,7,3,17,25,14,7,0,0,69,109,95,170,368,498,363,120,8,0,1727
POA6071,7,7,12,14,22,15,4,0,0,66,7,4,9,9,24,17,8,3,0,74,119,125,179,311,476,360,101,11,0,1686
POA6072,0,4,0,5,4,4,0,0,0,17,0,3,4,3,6,3,0,0,0,22,32,32,47,59,107,100,18,0,0,397
POA6073,7,5,12,14,24,7,4,0,0,80,0,10,9,5,23,9,3,0,0,57,93,105,154,248,391,301,77,16,0,1378
POA6074,0,3,3,7,0,4,0,0,0,18,0,3,3,4,11,3,6,0,0,39,25,35,64,96,107,109,35,0,0,473
POA6076,39,47,65,73,118,96,24,4,0,465,34,30,54,84,100,85,33,6,0,416,678,771,1140,1958,2686,1930,638,73,7,9865
POA6077,0,3,6,8,12,6,0,0,0,38,3,8,7,4,9,5,3,0,0,37,51,66,71,99,183,174,40,3,0,694
POA6078,3,3,3,3,6,5,0,0,0,26,3,0,6,4,4,10,3,0,0,28,39,44,67,60,114,112,26,0,0,464
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12
POA6081,14,11,18,11,29,18,0,0,0,106,12,13,14,17,36,15,0,0,0,122,165,179,301,469,661,458,103,5,0,2341
POA6082,11,8,18,11,12,18,0,0,0,81,5,8,10,20,14,22,7,0,0,78,98,110,237,319,394,301,71,8,3,1541
POA6083,5,14,12,11,20,21,3,0,0,92,3,10,12,17,22,15,14,3,0,92,95,155,156,353,547,352,104,13,4,1774
POA6084,5,23,34,41,46,34,6,0,0,187,17,24,27,62,64,32,12,3,0,246,224,330,583,863,1079,685,165,8,0,3930
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
POA6100,3,24,91,50,42,32,7,3,0,248,6,52,104,63,60,42,15,7,0,347,231,866,2754,1658,1272,935,245,18,4,7990
POA6101,19,40,119,68,42,31,9,0,0,328,4,34,137,67,49,31,10,0,0,336,273,892,2902,1931,1376,839,211,10,0,8441
POA6102,10,30,81,34,32,12,4,0,0,208,12,51,107,48,36,31,8,3,0,285,239,968,1981,1014,698,409,97,10,3,5425
POA6103,8,29,78,30,42,26,3,0,0,211,3,29,88,40,29,16,5,0,0,211,139,634,1972,1016,720,541,107,4,3,5146
POA6104,9,34,100,67,35,32,12,0,0,290,10,37,107,76,65,29,16,4,0,336,250,722,1968,1510,1262,872,232,20,3,6841
POA6105,7,34,103,64,56,33,16,0,0,313,19,47,111,80,69,35,15,4,0,385,263,702,2024,1453,1149,817,185,26,0,6615
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
POA6107,29,116,285,190,138,95,20,0,0,875,28,155,423,261,184,82,39,6,0,1174,781,2357,6813,4577,3223,2066,531,39,3,20395
POA6108,31,64,116,107,115,70,16,0,0,520,31,61,141,127,123,75,15,0,0,578,598,1029,2368,2265,2270,1823,380,30,0,10756
POA6109,11,31,59,54,53,32,3,0,0,252,20,40,77,77,48,46,14,5,0,331,212,513,1228,1112,939,669,170,13,3,4869
POA6110,34,78,210,179,151,106,31,3,0,798,60,107,260,233,222,106,36,5,0,1025,884,1687,4492,4313,3648,2386,490,33,4,17934
POA6111,28,63,110,105,99,73,26,3,0,500,25,59,129,104,131,83,24,8,0,568,571,922,2022,2089,2376,1912,473,48,3,10418
POA6112,60,145,352,235,184,136,40,3,0,1156,59,147,339,307,266,122,30,3,0,1270,1266,2555,7699,6074,4734,2916,576,50,8,25883
POA6121,7,4,10,15,20,9,3,0,0,75,12,3,7,9,33,17,4,3,0,85,128,151,168,288,477,274,67,8,0,1559
POA6122,22,73,148,81,63,47,3,0,0,440,21,54,110,106,71,40,9,0,0,417,458,923,2683,1912,1495,857,150,4,3,8498
POA6123,3,5,8,8,8,0,3,0,0,30,3,0,9,10,8,9,3,0,0,36,46,79,142,127,164,128,23,3,0,719
POA6124,0,3,6,0,7,3,0,0,0,15,0,5,3,3,8,10,4,0,0,32,21,42,79,90,183,96,30,3,0,544
POA6125,3,13,7,19,15,6,4,0,0,66,0,9,9,24,32,10,7,0,0,84,83,104,183,285,438,277,70,10,0,1443
POA6126,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,3,0,0,0,13,3,3,15,18,32,34,14,3,0,128
POA6147,10,32,69,54,54,57,4,0,0,275,14,29,111,80,85,57,8,6,0,395,310,644,1851,1458,1276,1083,269,23,3,6922
POA6148,15,29,56,50,69,47,15,3,0,292,13,39,68,73,78,46,16,4,0,337,459,768,1449,1640,1947,1317,332,47,0,7972
POA6149,9,36,59,57,68,70,16,3,0,320,6,31,82,69,90,75,25,6,0,395,486,876,1527,1752,2014,1890,471,28,7,9054
POA6150,3,17,28,26,25,44,8,4,0,161,14,23,29,34,42,38,19,0,0,202,416,726,1023,967,1301,1199,312,25,0,5977
POA6151,5,27,72,41,44,39,18,0,0,254,7,25,94,64,83,48,29,4,0,367,314,824,2050,1696,1709,1342,492,44,7,8469
POA6152,17,42,96,57,76,54,31,7,0,380,18,54,138,105,86,84,33,9,3,536,540,1441,3283,2330,2261,1854,532,54,6,12295
POA6153,9,33,54,45,54,33,10,0,0,242,9,30,72,91,96,72,34,5,3,417,456,937,1753,1904,2145,1681,547,74,7,9505
POA6154,6,18,32,23,33,34,4,0,3,148,9,17,33,45,59,29,3,3,0,203,277,395,785,1059,1137,714,194,26,3,4590
POA6155,46,83,151,222,243,171,46,7,0,964,64,122,224,252,241,160,46,8,0,1120,1514,2399,4341,5917,5956,3633,820,49,3,24635
POA6156,13,33,66,51,66,32,11,3,0,267,27,30,60,105,83,57,15,7,0,378,421,698,1500,1808,1942,1137,297,45,3,7855
POA6157,13,23,41,40,44,33,5,3,3,209,4,22,60,58,67,36,20,0,0,273,304,544,1367,1493,1552,1038,292,32,11,6634
POA6158,6,13,20,14,25,19,0,0,0,98,4,10,32,33,36,30,6,3,0,162,173,313,551,743,974,747,190,25,0,3720
POA6159,0,0,9,8,8,3,7,0,0,34,3,0,20,16,22,15,12,0,0,88,58,114,384,307,358,302,138,12,0,1679
POA6160,8,7,28,33,18,18,4,0,0,116,8,14,59,48,41,24,5,0,0,198,147,308,1155,799,793,616,200,24,3,4060
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,33,18,9,13,0,0,0,85
POA6162,3,14,37,26,37,23,10,0,0,153,10,28,48,53,64,33,15,4,0,259,219,376,1093,1172,1243,880,255,21,0,5267
POA6163,41,107,242,160,214,137,33,5,0,938,57,111,271,258,227,179,40,6,3,1161,1126,2158,5383,5076,5173,3932,874,66,4,23790
POA6164,61,147,349,294,230,127,25,3,0,1234,71,136,354,379,320,133,30,7,3,1438,1529,2758,7764,7635,5878,3138,610,47,5,29363
POA6165,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,9,5,5,13,5,3,0,0,39
POA6166,9,29,41,56,50,29,4,4,0,227,13,22,41,52,63,35,21,3,0,257,292,428,846,1027,1203,801,193,17,7,4813
POA6167,13,51,140,99,63,45,15,0,0,425,34,70,155,130,138,82,19,3,0,634,571,1022,2988,2610,2066,1248,207,18,0,10723
POA6168,20,49,101,68,77,51,10,3,0,375,24,56,96,91,113,89,11,3,3,496,485,1077,1888,1763,2166,1704,322,37,11,9461
POA6169,34,81,121,115,126,88,13,3,0,581,36,63,141,166,172,111,22,3,3,710,851,1463,2865,3001,3546,2458,376,43,7,14608
POA6170,7,29,82,52,42,19,6,3,0,239,9,46,80,66,39,17,7,3,0,258,287,688,2060,1377,1056,485,81,3,3,6043
POA6171,31,87,192,131,90,48,13,0,0,584,20,60,206,148,109,58,18,0,0,620,810,1586,4456,3595,2795,1236,201,14,0,14701
POA6172,17,35,47,43,43,17,8,0,0,201,11,26,57,76,73,26,3,3,0,277,470,622,1140,1399,1558,736,95,11,0,6026
POA6173,9,13,40,57,46,19,0,0,0,182,14,35,30,70,69,21,3,0,0,250,467,526,1042,1662,1604,485,63,11,0,5860
POA6174,3,8,25,18,11,3,0,0,0,65,3,14,10,34,18,8,0,0,0,83,130,196,448,440,373,158,25,3,0,1776
POA6175,8,13,17,16,19,3,0,0,0,70,5,9,11,13,12,4,0,0,0,57,143,128,371,410,441,187,33,0,0,1713
POA6176,0,9,7,17,4,0,0,0,0,40,0,7,14,10,0,0,0,0,0,39,47,108,175,131,124,85,21,5,0,693
POA6180,3,12,29,28,15,4,0,0,0,102,4,12,29,21,20,7,3,0,0,99,131,243,693,539,457,237,50,8,0,2362
POA6181,0,0,7,4,3,0,0,0,0,14,0,3,0,5,0,0,0,0,0,10,12,18,25,55,77,47,12,0,0,234
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,0,3,5,3,8,3,0,0,29,4,3,3,11,12,4,0,3,0,41,23,38,64,106,123,83,29,0,0,481
POA6208,14,27,32,31,28,23,4,0,0,155,6,15,41,39,42,25,10,0,0,185,245,359,786,895,1037,779,192,30,0,4322
POA6209,0,8,3,6,11,4,0,0,0,33,4,3,3,3,15,8,0,0,0,34,64,66,75,138,207,154,33,0,0,737
POA6210,68,123,203,177,196,132,39,5,0,937,67,107,205,200,237,176,74,22,3,1093,1691,2362,4633,5161,6315,4593,1028,137,9,25923
POA6211,9,8,21,17,33,13,3,0,0,99,9,10,18,27,33,21,5,0,0,129,152,179,452,641,702,507,112,11,3,2759
POA6213,0,0,0,0,4,0,3,0,0,10,5,0,0,8,3,0,0,0,0,13,19,22,35,51,84,69,28,4,0,306
POA6214,3,0,0,3,3,0,0,0,0,11,0,3,0,3,7,0,3,0,0,18,27,18,40,51,93,49,26,5,5,311
POA6215,4,3,11,12,9,9,0,0,0,56,6,11,16,8,16,16,0,0,0,67,95,118,265,297,431,324,85,11,3,1626
POA6218,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,3,0,0,0,18,3,11,20,23,38,39,9,3,3,146
POA6220,3,8,12,11,12,8,0,0,0,57,5,6,19,15,16,18,10,0,0,86,106,154,341,416,483,344,105,20,0,1964
POA6221,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,23,6,11,26,26,31,8,8,0,138
POA6223,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,10,5,28,19,36,15,5,0,0,110
POA6224,3,3,3,3,5,3,3,0,0,25,3,0,3,0,7,10,6,0,0,24,44,30,49,95,131,97,40,11,0,495
POA6225,17,25,26,29,21,16,5,0,0,146,4,16,29,22,31,18,8,0,0,130,218,302,615,646,859,644,123,15,3,3425
POA6226,0,0,0,3,6,3,0,0,0,15,3,3,9,4,3,9,0,0,0,28,29,21,55,96,123,82,10,3,0,428
POA6227,0,0,6,0,0,0,0,0,0,17,0,0,3,5,3,3,0,0,0,15,17,21,66,87,97,47,13,4,0,359
POA6228,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,7,0,11,31,15,15,7,3,0,82
POA6229,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,5,3,9,3,16,17,19,9,0,0,72
POA6230,53,84,179,158,186,115,39,0,0,822,48,73,155,168,177,122,36,4,0,787,1200,1594,3736,4084,4468,3178,684,62,8,19024
POA6232,14,34,73,46,35,24,3,3,0,238,17,15,46,36,22,29,4,4,0,171,346,481,1151,1086,1038,683,104,14,0,4897
POA6233,26,46,66,76,69,28,8,0,0,322,25,20,53,76,74,52,18,3,0,322,564,616,1684,1964,1999,1319,247,15,0,8402
POA6236,3,3,3,8,11,6,0,0,0,41,3,4,4,6,8,11,3,3,0,44,85,65,96,184,302,236,62,14,4,1042
POA6237,0,5,5,8,13,8,0,0,0,38,3,0,4,17,18,6,4,0,0,46,77,56,158,252,316,311,62,7,0,1238
POA6239,3,6,16,18,12,7,3,0,0,67,5,4,12,10,25,22,4,3,0,91,91,97,281,375,457,399,120,20,3,1852
POA6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,7,4,19,24,8,0,0,69
POA6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,6,7,0,0,26
POA6244,0,0,0,6,5,3,0,0,0,11,0,0,3,8,3,8,3,0,0,24,13,18,71,149,153,138,76,15,0,645
POA6251,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,8,6,6,25,34,41,38,16,0,0,165
POA6252,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,4,6,11,16,22,3,0,0,68
POA6253,0,0,0,0,3,5,0,0,0,9,3,0,0,0,5,3,0,0,0,11,9,10,28,32,51,93,36,0,0,265
POA6254,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,10,17,3,23,25,45,37,9,0,0,167
POA6255,3,0,9,13,13,7,3,0,0,56,7,5,5,6,21,24,10,4,0,77,89,71,163,316,409,406,146,27,0,1630
POA6256,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,3,0,0,0,14,14,14,12,47,55,45,18,5,0,213
POA6258,12,13,23,17,34,20,7,0,0,117,11,4,22,18,25,29,4,4,0,128,185,216,487,527,738,629,198,44,6,3016
POA6260,0,3,0,3,0,0,0,0,0,10,0,5,10,6,3,5,3,3,0,34,41,38,77,138,174,140,61,11,3,683
POA6262,0,0,3,0,3,0,0,0,0,12,0,0,0,3,5,4,0,0,0,13,9,9,23,46,87,84,32,7,0,298
POA6271,10,8,9,11,13,9,0,0,0,62,3,5,8,14,17,9,3,0,0,60,71,105,261,307,401,232,66,9,0,1452
POA6275,0,0,4,3,0,0,0,0,0,5,3,3,3,3,0,8,3,0,0,22,16,25,53,97,140,154,53,11,0,547
POA6280,32,45,79,97,102,79,13,0,0,454,20,43,68,99,90,81,30,11,3,440,828,877,1914,2736,2901,2135,571,73,9,12039
POA6281,3,10,20,40,23,18,5,0,0,114,9,13,38,38,29,16,7,0,0,144,154,158,715,949,753,501,158,18,6,3402
POA6282,0,3,3,0,0,3,0,0,0,10,3,0,5,4,3,6,0,0,0,30,32,21,81,136,190,143,24,3,0,632
POA6284,3,0,11,7,5,7,0,0,0,29,0,0,3,15,11,8,0,0,3,35,43,25,192,336,233,174,54,17,9,1067
POA6285,3,8,26,44,38,16,3,0,0,145,14,14,40,63,45,44,6,3,0,228,235,241,988,1236,980,704,180,23,3,4604
POA6286,0,0,0,0,0,5,0,0,0,14,0,0,3,0,7,4,0,0,0,16,10,21,48,59,73,83,26,8,0,335
POA6288,0,0,0,3,3,0,0,0,0,8,0,0,0,3,3,0,0,3,0,9,6,10,29,58,66,63,23,7,0,278
POA6290,0,0,4,0,5,3,0,0,0,18,0,0,3,3,4,5,4,0,0,23,43,26,70,78,158,173,48,9,0,608
POA6302,0,3,4,9,11,11,8,0,0,51,3,3,5,9,22,15,6,3,0,72,76,77,180,233,344,348,126,17,0,1407
POA6304,0,0,4,3,0,3,0,0,0,18,3,3,4,3,4,5,4,0,0,24,15,26,90,117,155,171,73,13,0,662
POA6306,3,3,3,0,3,3,0,0,0,10,0,3,3,3,3,3,3,3,0,18,15,23,47,67,120,79,60,7,0,421
POA6308,0,0,3,3,4,4,0,0,0,13,0,0,0,4,3,6,0,0,0,18,21,35,80,107,167,160,52,15,0,630
POA6309,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,5,0,0,0,8,3,8,6,16,33,23,12,0,0,100
POA6311,3,0,0,0,3,0,3,0,0,13,0,0,0,0,0,3,0,0,0,10,10,6,50,52,69,49,25,0,3,268
POA6312,10,17,18,32,14,8,5,0,0,100,5,9,9,9,22,24,9,3,3,91,83,175,323,373,450,412,137,19,7,1979
POA6313,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,5,24,19,38,29,7,3,0,123
POA6315,3,3,8,7,6,3,3,0,0,35,3,4,3,3,9,6,0,0,0,33,39,42,118,154,194,193,59,7,0,808
POA6316,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,4,13,24,30,47,37,15,3,0,174
POA6317,3,14,16,9,20,16,5,0,0,77,6,12,11,13,15,12,5,3,0,71,95,173,326,345,401,330,91,17,0,1780
POA6318,0,0,4,3,0,0,0,0,0,4,3,0,3,6,4,0,3,0,0,16,8,21,44,55,56,43,14,0,0,243
POA6320,0,0,4,0,0,0,0,0,0,4,0,0,0,3,6,0,0,0,0,9,4,11,50,31,68,52,17,4,0,222
POA6321,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,9,3,8,34,40,51,51,34,3,0,232
POA6322,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,3,3,0,9,4,3,20,7,21,28,13,3,0,102
POA6323,0,0,0,0,7,0,0,0,0,10,0,5,0,0,4,7,0,3,0,21,15,18,33,68,114,90,32,5,0,377
POA6324,8,7,13,15,5,7,0,0,0,57,8,4,10,9,6,13,11,3,0,62,91,95,188,274,355,322,107,21,4,1459
POA6326,0,0,0,4,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,5,14,12,30,38,67,50,35,8,3,257
POA6327,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,9,4,3,20,28,30,30,12,4,0,130
POA6328,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,0,12,4,19,44,28,44,54,20,7,0,215
POA6330,42,81,123,134,161,129,34,3,0,717,56,57,119,96,135,114,37,14,0,627,1080,1207,2578,3074,3671,3059,836,114,16,15635
POA6333,3,8,15,15,21,11,4,0,0,70,12,6,6,18,30,12,20,0,0,104,149,88,258,444,632,546,222,31,3,2364
POA6335,0,0,0,0,4,3,0,0,0,15,0,0,4,7,3,8,0,0,0,24,9,37,77,63,68,81,27,3,0,360
POA6336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,10,32,29,38,31,14,3,0,170
