POA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
POA6012,..,21,41,9,12,25,10,12,8,14,152,..,4,12,0,5,6,15,16,3,0,61,..,0,0,0,0,0,0,4,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,4,12,0,5,10,18,17,4,3,69,..,0,0,0,0,0,0,0,0,0,0,..,28,54,15,17,32,25,31,10,15,224,27,69,51,11,8,7,8,7,8,3,202,11,17,9,0,5,3,10,16,6,0,83,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,11,19,9,0,5,3,10,17,9,3,86,0,0,0,0,0,0,0,0,0,0,0,37,90,60,14,9,15,20,23,16,11,289,51,23,39,21,36,25,10,15,11,3,245,17,12,55,10,21,25,54,47,8,4,247,0,0,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,17,12
POA6014,..,30,92,24,38,32,10,42,20,6,299,..,3,57,16,28,38,46,61,28,9,276,..,0,0,0,0,4,8,13,9,3,45,..,0,0,0,0,0,0,0,0,0,3,..,4,61,16,23,40,52,75,40,16,328,..,0,0,0,0,0,0,0,0,0,0,..,35,149,40,62,73,62,113,66,20,627,63,93,62,8,12,7,8,14,9,8,282,3,30,30,10,16,31,32,33,34,13,237,0,0,0,0,0,0,0,7,0,4,10,0,0,0,0,0,0,0,0,0,0,0,3,30,30,11,16,31,33,39,35,14,244,0,0,0,0,0,0,0,0,0,0,0,67,122,91,26,30,31,38,47,40,24,524,107,46,99,37,58,34,38,23,14,13,467,32,55,187,47,56,103,132,99,89,15,808,3,0,4,0,3,3,9,4,3,0,29,0,0,0,0,0,0,0,0,0,0,0,34,55
POA6015,..,10,48,20,32,8,12,17,3,3,159,..,0,9,7,13,8,11,16,4,3,68,..,0,0,0,0,0,3,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,0,9,7,13,8,17,12,9,3,73,..,0,0,0,0,0,0,0,0,0,0,..,14,60,22,37,19,31,28,7,9,231,24,46,42,7,3,0,4,0,0,0,139,11,3,19,0,0,4,0,7,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,19,0,0,4,0,7,0,0,44,0,0,0,0,0,0,0,0,0,0,0,38,54,54,7,3,4,8,11,3,4,182,17,4,9,4,0,0,4,0,0,6,52,10,6,9,0,0,4,0,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6
POA6016,..,12,21,11,8,7,4,8,3,0,69,..,0,14,5,16,22,7,5,14,0,88,..,0,0,0,0,0,7,0,8,0,14,..,0,0,0,0,0,0,0,0,0,0,..,0,14,8,16,19,14,5,19,4,103,..,0,0,0,0,0,0,0,0,0,0,..,12,33,12,24,32,19,16,19,3,170,15,22,7,0,5,3,11,3,5,0,76,5,17,14,4,12,19,35,37,29,10,178,0,0,0,0,0,0,0,7,6,0,11,0,0,0,0,0,0,0,0,0,0,0,5,17,14,4,12,21,38,43,35,10,190,0,0,0,0,0,0,0,0,0,0,0,24,36,23,9,12,30,44,48,40,7,269,82,21,75,30,41,23,29,5,4,0,303,34,25,141,34,40,54,91,84,70,15,593,0,0,5,3,3,5,3,7,6,0,40,0,0,0,0,0,0,0,0,0,0,3,34,24
POA6017,..,0,0,0,0,0,4,0,0,0,14,..,3,13,6,7,12,7,8,6,6,72,..,0,0,0,0,3,0,4,11,3,19,..,0,0,0,0,0,0,0,0,0,0,..,3,13,6,10,12,13,14,19,11,95,..,0,0,0,0,0,0,0,0,0,0,..,7,15,10,13,16,14,17,16,14,116,9,7,11,7,3,7,8,4,0,0,55,4,5,21,4,4,9,21,30,28,3,132,0,0,0,0,0,0,4,7,3,0,11,0,0,0,0,0,0,0,0,0,0,5,4,5,21,4,7,12,25,38,30,4,143,0,0,0,0,0,0,0,0,0,0,0,11,13,35,9,14,17,37,42,33,7,201,49,16,48,31,21,17,12,10,3,3,214,24,35,159,41,31,45,66,42,30,7,481,0,0,6,3,5,6,8,7,4,5,44,0,0,3,0,0,0,0,0,0,0,3,21,35
POA6018,..,57,160,47,48,43,26,46,16,26,462,..,17,105,47,37,39,32,34,3,10,321,..,0,0,0,0,0,10,12,4,10,41,..,0,0,0,0,0,0,0,0,0,0,..,17,105,47,37,42,47,49,10,18,363,..,0,0,0,0,0,0,0,0,0,0,..,71,263,91,89,85,69,90,20,39,822,85,176,111,20,25,19,17,25,9,19,519,16,64,106,19,19,32,29,36,10,10,346,0,0,0,0,3,4,3,3,3,7,24,0,0,0,0,0,0,0,0,0,0,0,21,64,106,19,17,31,36,38,11,17,368,0,0,0,0,0,0,0,0,0,0,0,107,246,214,38,44,50,57,66,24,41,886,318,127,335,156,200,128,80,61,16,28,1443,116,118,237,69,76,68,64,68,29,24,870,0,4,6,0,0,0,3,6,3,4,41,0,0,4,0,0,0,0,0,0,0,8,116,115
POA6019,..,22,92,15,29,18,33,16,15,15,254,..,6,46,4,15,19,11,19,3,3,136,..,0,3,0,3,0,4,3,0,3,12,..,0,0,0,0,0,0,0,0,0,0,..,6,51,4,17,19,16,25,11,6,151,..,0,0,0,0,0,0,0,0,0,0,..,28,141,15,47,39,45,43,21,24,405,54,105,89,17,25,19,28,20,18,12,386,11,29,22,7,19,15,21,53,13,10,188,0,0,0,0,0,0,0,9,3,0,13,0,0,0,0,0,0,0,0,0,0,3,11,29,25,7,19,15,21,61,15,10,201,0,0,0,0,0,0,0,0,0,0,0,63,135,110,27,47,39,49,79,36,20,594,216,76,249,162,185,117,85,59,18,36,1208,45,39,165,46,51,67,68,102,31,14,621,0,0,0,0,0,0,10,3,6,3,22,0,0,0,0,0,0,0,0,0,0,3,50,39
POA6020,..,30,128,19,40,37,24,14,25,25,347,..,3,16,0,12,11,7,10,7,3,71,..,0,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,3,..,3,20,0,12,11,9,11,7,6,78,..,0,0,0,0,0,0,0,0,0,0,..,31,153,24,57,51,26,26,31,32,426,45,140,82,11,12,13,6,0,6,9,318,4,24,28,0,3,0,3,6,6,0,78,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,24,30,0,3,0,3,6,6,3,85,0,0,0,0,0,0,0,0,0,0,0,52,164,115,11,15,16,9,4,12,9,409,110,42,80,37,26,18,17,15,8,6,354,33,18,21,8,12,10,8,13,3,3,138,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,24
POA6021,..,7,45,14,29,13,6,4,0,7,124,..,12,58,14,20,26,19,16,5,13,180,..,0,0,0,0,5,5,10,7,0,28,..,0,0,0,0,0,0,0,0,0,0,..,12,60,14,20,23,25,25,11,16,205,..,0,0,0,0,0,0,0,0,0,0,..,18,105,25,50,41,28,26,15,21,327,31,55,55,9,20,12,11,20,4,3,225,31,58,94,14,28,32,47,47,29,16,401,0,0,6,0,0,6,3,6,0,3,26,0,0,0,3,0,0,0,0,0,0,3,31,64,96,18,28,34,52,55,31,19,424,0,0,0,0,0,0,0,0,0,0,0,68,115,151,27,47,47,64,74,36,23,650,121,31,120,79,82,56,23,20,7,12,549,137,121,287,44,63,63,68,63,36,21,906,3,0,14,8,10,9,9,9,3,3,63,0,0,0,0,0,0,0,0,0,0,4,140,122
POA6022,..,3,14,8,8,3,5,0,0,3,47,..,0,10,0,0,5,0,3,0,0,27,..,0,0,0,0,0,0,0,4,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,10,0,0,5,0,8,6,0,31,..,0,0,0,0,0,0,0,0,0,0,..,3,21,6,16,13,9,8,4,4,78,13,15,12,0,0,0,0,0,0,0,43,0,6,8,0,0,6,0,3,3,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,6,3,3,3,3,39,0,0,0,0,0,0,0,0,0,0,0,10,22,18,3,0,4,7,3,3,3,78,45,13,34,7,14,10,11,0,0,3,130,14,8,23,3,4,12,7,10,3,3,82,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,9
POA6023,..,35,137,32,46,54,30,14,21,10,373,..,6,35,8,18,11,8,3,6,3,100,..,0,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,7,35,8,18,11,8,6,6,3,105,..,0,0,0,0,0,0,0,0,0,0,..,40,177,36,64,69,38,19,23,10,479,54,121,115,10,16,9,3,6,4,5,350,3,17,32,3,5,4,0,3,3,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,32,3,5,4,0,3,3,7,74,0,0,0,0,0,0,0,0,0,0,0,60,137,150,15,20,19,9,11,6,6,420,90,30,50,16,18,16,11,4,3,4,242,29,16,40,14,12,13,3,3,4,0,129,0,0,0,0,0,5,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,29,16
POA6024,..,19,45,11,27,18,8,4,4,3,142,..,6,21,17,16,3,11,3,4,3,89,..,0,0,0,0,0,0,3,0,5,9,..,0,0,0,0,0,0,0,0,0,0,..,6,21,17,21,3,10,10,9,5,103,..,0,0,0,0,0,0,0,0,3,3,..,30,63,36,43,18,23,11,12,14,244,23,49,61,3,19,13,9,8,3,4,186,9,9,18,7,5,3,15,3,12,5,88,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,9,9,18,7,5,3,15,6,12,5,96,0,0,0,0,0,0,0,0,0,0,0,32,56,82,16,22,19,21,16,17,10,284,107,43,75,26,34,20,11,12,4,4,341,28,18,56,16,9,11,21,4,13,3,184,0,0,0,0,0,4,0,0,3,0,18,0,0,3,0,0,0,0,0,0,0,3,28,23
POA6025,..,43,197,73,107,61,64,48,32,15,651,..,11,35,9,14,15,21,6,3,3,126,..,0,0,0,0,0,4,3,3,0,13,..,0,0,0,0,0,0,0,0,0,0,..,11,41,9,21,15,23,11,5,3,138,..,0,0,0,0,0,0,0,0,0,3,..,51,233,89,127,75,90,63,35,25,787,105,222,213,29,34,12,23,28,12,10,683,25,38,36,3,12,8,14,20,4,5,163,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,42,36,3,12,8,14,17,7,5,175,0,0,0,0,0,0,0,0,0,0,3,128,263,255,31,43,20,33,47,23,15,860,267,98,205,78,90,45,40,19,18,21,881,56,36,93,22,27,20,12,11,7,5,307,0,0,4,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,61,39
POA6026,..,46,156,52,76,61,35,25,13,11,473,..,4,33,11,20,26,13,13,0,5,124,..,0,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,4,33,11,20,26,13,17,0,7,126,..,0,0,0,0,0,0,0,0,0,0,..,51,192,61,89,88,45,44,11,13,599,62,186,196,30,22,16,11,12,4,13,561,5,28,48,5,9,6,5,7,7,4,126,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,28,48,5,9,3,6,10,7,4,131,0,0,0,0,0,0,0,0,0,0,0,66,214,246,37,35,22,22,19,11,16,685,153,41,86,34,32,18,16,11,4,3,397,16,38,53,11,4,14,10,7,0,3,164,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,36
POA6027,..,98,366,105,138,83,79,52,35,21,979,..,9,49,9,28,32,39,16,13,9,208,..,0,0,0,4,0,8,18,3,7,37,..,0,0,0,0,0,0,0,0,0,0,..,9,49,11,33,34,47,33,18,15,247,..,0,0,0,0,0,0,0,0,0,0,..,107,415,119,167,118,127,86,55,34,1229,185,445,379,45,49,52,44,38,26,39,1302,11,54,113,29,37,62,75,71,60,17,539,0,0,4,0,0,3,6,14,10,10,43,0,0,0,0,0,0,0,0,3,0,5,12,54,118,33,41,68,82,83,70,26,582,0,0,0,0,0,0,0,0,0,0,0,201,501,493,74,93,119,125,125,95,64,1891,476,156,299,92,112,77,65,60,31,39,1413,80,71,227,52,69,76,98,69,50,14,795,3,0,12,0,6,5,10,13,4,14,68,0,0,3,0,0,0,0,0,0,0,4,81,72
POA6028,..,70,317,150,108,102,73,58,34,21,946,..,10,43,26,24,17,11,13,3,3,159,..,0,0,0,0,3,0,3,5,0,13,..,0,0,0,0,0,0,0,0,0,0,..,10,48,26,24,20,17,12,11,7,168,..,0,0,0,0,0,0,0,0,0,0,..,83,364,181,134,125,88,74,47,26,1119,114,435,450,76,56,45,13,16,8,16,1231,26,54,88,8,21,27,22,12,4,0,259,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,54,86,8,21,30,22,12,4,3,263,0,0,0,0,0,0,0,0,0,0,3,136,493,539,85,79,69,37,26,9,25,1501,275,98,123,55,53,41,27,19,10,10,709,41,47,78,20,19,11,11,11,8,8,263,0,0,3,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,43,47
POA6029,..,3,17,0,0,0,0,3,0,0,21,..,0,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,5,17,3,0,0,0,3,0,0,27,8,10,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,10,3,0,0,0,3,0,0,0,23,18,8,13,5,6,10,5,3,0,0,61,0,0,3,0,0,0,8,4,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6030,..,100,477,120,164,107,63,53,30,41,1153,..,16,121,35,52,33,30,34,12,14,356,..,0,0,0,3,3,3,9,12,0,24,..,0,0,0,0,0,0,0,0,0,0,..,16,119,37,58,32,31,42,22,15,378,..,0,0,0,0,0,0,0,0,0,0,..,120,592,162,220,144,98,102,46,52,1532,121,444,692,85,108,50,28,28,13,47,1621,26,129,197,43,52,20,33,41,16,17,574,0,3,3,0,0,0,4,6,6,4,23,0,0,6,0,0,0,0,0,0,0,9,28,127,204,44,52,20,40,45,24,23,603,0,0,0,0,0,0,0,0,0,0,0,151,579,898,126,159,69,67,75,35,71,2230,485,188,364,98,123,65,42,40,33,29,1453,93,138,272,37,61,62,49,44,24,21,799,0,10,8,5,7,5,5,9,5,7,61,0,0,0,0,0,0,0,0,0,0,8,89,154
POA6031,..,53,265,59,93,35,35,20,14,18,605,..,17,115,39,29,19,18,11,11,0,247,..,0,0,0,3,3,0,10,3,3,20,..,0,0,0,0,0,0,0,0,0,0,..,17,119,39,31,18,17,13,10,3,264,..,0,0,0,0,0,0,0,0,0,0,..,67,384,101,119,59,51,39,22,23,873,63,195,310,34,38,24,9,9,8,13,698,9,69,112,29,20,9,17,20,7,5,296,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,69,112,29,20,9,16,22,7,5,305,0,0,0,0,0,0,0,0,0,0,0,73,266,422,63,62,35,27,31,19,16,1004,259,119,200,57,56,53,27,13,10,22,813,56,88,190,37,40,32,26,23,15,11,507,4,4,14,0,0,0,5,6,5,3,43,0,0,0,0,0,0,0,0,0,0,6,60,88
POA6032,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6033,..,0,0,0,0,3,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6034,..,0,18,12,12,6,14,4,0,0,72,..,0,3,0,0,5,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,0,5,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,0,..,0,23,14,12,10,15,4,0,0,88,0,20,47,9,5,8,3,0,0,3,96,0,0,10,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,20,53,9,5,10,8,0,0,3,109,46,30,43,15,22,5,11,12,0,9,186,0,4,20,0,3,3,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6035,..,11,116,51,62,30,22,18,3,12,308,..,4,24,0,4,8,0,6,0,0,41,..,0,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,4,24,0,4,9,0,6,3,0,47,..,0,0,0,0,0,0,0,0,0,0,..,12,137,51,66,35,25,17,8,12,357,17,59,120,23,28,7,9,0,3,7,278,0,8,19,0,4,0,0,3,9,3,43,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,4,0,0,3,9,3,46,0,0,0,0,0,0,0,0,0,0,0,22,68,134,22,31,7,5,8,14,15,320,109,49,95,22,47,20,17,12,3,5,384,3,18,38,10,9,4,3,6,9,4,103,0,0,0,0,0,0,0,0,8,3,17,0,0,0,0,0,0,0,0,0,0,3,3,18
POA6036,..,54,287,70,107,55,56,43,21,19,715,..,10,48,13,25,25,15,6,0,11,170,..,0,0,0,0,0,4,3,4,0,18,..,0,0,0,4,0,0,0,0,0,3,..,10,47,19,25,31,19,8,6,17,188,..,0,0,0,0,0,0,0,0,0,3,..,67,342,83,132,85,72,54,27,37,908,48,199,389,54,70,23,31,16,3,19,864,6,58,106,12,10,11,10,16,6,3,237,0,0,5,3,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,4,6,65,112,16,10,11,8,13,6,3,244,0,0,3,0,0,0,0,0,0,0,3,57,264,502,70,76,34,39,33,8,21,1111,226,110,191,67,71,44,25,45,13,25,806,26,66,116,18,21,32,19,13,10,5,329,0,3,4,0,0,5,4,4,0,0,18,0,0,0,0,0,0,0,0,0,0,3,26,67
POA6037,..,4,13,5,0,0,3,10,0,0,33,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,4,15,9,0,0,3,10,0,0,39,0,14,18,5,6,0,0,0,0,0,41,0,3,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,17,20,3,5,0,0,0,0,3,52,23,10,18,6,3,0,3,0,0,4,68,3,0,4,0,0,0,0,3,0,3,19,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0
POA6038,..,9,83,52,75,48,16,15,13,6,315,..,0,19,6,6,9,4,10,0,0,63,..,0,0,0,0,0,0,3,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,20,6,6,8,4,13,0,0,71,..,0,0,0,0,0,0,0,0,0,3,..,7,112,64,82,55,18,28,15,8,392,24,68,130,18,27,16,12,6,7,13,321,3,12,47,7,4,3,7,5,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,47,7,4,3,7,4,0,0,90,0,0,0,0,0,0,0,0,0,0,0,27,81,178,22,34,17,21,12,7,13,412,133,65,149,33,42,31,10,6,17,13,511,14,25,87,8,16,13,14,11,9,3,193,0,0,4,0,3,0,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,14,28
