POA_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
POA6012,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,156,18,0,5,179,3,0,3,177,3,0,182,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,155,18,0,5,177,3,0,3,181,3,0,182,60,9,0,0,69,0,0,0,67,3,0,74,0,0,0,0,0,0,0,0,0,0,0,0,213,26,0,5,245,0,0,0,246,4,0,257,35,5,0,0,39,0,0,0,40,3,0,43,46,0,0,0,46,0,0,0,47,4,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,8,0,3,89,0,0,3,88,3,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6014,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,5,0,0,0,5,0,0,5,324,37,0,3,360,9,0,10,375,18,0,392,0,0,0,0,0,0,0,0,4,0,0,4,16,0,0,0,16,0,0,0,16,0,0,17,17,0,0,0,17,0,0,0,15,0,0,19,340,37,0,3,378,8,0,10,389,19,0,409,70,0,0,0,68,3,0,3,75,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,409,35,0,3,445,14,0,13,461,19,0,482,72,10,0,0,76,0,0,5,83,8,0,88,79,16,0,0,91,0,6,4,101,4,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,153,21,0,0,179,4,7,8,183,10,0,200,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0
POA6015,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,176,21,3,0,191,3,0,3,195,4,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,21,3,0,193,3,0,3,197,4,0,198,48,4,0,0,50,0,0,0,51,5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,219,27,3,0,246,3,0,3,252,5,0,259,32,3,0,0,38,3,0,3,38,0,0,37,70,14,0,0,83,0,0,0,83,5,0,83,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,106,14,0,0,121,3,0,3,123,7,0,125,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
POA6016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,12,4,3,154,3,0,3,156,3,0,160,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,4,139,12,4,3,155,3,0,3,160,5,0,169,18,0,0,0,21,0,0,0,21,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,159,18,3,3,178,3,0,3,184,9,0,193,32,3,0,0,37,0,0,0,39,0,0,38,27,4,0,0,33,3,0,3,40,3,0,43,0,0,4,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,3,0,0,3,62,11,4,0,74,3,0,3,77,4,0,81,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0
POA6017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,23,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,17,5,0,0,19,3,0,3,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,21,3,0,3,23,0,0,26,3,3,0,0,3,0,0,0,3,0,0,3,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6018,4,0,3,0,6,0,0,0,6,0,0,6,9,0,0,0,7,0,0,0,7,0,0,7,511,67,8,4,592,25,0,21,613,23,0,635,5,0,0,0,5,0,0,0,5,0,0,5,11,0,0,0,8,0,0,0,11,3,0,15,13,0,0,0,17,0,0,0,19,3,0,24,532,66,8,4,606,25,0,23,629,26,0,658,96,12,0,0,107,9,0,9,114,10,0,124,0,3,0,0,4,0,0,0,4,0,0,4,624,79,10,3,718,30,0,32,751,37,0,785,113,14,0,0,127,3,0,5,136,6,0,136,165,20,4,0,192,5,0,5,198,8,0,206,14,0,3,0,11,0,0,0,12,0,0,12,4,0,0,0,6,0,0,0,6,0,0,6,296,31,7,0,338,13,0,16,353,12,0,369,3,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0
POA6019,6,0,0,0,6,0,0,0,6,0,0,10,0,0,0,3,3,0,0,0,3,4,0,9,238,30,6,3,277,11,3,8,288,11,0,301,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,4,0,0,0,4,0,0,4,247,30,9,3,284,11,3,8,292,11,0,305,46,7,0,0,54,3,0,3,55,5,0,66,0,0,0,0,0,0,0,0,0,0,0,0,291,37,9,3,336,10,3,13,354,16,0,371,63,0,0,0,62,3,0,3,67,7,0,67,80,4,0,0,87,0,0,0,87,3,0,90,3,0,0,0,3,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,142,6,0,0,153,3,0,3,156,11,0,162,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
POA6020,7,0,0,0,5,0,0,0,5,0,0,5,0,0,0,3,6,0,0,0,6,0,0,6,380,49,10,6,444,7,8,16,454,20,0,478,3,0,0,0,4,0,0,0,4,0,0,4,8,0,0,0,12,0,0,0,12,3,0,13,11,0,0,0,18,0,0,0,18,3,0,22,393,53,10,7,458,7,8,16,472,24,0,499,65,5,0,0,71,0,0,0,74,10,0,82,0,0,0,0,0,0,0,0,0,0,0,0,458,57,14,7,531,9,8,18,549,34,0,583,79,13,0,0,94,3,0,3,97,0,0,100,116,8,3,3,128,3,0,3,133,9,0,147,0,4,0,0,3,0,0,0,3,0,0,3,4,0,0,3,4,0,0,0,4,0,0,5,198,26,8,3,229,13,0,13,240,15,0,254,0,0,0,0,0,3,0,3,5,0,0,5,3,4,0,0,6,0,0,0
POA6021,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,237,24,6,3,274,12,0,9,283,4,0,292,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,0,0,7,3,0,0,0,3,0,0,0,8,0,0,7,241,29,6,3,277,11,0,16,291,7,0,299,51,4,0,0,50,0,0,0,51,7,0,56,0,0,0,0,0,0,0,0,0,0,0,0,291,27,6,3,330,14,0,14,345,16,0,355,64,4,0,0,67,3,0,4,72,4,0,80,61,12,0,0,75,0,0,0,74,0,0,74,3,4,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,127,19,0,0,147,8,0,6,154,3,0,160,3,0,0,0,3,0,0,0,6,0,0,6,3,0,0,0,3,0,0,0
POA6022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,4,3,72,0,3,3,75,5,0,78,3,0,0,0,3,0,0,0,3,0,0,3,4,3,0,0,3,0,0,0,3,0,0,3,3,3,0,0,6,0,0,0,6,0,0,6,60,10,4,3,76,0,3,3,76,5,0,79,13,0,0,0,13,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,64,10,4,3,88,0,3,3,87,5,0,95,13,0,0,0,13,0,0,0,12,0,0,12,10,0,0,3,13,0,0,0,13,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,3,24,0,0,0,25,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6023,3,0,0,0,4,0,0,0,4,0,0,4,7,0,0,0,7,0,0,0,7,0,0,7,311,26,3,0,336,11,3,15,349,9,0,361,3,0,0,0,3,0,0,0,3,0,0,3,8,0,0,0,11,0,0,0,11,0,0,15,13,3,0,0,13,0,0,0,13,0,0,17,322,27,3,0,353,11,3,15,366,11,0,379,59,3,3,0,62,0,0,0,62,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,377,31,3,0,416,11,3,15,430,13,0,444,55,10,0,0,66,0,0,0,66,0,0,67,82,9,0,0,88,0,0,0,91,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,21,3,0,160,0,0,0,160,8,0,166,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
POA6024,3,0,3,0,9,0,0,0,9,0,0,9,3,0,0,0,3,0,0,0,3,3,0,7,176,11,3,0,191,3,0,3,200,9,0,207,4,0,0,0,4,0,4,4,4,0,0,4,0,0,0,0,3,0,0,0,4,0,0,4,5,0,0,0,7,0,4,3,6,0,0,11,178,11,3,0,201,7,4,9,210,8,0,218,31,6,0,0,35,0,0,0,33,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,214,19,3,0,234,5,4,8,247,13,0,254,26,3,0,0,33,0,0,0,29,0,0,33,32,4,0,0,35,0,0,0,37,0,0,37,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,65,6,0,0,71,0,0,0,76,3,0,82,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
POA6025,4,0,3,0,7,0,0,0,7,0,0,7,3,0,0,3,6,0,0,0,6,0,0,6,488,46,16,3,560,23,0,23,578,25,0,610,9,0,0,0,18,4,0,4,20,0,0,20,17,0,0,0,17,3,0,3,22,0,0,22,30,3,0,0,31,6,0,6,36,0,0,36,515,49,16,9,591,27,0,27,619,25,0,647,81,12,0,0,92,4,0,4,93,15,0,107,0,0,0,0,0,0,0,0,0,0,0,0,602,62,12,6,682,31,0,31,715,37,0,752,101,16,5,0,122,3,4,3,125,5,0,129,147,13,0,0,168,6,0,6,179,11,0,183,5,0,0,0,5,0,0,0,4,3,0,10,0,0,0,3,4,0,0,0,4,0,0,4,258,31,3,3,301,16,4,14,313,16,0,327,10,0,0,0,11,0,0,0,12,0,0,12,3,0,0,0,3,0,0,0
POA6026,18,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,3,0,0,0,3,0,0,3,452,51,11,5,519,16,0,16,536,11,0,550,0,0,0,0,6,0,0,0,5,0,0,6,10,4,0,0,12,0,0,0,17,0,0,17,9,5,0,0,17,0,0,0,18,0,0,20,464,56,11,5,531,21,0,21,557,16,0,572,70,5,3,0,86,0,0,3,87,3,0,91,3,0,0,0,4,0,0,0,4,0,0,4,537,60,13,11,621,21,4,23,646,20,0,664,96,14,0,0,115,0,0,0,115,8,0,124,118,14,0,0,128,3,0,3,137,3,0,140,3,0,3,0,4,0,0,0,8,0,0,8,0,0,0,0,3,0,0,0,3,0,0,3,216,29,3,4,251,4,0,4,258,12,0,270,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0
POA6027,7,0,0,0,14,0,0,0,14,0,0,14,8,0,0,3,13,0,0,0,16,0,0,13,669,70,14,12,764,28,7,31,793,21,0,817,7,0,0,0,7,0,0,0,13,4,0,16,10,0,0,0,12,0,0,0,17,0,0,17,20,0,0,0,22,4,0,4,23,3,0,32,691,74,14,12,781,32,7,35,820,30,0,848,121,12,4,9,150,3,3,4,150,11,0,164,0,0,0,0,0,0,0,0,0,0,3,5,811,84,18,20,934,36,4,40,972,38,3,1019,160,15,0,0,176,6,0,5,179,11,0,193,119,20,5,0,142,3,0,3,144,3,0,151,0,0,4,0,4,0,0,0,4,0,0,4,0,0,0,3,6,0,0,0,6,0,0,5,288,32,7,5,327,13,0,15,343,13,3,355,10,0,0,0,5,3,0,3,8,4,0,13,7,0,0,0,7,0,0,0
POA6028,3,0,9,0,7,0,0,0,7,0,0,7,6,0,0,8,12,0,0,0,12,0,0,12,568,50,12,6,644,18,0,19,667,17,0,676,9,0,0,0,9,3,0,3,11,0,0,11,23,7,0,0,28,4,0,4,28,0,0,28,27,5,0,0,33,3,0,3,37,0,0,37,595,58,12,12,676,22,0,28,703,17,0,716,85,8,5,0,99,4,0,4,105,9,0,115,0,0,0,0,0,0,0,0,0,0,3,3,683,67,17,12,776,32,0,30,812,21,3,837,147,11,0,0,160,3,0,3,162,4,0,169,137,13,0,0,151,0,0,0,153,10,0,158,5,0,3,0,9,0,0,0,9,0,0,8,0,0,0,3,3,0,0,0,3,0,0,3,293,28,3,5,330,3,0,3,332,11,0,343,11,0,0,0,13,3,0,3,10,0,0,17,12,0,4,0,14,3,0,3
POA6029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,15,0,0,74,0,0,0,80,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,4,0,0,0,3,0,0,3,70,11,0,0,80,0,0,3,87,0,0,88,8,0,0,0,8,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,81,12,0,0,95,3,0,0,93,0,0,99,11,3,0,0,14,3,0,3,17,0,0,17,22,0,0,0,24,0,0,0,24,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,0,0,39,3,0,3,38,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6030,9,3,0,0,12,0,0,0,10,3,0,15,0,0,0,3,9,0,0,0,9,0,0,8,633,79,19,14,741,27,0,27,770,26,0,797,12,3,0,0,22,4,0,4,24,0,0,25,16,8,0,0,20,0,0,0,21,0,0,23,33,6,0,0,39,6,0,6,47,8,0,51,668,88,19,14,784,34,0,35,822,31,0,852,121,17,6,8,146,10,0,10,160,25,0,185,0,0,0,3,7,0,0,0,6,0,0,9,787,107,23,21,938,47,0,44,985,56,0,1040,119,18,0,0,140,4,0,4,147,0,0,146,128,17,0,3,152,9,0,9,166,3,0,168,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,250,36,3,8,302,16,0,16,316,5,3,322,0,0,0,0,3,3,0,3,6,0,0,6,3,0,0,0,3,0,0,0
POA6031,3,3,4,0,8,0,0,0,8,0,0,15,3,0,0,3,7,0,0,0,7,0,0,8,270,33,5,4,323,3,3,6,330,11,0,345,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,3,0,3,7,0,0,10,5,0,0,0,9,3,0,3,14,0,0,13,284,36,11,10,334,8,3,13,346,17,0,361,55,3,3,3,65,0,0,3,62,7,0,77,0,0,0,0,0,0,0,0,0,0,0,3,333,39,9,8,398,12,3,12,409,24,4,434,51,3,0,0,54,0,0,0,56,3,0,58,62,4,0,0,63,0,0,0,63,3,0,67,3,0,3,0,6,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,112,11,3,0,127,3,0,3,132,3,3,135,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,15,0,0,0,15,0,0,15,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,24,0,0,0,24,0,0,24,3,0,0,0,3,0,0,0,3,0,0,7,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,26,0,0,0,28,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,28,0,0,0,24,0,0,24,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,4,3,0,26,0,0,0,29,0,0,29,6,0,0,0,6,0,0,0,6,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,14,0,4,111,4,0,4,112,3,0,120,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,3,5,0,0,5,91,14,0,4,113,4,0,11,116,3,0,121,19,3,0,0,25,0,0,0,23,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,107,17,0,3,135,12,0,7,144,9,0,156,14,3,0,0,17,3,0,3,14,0,0,14,6,3,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,24,3,0,3,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
POA6036,7,0,6,0,10,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,269,29,9,4,306,16,0,16,320,7,0,337,7,0,0,0,7,3,0,3,11,3,0,10,10,0,0,0,10,0,0,0,10,0,0,10,15,0,0,0,15,5,0,5,17,3,0,19,279,29,9,4,323,20,0,20,340,13,0,353,44,10,5,0,54,6,0,8,62,10,0,75,0,0,0,0,0,0,0,0,0,0,0,0,321,38,18,4,376,20,0,25,397,24,0,426,49,3,3,0,49,3,0,3,53,3,0,58,31,5,0,0,41,0,0,0,39,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,82,8,3,3,97,7,0,7,96,3,0,104,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
POA6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,29,0,0,3,27,0,0,32,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,21,9,0,0,32,3,0,4,34,0,0,38,7,0,0,0,8,0,0,0,6,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,29,9,0,0,39,5,0,4,42,5,0,44,7,0,0,0,7,0,0,0,7,0,0,7,5,3,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
