POA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
POA6012,263,9,0,273,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,0,0,8,3,0,0,0,3,0,0,0,8,0,0,8,231,26,7,0,259,8,0,3,266,9,0,273,72,7,0,0,81,4,0,4,83,5,3,95,0,0,0,0,0,0,0,0,0,0,0,0,302,35,8,0,341,11,0,9,354,16,3,372,60,8,0,0,69,0,0,0,69,0,0,71,91,10,0,0,104,5,0,5,103,3,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,14,0,4,178,3,0,3,181,3,0,183,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,6,0,0,0,6,0,0,0,6,0,0,6,159,14,0,4,184,3,0,3,186,3,0,191,51,10,0,0
POA6014,923,25,0,944,11,4,0,0,10,0,0,3,14,0,0,14,32,3,4,0,34,3,0,3,37,3,0,41,39,3,4,0,45,5,0,10,57,3,0,56,792,126,21,9,943,27,0,28,978,23,0,1002,251,15,3,3,274,11,0,13,284,3,0,288,0,0,0,0,0,0,0,0,0,0,0,0,1046,144,21,12,1219,35,3,37,1259,27,3,1289,160,20,0,0,180,8,0,8,188,14,0,202,300,36,0,0,334,8,6,6,343,7,0,357,9,0,0,0,9,0,0,0,9,0,0,9,4,0,0,3,6,0,0,0,6,0,0,6,466,59,0,3,530,19,6,22,544,19,0,567,4,0,0,0,4,0,0,0,4,0,0,4,18,0,0,0,18,3,0,3,23,0,0,23,25,0,0,0,25,3,0,3,29,0,0,29,492,59,0,3,549,19,6,21,573,19,0,590,104,8,4,0
POA6015,225,9,0,230,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,15,0,0,15,15,0,0,0,15,0,0,0,13,0,0,13,199,19,0,3,225,11,0,11,241,9,0,246,120,3,0,0,116,6,3,8,126,4,0,131,0,0,0,0,0,0,0,0,0,0,0,0,322,23,0,3,347,17,3,16,362,13,0,381,59,11,0,0,77,0,0,0,80,7,0,83,98,15,0,0,112,0,0,3,115,0,0,116,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,166,27,3,3,195,4,0,4,199,10,0,209,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,4,8,0,0,0,9,0,0,0,9,0,0,9,169,22,3,3,203,4,0,4,206,10,0,217,69,4,0,0
POA6016,436,15,0,444,3,0,0,0,5,0,0,0,5,0,0,3,13,0,0,0,13,3,0,3,19,0,0,19,15,3,0,0,21,3,0,3,17,0,0,21,378,52,3,0,432,22,0,23,456,12,0,466,83,9,0,0,96,6,0,6,101,8,0,103,0,0,0,0,0,0,0,0,0,0,0,0,464,64,3,4,527,28,0,24,559,20,0,574,46,11,0,0,53,0,0,0,57,3,0,56,137,12,0,6,153,8,0,8,155,0,0,162,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,185,20,3,6,215,5,0,5,216,7,0,226,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,5,0,0,0,5,0,0,5,192,21,3,6,216,5,0,5,222,7,0,228,25,12,0,0
POA6017,46,8,0,53,4,0,0,0,4,0,0,0,6,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,9,0,0,0,12,0,0,12,45,12,0,0,51,0,0,6,54,8,0,58,13,0,0,0,16,6,0,6,21,13,0,34,0,0,0,0,0,0,0,0,0,0,0,3,58,11,0,0,71,4,0,8,79,14,0,98,3,0,0,0,12,0,0,0,8,0,0,10,4,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,16,0,0,0,17,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,16,3,0,3,19,3,0,20,9,3,0,0
POA6018,1317,24,0,1339,19,0,0,0,19,3,0,3,27,0,0,27,55,0,0,3,61,0,0,0,64,5,0,63,78,0,0,3,83,3,0,3,86,5,0,90,1218,113,22,14,1368,35,3,38,1406,27,0,1429,348,26,3,6,383,11,3,16,397,27,0,431,4,0,0,0,3,0,0,0,3,0,0,4,1569,142,24,21,1757,46,7,51,1809,57,0,1863,180,28,3,3,212,6,0,6,219,11,0,225,485,24,11,0,522,12,3,19,540,14,0,549,9,3,3,0,13,0,0,0,15,0,0,15,5,0,0,0,4,0,0,0,3,0,0,3,681,56,11,7,751,18,4,25,777,20,0,801,10,0,0,0,10,0,0,0,13,0,0,13,23,0,0,0,23,0,0,0,28,0,0,27,38,0,0,0,38,5,0,5,41,0,0,45,714,56,11,7,792,25,4,29,821,22,0,845,159,12,3,0
POA6019,566,14,0,585,6,0,0,0,12,3,0,3,11,0,0,11,33,0,0,0,33,4,0,3,38,0,0,38,43,0,0,0,38,3,0,6,46,0,0,47,524,53,14,3,585,27,3,28,619,14,0,633,131,11,0,0,144,9,0,10,152,11,0,157,3,0,0,0,3,0,0,0,3,0,0,3,657,55,15,3,727,33,3,42,767,24,0,798,104,6,0,0,112,3,0,3,121,3,0,122,175,16,3,0,202,7,0,7,203,3,0,207,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,287,30,3,0,321,11,0,11,334,8,0,337,3,0,0,0,3,3,0,3,3,0,0,3,16,0,0,0,17,3,0,3,22,0,0,22,18,0,0,0,17,4,0,4,26,0,0,26,302,31,3,0,338,19,0,19,354,8,0,360,97,11,0,0
POA6020,850,27,0,873,9,0,0,0,9,0,0,0,9,0,0,9,30,0,0,0,31,0,0,0,31,0,0,31,39,0,0,0,41,0,0,0,41,0,0,41,794,59,8,13,872,14,0,14,885,27,0,917,220,6,8,3,238,4,0,4,245,9,0,249,0,0,0,0,0,0,0,0,0,0,0,0,1015,67,17,14,1117,22,0,22,1130,32,0,1164,128,8,3,0,135,3,0,3,141,6,0,151,323,18,6,3,354,9,0,9,360,6,0,363,6,4,4,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,456,32,14,3,508,8,0,8,513,10,0,530,4,0,0,0,6,0,0,0,6,0,0,6,12,3,0,0,18,0,0,0,18,0,0,17,13,0,0,0,19,0,0,0,21,0,0,21,475,34,17,3,521,11,0,11,535,13,0,553,91,5,0,0
POA6021,580,21,0,594,10,0,0,0,10,0,0,0,12,0,0,14,25,0,0,0,26,4,0,4,35,0,0,35,34,0,0,0,35,4,0,11,42,0,0,46,532,59,6,7,599,20,3,21,620,18,0,639,180,19,7,0,205,10,0,10,217,24,0,242,0,0,0,0,0,0,0,0,0,0,5,11,711,75,11,14,806,35,3,37,843,42,5,892,86,6,4,0,93,4,0,4,100,6,0,105,175,14,0,0,196,4,0,4,200,3,0,200,7,0,3,0,10,0,0,0,10,0,0,10,0,0,0,0,5,0,0,0,5,0,0,5,273,26,3,0,301,8,0,12,315,3,0,316,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,6,0,0,6,11,0,0,0,8,0,0,0,11,0,0,15,279,23,3,0,312,9,3,10,328,6,0,331,76,10,6,0
POA6022,195,12,0,200,3,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,8,0,0,0,8,0,0,8,168,14,5,9,195,4,0,5,206,12,0,209,42,0,3,7,45,0,0,0,45,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,213,18,11,8,242,4,0,5,255,10,0,266,24,4,0,0,30,0,0,0,30,4,0,35,39,0,0,0,47,5,0,5,44,3,0,46,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,69,3,0,0,74,5,0,5,80,9,0,84,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,8,0,0,0,8,0,0,8,76,3,0,0,82,5,0,5,82,9,0,88,14,0,0,0
POA6023,727,17,0,746,10,0,0,0,10,0,0,0,10,0,0,10,40,0,0,0,36,0,0,0,36,0,0,36,51,0,0,0,49,0,0,0,53,0,0,53,698,49,5,7,761,18,0,20,776,17,0,792,212,11,0,3,231,0,0,0,230,10,0,242,0,0,0,3,4,0,0,0,4,0,0,4,913,59,11,8,997,16,0,21,1009,23,0,1035,96,19,0,0,118,9,0,11,123,6,0,132,270,15,0,3,293,8,4,7,296,10,0,306,10,0,0,0,14,0,0,0,14,0,0,14,4,0,0,0,6,0,0,0,6,0,0,6,379,36,5,5,429,10,3,17,442,12,0,454,8,0,0,0,8,3,0,3,15,0,0,15,20,0,0,0,17,0,0,0,23,0,0,23,26,0,0,0,28,4,0,4,35,0,0,35,406,32,5,5,455,18,3,18,475,12,0,490,84,3,0,3
POA6024,466,10,0,480,0,0,0,0,3,0,3,3,4,0,0,6,16,0,0,0,16,0,0,0,16,7,0,20,18,0,0,0,20,0,3,3,22,8,0,24,409,41,5,7,468,12,5,21,486,17,0,508,123,10,0,3,145,8,0,7,149,5,0,159,0,0,0,0,0,0,0,0,0,0,0,0,539,57,10,16,617,16,3,27,637,26,3,661,64,10,0,0,76,3,0,3,76,3,0,82,158,20,0,0,186,4,0,3,186,0,0,191,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,227,27,7,0,262,6,3,7,273,3,0,279,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,5,0,0,5,3,0,0,0,4,0,0,3,5,0,0,5,227,28,7,0,268,6,5,9,280,4,0,288,38,8,0,0
POA6025,996,27,3,1023,11,0,0,0,11,12,0,12,21,0,0,21,47,4,7,0,59,3,0,3,63,0,0,63,62,4,9,0,71,12,0,12,78,0,0,84,936,76,21,8,1040,30,7,41,1077,23,3,1105,359,27,8,11,401,11,0,11,407,13,0,422,0,0,0,0,0,0,0,0,0,0,0,4,1294,99,28,20,1436,43,7,48,1487,38,5,1534,127,27,0,0,156,6,0,11,168,13,0,181,382,32,4,0,413,10,0,12,422,9,0,435,6,3,0,0,13,0,0,0,13,0,0,12,3,0,0,4,4,0,0,0,4,0,0,4,519,58,3,7,586,19,3,18,607,20,0,630,6,0,0,0,6,8,0,8,10,0,0,10,23,0,0,0,25,0,0,0,29,0,0,29,29,0,0,0,32,10,0,10,41,0,0,41,545,62,3,7,615,28,3,27,646,20,0,666,131,16,6,0
POA6026,861,16,0,881,7,0,0,0,7,0,3,3,9,4,0,8,33,0,0,0,33,3,0,3,31,0,0,31,37,0,0,0,37,3,3,3,39,4,0,40,795,65,13,7,880,13,9,26,900,20,0,927,243,12,6,11,268,7,0,7,282,8,0,286,0,3,0,0,3,0,0,0,3,0,0,3,1039,78,17,22,1153,24,9,37,1187,24,0,1210,143,21,4,4,167,4,0,5,169,4,0,178,309,31,5,3,341,6,0,7,350,3,0,352,6,3,0,0,8,0,0,0,8,0,0,15,0,0,0,0,3,0,0,0,3,0,0,5,465,47,4,8,526,7,0,10,531,11,0,542,8,0,0,0,8,0,0,3,7,0,0,7,17,0,0,0,17,5,0,5,18,0,0,18,16,0,0,0,16,3,0,6,27,0,0,27,482,47,4,8,543,12,4,14,561,11,0,571,118,10,0,4
POA6027,1319,40,4,1363,21,0,0,0,26,4,0,4,27,0,0,27,53,8,0,3,70,11,0,11,80,0,0,80,74,9,0,3,95,14,0,14,106,0,0,106,1201,128,28,18,1378,50,3,48,1426,43,4,1470,349,40,9,5,406,24,3,30,430,37,3,473,0,0,0,4,0,0,0,0,0,0,0,7,1552,164,34,30,1781,77,5,83,1864,81,9,1950,244,34,9,0,280,7,0,7,291,7,0,303,430,40,12,3,489,18,0,18,509,9,0,510,6,0,3,0,7,3,0,3,16,0,0,11,4,0,0,5,7,0,0,0,7,0,0,10,684,76,23,10,787,35,0,33,817,17,0,840,17,0,0,0,17,6,0,6,23,0,0,23,22,4,0,0,23,0,0,0,26,0,0,26,39,4,0,0,43,7,0,7,49,0,0,51,717,80,23,10,830,39,0,40,871,22,0,886,166,11,0,3
POA6028,907,20,0,926,18,0,0,0,17,5,0,5,23,0,0,20,45,3,0,0,50,0,0,0,50,0,0,50,67,5,0,0,69,5,0,5,73,0,0,75,849,76,17,11,955,21,4,25,979,25,0,1003,217,20,8,4,247,4,0,4,256,13,0,267,0,0,0,4,7,0,0,0,7,0,0,8,1065,101,29,22,1205,27,4,33,1238,35,3,1274,175,15,0,0,194,10,0,10,204,16,0,216,391,35,3,3,429,7,0,5,437,11,0,452,8,0,0,0,11,0,0,0,11,0,0,11,4,0,0,3,10,0,0,0,10,0,0,10,580,49,6,8,643,14,0,14,664,22,0,685,11,0,0,0,11,0,0,0,13,0,0,13,24,3,0,0,27,0,0,0,28,0,0,27,32,3,0,0,32,3,0,3,40,0,0,38,610,55,6,8,678,16,0,22,696,25,0,726,117,11,3,3
POA6029,106,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,3,91,13,0,0,104,3,3,3,115,0,0,113,18,6,0,0,24,0,0,0,29,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,109,21,3,0,128,8,3,9,138,4,0,142,20,4,0,0,23,0,0,0,25,0,0,30,38,8,0,0,48,0,0,0,48,4,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,7,0,0,70,0,0,0,75,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,65,7,0,0,72,0,0,0,78,3,0,85,12,0,0,0
POA6030,1152,34,0,1186,20,6,4,0,28,3,0,3,35,3,0,38,51,12,0,0,66,0,0,0,68,0,0,68,74,21,3,0,93,4,0,4,99,6,0,106,1004,170,17,12,1207,45,7,50,1255,41,0,1297,424,61,21,20,522,39,3,45,568,59,0,626,0,0,0,3,3,0,0,0,3,0,10,17,1430,227,38,38,1732,82,6,95,1829,102,10,1935,222,46,4,4,272,4,0,11,277,10,0,295,392,58,6,3,463,11,0,11,473,4,0,476,10,3,3,0,15,0,0,0,15,0,0,15,5,0,0,11,15,0,0,0,10,0,0,12,625,108,14,13,759,14,0,17,778,21,0,794,11,0,0,0,13,4,0,4,22,4,0,22,26,7,0,0,33,0,0,0,33,3,0,35,35,7,0,0,49,4,0,4,53,5,0,57,663,118,16,13,807,25,0,25,833,23,0,853,180,26,3,5
POA6031,675,19,3,703,12,0,0,0,15,3,0,3,20,0,0,19,29,0,0,0,27,7,4,4,35,3,0,37,41,4,0,0,48,6,4,12,53,7,0,58,601,75,20,7,696,32,5,37,732,23,3,758,203,27,13,11,250,15,4,16,262,29,0,292,0,0,0,0,0,0,0,0,0,0,3,8,799,102,34,13,952,46,6,52,1004,49,9,1059,125,16,0,0,141,5,0,5,143,8,0,152,204,30,7,7,239,5,0,5,242,8,0,248,3,0,0,0,4,0,0,0,4,0,0,11,3,0,0,0,3,0,0,0,3,0,0,3,336,42,9,9,387,11,0,11,403,15,0,417,6,0,0,0,9,0,0,0,9,0,0,9,10,0,0,3,13,4,0,4,17,3,0,21,20,0,0,3,18,4,0,4,21,3,0,27,350,42,13,8,412,9,0,9,421,21,0,440,93,12,3,8
POA6032,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,3,0,3,7,0,0,7,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0
POA6033,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,7,0,0,7,18,0,3,0,16,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,20,3,0,3,21,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,7,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,10,0,0,0,9,0,0,9,0,0,0,0
POA6034,58,0,0,59,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,8,0,0,0,8,0,0,0,8,0,0,8,57,6,0,0,69,0,0,0,69,0,0,70,16,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,74,6,3,0,82,0,0,0,82,0,0,82,8,3,0,0,9,0,0,0,9,0,0,9,16,3,0,0,20,0,0,0,17,0,0,18,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,30,0,0,0,30,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,30,0,0,0,30,0,0,33,4,0,0,0
POA6035,273,15,0,284,10,0,0,0,10,0,0,0,10,0,0,12,15,0,0,0,16,4,0,6,25,0,0,25,26,0,0,0,25,6,0,3,32,0,0,32,236,42,10,11,296,7,0,11,302,12,0,318,113,7,14,6,134,12,0,12,148,16,0,162,0,0,0,0,0,0,0,0,0,0,0,3,351,44,18,16,430,23,0,27,455,27,5,487,38,7,3,0,49,4,0,7,54,0,0,54,83,8,0,8,95,3,0,3,98,0,0,104,0,0,0,0,3,3,0,3,5,0,0,5,0,0,0,7,7,0,0,0,7,0,0,7,123,19,4,12,153,7,0,10,160,0,0,162,3,0,0,0,3,3,0,3,6,3,0,11,9,0,0,0,12,3,0,3,11,0,0,11,15,0,0,0,15,4,0,4,18,3,0,20,135,19,4,12,170,13,0,12,182,8,0,187,46,0,0,0
POA6036,524,13,0,533,8,0,0,0,10,4,0,4,18,4,0,23,24,0,0,0,25,5,0,5,30,0,0,30,32,5,0,0,42,7,0,7,48,4,0,50,464,52,19,10,545,21,3,28,573,12,0,587,219,16,5,3,247,22,7,24,273,30,0,299,3,0,0,0,3,0,0,0,3,0,0,8,687,70,27,13,798,46,4,48,843,43,0,891,107,6,7,0,120,5,0,5,121,10,0,130,180,25,3,0,208,5,3,9,213,0,0,213,3,0,5,0,6,0,0,0,6,0,0,10,0,0,0,3,3,0,0,0,3,0,0,3,287,31,15,5,342,11,3,8,348,10,0,362,15,0,0,0,15,3,0,3,18,0,0,19,17,0,0,0,17,0,0,0,17,0,0,17,28,0,0,0,25,3,0,3,33,0,0,33,316,37,15,5,369,10,3,12,379,10,0,390,77,9,0,3
POA6037,102,3,0,107,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,7,0,0,0,5,0,0,5,5,0,0,0,11,0,0,0,11,0,0,11,89,3,0,7,95,9,0,8,108,3,0,117,28,4,0,0,39,3,0,3,39,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,114,10,3,9,138,9,0,11,149,4,0,153,9,0,0,0,9,0,3,0,13,0,0,13,27,3,0,0,32,3,0,3,34,0,0,32,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,43,0,3,4,47,0,0,51,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,7,39,3,0,0,47,4,3,9,53,0,0,54,9,3,0,0
