POA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
POA6110,14043,..,..,..,..,14043,..,107,0,107,3,105,..,256,24,276,3,282,..,6,0,6,0,6,..,140,39,182,0,182,..,379,188,567,0,572,..,42,3,45,0,45,..,562,233,791,0,796,..,8,0,8,0,8,..,38,0,39,0,39,..,80,7,84,0,81,..,39,0,39,0,38,..,16,0,16,0,16,..,51,0,50,0,50,..,156,3,161,0,161,..,249,27,272,0,279,..,88,3,93,0,94,..,159,19,178,0,178,..,98,4,104,0,104,..,794,61,856,5,860,..,80,6,88,4,93,..,11,3,18,0,18,..,40,23,56,0,56,..,3,0,3,0,3,..,3,0,3,0,3,..,74,21,92,0,92,..,18,3,27,0,27,..,3,0,6,0,6,..,24,0,26,0,26,..,11,0,10,0,10,..,129,9,138,0,138,..,195,18,213,0,217,..,227,12,241,4,243,..,145
POA6111,9469,..,..,..,..,9469,..,41,0,41,0,41,..,28,4,26,0,26,..,4,0,4,0,4,..,11,6,17,0,17,..,46,20,64,0,68,..,0,0,0,0,0,..,56,28,76,4,80,..,3,0,8,0,8,..,40,0,42,0,47,..,24,5,25,0,25,..,36,0,36,0,36,..,7,0,7,4,7,..,8,0,8,0,4,..,35,3,37,0,37,..,52,4,55,0,55,..,29,3,30,0,29,..,36,3,34,0,33,..,23,3,21,0,21,..,177,12,190,5,192,..,87,3,93,3,97,..,12,0,9,0,9,..,5,4,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,21,5,19,0,19,..,13,0,13,0,13,..,5,0,5,0,5,..,9,0,5,0,5,..,4,0,4,0,4,..,40,0,40,0,40,..,16,0,16,0,16,..,48,0,48,0,48,..,29
POA6112,20342,..,..,..,..,20342,..,214,5,220,0,218,..,124,11,133,4,137,..,24,0,26,0,30,..,129,20,153,0,150,..,422,128,551,3,556,..,25,5,31,0,30,..,584,153,733,6,740,..,13,3,23,0,23,..,113,0,113,0,118,..,83,7,82,0,82,..,61,3,66,0,64,..,11,0,14,0,14,..,41,3,39,0,39,..,208,12,226,0,227,..,443,59,499,4,507,..,182,5,186,0,186,..,80,4,79,0,79,..,173,20,192,3,196,..,1125,104,1228,9,1238,..,108,12,119,0,119,..,33,6,34,0,34,..,41,13,51,0,54,..,3,0,3,0,3,..,5,0,5,0,5,..,50,4,53,0,53,..,31,0,31,0,31,..,27,3,29,0,29,..,48,3,50,0,50,..,24,3,24,0,28,..,172,3,173,0,171,..,159,22,175,0,175,..,244,6,248,0,252,..,149
POA6121,1357,..,..,..,..,1357,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,3,4,0,4,..,0,0,0,3,3,..,3,0,3,0,3,..,6,0,6,0,6,..,9,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,16,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,0
POA6122,7127,..,..,..,..,7127,..,71,3,75,0,78,..,18,0,18,0,18,..,0,0,0,0,0,..,8,0,11,0,13,..,31,4,34,0,34,..,3,0,3,0,3,..,45,11,54,0,51,..,0,0,0,0,0,..,24,0,24,0,24,..,30,3,29,0,32,..,11,0,11,0,11,..,5,0,5,0,5,..,0,0,0,0,0,..,29,3,31,0,31,..,139,20,161,3,164,..,15,0,16,0,16,..,26,0,26,0,26,..,22,0,23,0,23,..,232,28,258,3,260,..,28,0,28,0,28,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,3,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,3,0,3,0,3,..,18,3,21,0,21,..,9,0,9,0,9,..,24,0,24,0,24,..,19
POA6123,689,..,..,..,..,689,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0
POA6124,514,..,..,..,..,514,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,5,0,5,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
POA6125,1412,..,..,..,..,1412,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0
POA6126,140,..,..,..,..,140,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,6,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
POA6147,4292,..,..,..,..,4292,..,15,0,15,0,15,..,95,19,114,0,114,..,0,0,0,0,0,..,257,71,332,0,330,..,485,193,678,0,681,..,67,43,104,0,109,..,813,301,1114,5,1117,..,3,0,5,0,5,..,8,0,8,0,5,..,31,0,28,0,28,..,14,0,14,0,14,..,3,0,3,0,3,..,33,0,33,0,34,..,60,3,62,0,62,..,124,13,135,0,138,..,43,3,44,0,44,..,90,5,91,0,91,..,38,3,40,0,40,..,382,25,408,3,411,..,26,5,30,3,33,..,12,3,15,0,15,..,62,27,86,0,89,..,0,0,0,0,0,..,0,0,0,0,0,..,39,12,48,0,48,..,12,0,13,0,13,..,10,0,10,0,10,..,7,0,4,0,4,..,3,0,5,0,5,..,43,3,47,0,47,..,105,9,121,0,121,..,107,3,107,0,107,..,66
POA6148,5754,..,..,..,..,5754,..,20,0,20,0,20,..,52,5,58,0,58,..,0,0,0,0,0,..,181,37,217,0,217,..,528,98,625,4,634,..,48,5,53,0,52,..,760,143,898,3,901,..,3,0,4,0,4,..,17,0,17,0,18,..,31,3,32,0,32,..,37,0,36,0,36,..,10,0,10,0,10,..,44,0,48,0,48,..,77,0,77,0,81,..,55,3,57,0,57,..,154,4,160,0,160,..,32,0,33,0,33,..,78,0,78,0,78,..,448,12,463,4,465,..,48,3,54,3,53,..,17,0,20,0,20,..,74,37,111,0,111,..,0,0,0,0,0,..,0,0,0,0,0,..,37,4,46,0,46,..,24,0,24,0,24,..,15,0,15,0,15,..,3,0,3,0,3,..,5,0,5,0,5,..,33,0,33,0,33,..,98,7,101,0,101,..,19,0,22,0,21,..,34
POA6149,6765,..,..,..,..,6765,..,54,0,57,0,57,..,41,4,45,0,45,..,0,0,0,0,0,..,244,38,280,0,280,..,520,94,616,7,619,..,66,5,75,0,75,..,827,142,972,7,971,..,8,0,8,0,8,..,15,0,15,0,15,..,28,0,32,0,32,..,35,0,33,0,33,..,10,0,11,0,11,..,20,0,20,0,20,..,69,0,69,0,69,..,45,3,48,0,48,..,37,4,40,0,40,..,8,0,8,0,8,..,14,0,14,0,14,..,193,4,199,0,199,..,60,3,62,0,62,..,29,3,32,0,32,..,79,31,114,0,114,..,0,0,0,0,0,..,0,0,0,0,0,..,27,0,27,0,27,..,13,0,13,0,13,..,9,0,8,0,8,..,0,0,0,0,0,..,7,0,7,0,7,..,11,0,11,0,11,..,79,3,80,0,80,..,10,0,10,0,10,..,22
POA6150,4126,..,..,..,..,4126,..,21,0,21,0,16,..,34,0,34,0,34,..,0,0,0,0,0,..,245,46,290,3,291,..,436,81,512,5,522,..,71,4,75,0,75,..,752,125,877,6,884,..,14,3,10,0,10,..,18,0,18,0,18,..,32,3,36,0,36,..,13,0,13,0,13,..,11,0,11,0,11,..,22,0,22,0,24,..,36,0,36,0,36,..,24,0,24,0,24,..,38,3,45,0,45,..,3,0,8,0,8,..,26,0,26,0,26,..,149,0,157,0,153,..,78,0,78,0,78,..,9,3,17,0,17,..,33,9,45,0,45,..,3,0,3,0,3,..,0,0,0,0,0,..,32,3,32,0,32,..,12,0,12,0,12,..,8,0,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,18,0,18,0,18,..,190,22,212,0,209,..,8,0,8,0,8,..,33
POA6151,6192,..,..,..,..,6192,..,22,0,22,0,22,..,51,7,53,0,53,..,9,0,9,0,9,..,89,13,99,0,99,..,158,47,205,0,205,..,14,3,18,0,18,..,263,63,323,0,328,..,15,0,15,0,15,..,13,0,13,0,13,..,47,4,50,0,50,..,29,0,29,0,29,..,32,3,36,0,36,..,8,0,8,0,8,..,46,0,47,0,47,..,22,0,22,0,22,..,15,0,11,0,13,..,12,0,16,0,16,..,45,3,50,0,50,..,145,3,150,3,150,..,94,6,101,0,101,..,42,7,47,0,47,..,33,9,41,3,41,..,7,0,7,0,7,..,0,0,0,0,0,..,79,0,79,0,79,..,15,0,14,0,17,..,21,4,28,0,28,..,0,0,0,0,0,..,12,0,12,0,12,..,12,0,12,0,11,..,48,0,50,3,50,..,3,0,3,0,3,..,18
POA6152,8584,..,..,..,..,8584,..,54,3,53,0,53,..,112,16,127,0,129,..,20,0,20,0,17,..,192,25,220,3,220,..,475,86,565,0,566,..,66,5,71,0,71,..,733,116,848,7,855,..,13,3,21,0,18,..,11,0,11,0,11,..,73,3,81,0,81,..,44,0,44,0,44,..,49,0,47,0,47,..,30,0,29,0,29,..,82,3,81,0,81,..,23,4,30,0,30,..,30,0,30,0,30,..,28,3,34,0,34,..,61,0,61,0,61,..,256,11,263,0,263,..,112,6,125,3,124,..,40,11,50,0,50,..,64,31,93,0,93,..,6,0,6,0,6,..,0,0,0,0,0,..,123,9,134,0,136,..,42,3,47,0,46,..,19,0,20,0,20,..,0,0,0,0,0,..,8,0,9,0,13,..,15,0,15,0,15,..,164,13,174,0,175,..,19,0,19,0,19,..,37
POA6153,7134,..,..,..,..,7134,..,32,0,32,0,32,..,53,8,58,0,58,..,0,0,0,0,0,..,161,19,177,0,177,..,306,74,377,0,377,..,43,0,43,0,43,..,507,97,598,0,598,..,21,0,21,0,21,..,21,0,21,0,18,..,48,0,48,0,48,..,35,0,43,0,40,..,23,0,22,0,22,..,7,0,7,0,7,..,56,0,56,0,56,..,23,0,23,0,23,..,46,0,44,0,44,..,6,0,6,0,6,..,32,0,34,0,34,..,176,4,174,0,174,..,101,9,107,0,108,..,47,11,59,0,59,..,59,20,77,0,77,..,3,0,3,0,3,..,0,0,0,0,0,..,122,15,132,0,134,..,22,0,23,0,27,..,18,0,21,0,21,..,0,0,0,0,0,..,13,0,13,0,13,..,4,0,4,0,4,..,150,14,159,0,159,..,14,0,14,0,14,..,23
POA6154,3770,..,..,..,..,3770,..,11,0,11,0,11,..,16,0,16,0,16,..,0,0,0,0,0,..,80,9,86,0,86,..,112,33,146,0,146,..,20,0,22,0,22,..,210,39,250,0,250,..,9,0,13,0,13,..,13,0,13,0,13,..,30,0,30,0,30,..,26,0,26,0,26,..,6,0,12,0,12,..,5,0,5,0,5,..,11,0,11,0,11,..,11,0,11,0,11,..,3,0,3,0,3,..,15,0,15,0,15,..,11,0,10,0,10,..,53,0,49,0,49,..,55,3,61,0,62,..,18,3,21,0,21,..,29,11,36,0,36,..,0,0,0,0,0,..,0,0,0,0,0,..,28,3,33,0,33,..,4,0,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,11,0,11,0,11,..,8,0,8,0,8,..,56,0,62,0,62,..,10,0,12,0,12,..,8
POA6155,14806,..,..,..,..,14806,..,170,0,169,0,169,..,303,22,328,3,334,..,7,0,7,0,7,..,704,151,852,6,856,..,2006,676,2689,16,2706,..,190,35,222,3,227,..,2899,863,3762,23,3789,..,5,0,5,0,5,..,33,4,37,0,40,..,63,4,72,0,72,..,44,0,44,0,44,..,14,5,18,0,18,..,159,0,156,0,156,..,336,11,346,0,352,..,342,26,363,0,365,..,255,4,258,0,264,..,190,8,197,0,197,..,179,4,186,0,186,..,1459,55,1516,5,1524,..,139,9,151,0,153,..,45,5,51,0,53,..,227,75,301,5,310,..,7,0,10,0,10,..,3,0,3,0,3,..,113,8,122,0,122,..,36,6,39,0,39,..,33,6,37,0,37,..,9,3,11,0,11,..,17,3,21,0,21,..,51,3,57,0,57,..,276,23,300,0,300,..,76,3,78,0,78,..,179
POA6156,6696,..,..,..,..,6696,..,16,0,16,0,16,..,23,0,25,0,21,..,0,0,0,0,0,..,21,7,28,3,31,..,71,20,90,3,90,..,9,0,5,0,5,..,96,27,127,3,131,..,35,3,35,0,35,..,19,0,20,0,20,..,29,0,32,0,32,..,29,0,26,0,26,..,11,0,16,0,16,..,4,0,4,0,4,..,16,0,16,0,16,..,5,0,5,0,5,..,10,0,10,0,10,..,0,0,0,0,0,..,11,0,11,0,11,..,51,0,46,0,46,..,136,3,137,7,142,..,12,9,22,0,19,..,4,6,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,20,3,24,3,25,..,18,3,15,0,15,..,3,0,3,0,3,..,4,0,4,0,4,..,17,0,15,0,15,..,10,0,10,0,10,..,34,3,36,0,41,..,29,0,29,0,29,..,0
POA6157,5406,..,..,..,..,5406,..,14,0,14,0,14,..,10,0,10,0,10,..,0,0,0,0,0,..,14,3,10,0,10,..,19,9,28,0,28,..,0,0,0,0,0,..,35,7,40,0,40,..,11,0,12,0,12,..,17,0,17,0,17,..,37,4,40,0,40,..,38,0,43,0,43,..,15,0,15,0,15,..,3,0,3,0,3,..,4,0,4,0,4,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,20,0,20,0,20,..,93,9,102,0,103,..,15,3,16,0,14,..,5,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,9,0,10,0,10,..,6,0,6,0,6,..,0,0,0,0,0,..,8,0,6,0,6,..,8,0,8,0,8,..,5,0,5,0,5,..,17,0,17,0,17,..,3
POA6158,3031,..,..,..,..,3031,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,7,0,7,0,7,..,0,0,0,0,0,..,12,0,12,0,12,..,12,0,12,0,14,..,6,0,6,0,6,..,23,0,23,0,23,..,24,0,24,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,86,3,86,0,89,..,6,3,12,0,12,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
POA6159,1325,..,..,..,..,1325,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,5,..,7,0,7,0,7,..,9,0,9,0,9,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,4,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
POA6160,3046,..,..,..,..,3046,..,3,0,3,0,3,..,7,3,6,0,6,..,0,0,0,0,0,..,6,0,10,0,10,..,11,6,20,0,20,..,0,0,0,0,0,..,18,11,26,0,26,..,16,0,20,0,20,..,15,0,15,0,15,..,44,0,50,0,50,..,29,0,29,0,26,..,3,0,9,0,9,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,10,0,10,..,17,0,19,0,19,..,126,26,152,3,150,..,6,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,7,0,7,0,7,..,3
POA6161,46,..,..,..,..,46,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
POA6162,4109,..,..,..,..,4109,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,7,0,7,..,5,6,11,0,11,..,0,0,0,0,0,..,10,7,15,0,15,..,46,6,50,0,50,..,6,0,6,0,6,..,53,3,58,0,60,..,53,0,57,0,53,..,12,0,14,0,14,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,15,0,15,0,15,..,237,47,285,0,289,..,14,7,15,0,15,..,3,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,9,3,6,0,6,..,10,3,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,12,9,16,0,16,..,0,0,0,0,0,..,10,0,10,0,10,..,18,0,18,0,23,..,0
