POA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA6012,0,0,213,13,31,0,0,29,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,0,0,35,0,43,0,0,0,0,0,0,0,225,33,0,0,35,0,257,105,0,0,0,0,0,105,9,17,0,0,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,17,0,23,0,0,0,0,0,0,0,113,17,0,0,17,0,130,57,0,0,0,0,0,57,3,5,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,8,0,0,0,0,0,0,0,56,5,0,0,5,0,63,1275,25,0,0,25,3,1305,77,181,7,5,189,0,264,0,10,0,0,9,0,9,0,4,0,3,5,0,5,77,194,7,5,208,0,281,0,0,0,0,0,0,0,1356,219,7,5,229,3,1585
POA6014,16,0,402,19,55,0,0,58,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,58,0,0,61,0,81,0,0,0,0,0,0,0,406,73,5,0,76,0,482,199,7,0,0,7,0,208,16,29,3,0,34,0,47,0,0,3,0,3,0,3,0,0,0,0,0,0,0,16,28,4,0,34,0,49,0,0,0,0,0,0,0,216,38,4,0,39,0,254,123,4,0,0,4,0,129,9,12,3,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,3,0,15,0,22,0,0,0,0,0,0,0,132,21,3,0,24,0,152,3288,124,3,0,127,0,3414,242,634,12,0,647,0,886,4,36,5,0,48,0,48,0,0,0,3,5,0,5,240,673,17,3,699,0,937,4,0,0,0,0,3,7,3531,798,24,3,824,7,4360
POA6015,5,0,224,9,23,0,0,23,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,0,0,29,0,38,0,0,0,0,0,0,0,235,32,0,0,32,0,259,136,3,0,0,3,0,137,6,14,0,0,19,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,19,0,24,0,0,0,0,0,0,0,146,19,0,0,19,0,166,57,3,0,0,3,0,57,8,17,0,0,15,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,15,0,22,0,0,0,0,0,0,0,64,15,0,0,16,0,82,1253,37,0,0,35,0,1293,79,160,3,0,166,0,246,0,4,0,0,4,0,4,0,3,0,0,3,0,8,80,169,3,0,174,0,256,3,0,0,0,0,0,3,1341,202,7,0,210,0,1549
POA6016,4,0,145,13,26,3,0,34,0,41,0,3,0,0,3,0,3,0,0,0,0,0,0,0,13,33,3,0,39,0,47,0,0,0,0,0,0,0,148,38,3,0,40,0,193,68,6,0,0,6,0,71,7,20,3,0,19,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,3,0,19,0,24,0,0,0,0,0,0,0,75,25,3,0,30,0,98,28,0,0,0,0,0,28,4,4,0,0,4,0,3,0,4,0,0,4,0,4,0,0,0,0,0,0,0,4,10,0,0,10,0,9,0,0,0,0,0,0,0,34,6,0,0,6,0,42,1386,73,0,0,73,0,1465,102,308,12,0,327,3,435,0,25,0,0,25,0,25,3,3,0,0,3,0,3,104,343,12,0,354,3,464,0,0,0,0,0,0,0,1491,413,12,0,428,3,1924
POA6017,0,0,6,3,11,0,0,12,0,12,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,12,0,0,19,0,16,0,0,0,0,0,0,0,6,12,0,0,19,0,26,6,0,0,0,0,0,6,0,6,0,3,10,0,10,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,12,0,3,13,0,13,0,0,0,0,0,0,0,6,12,0,3,13,0,20,6,0,0,0,0,0,6,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,4,5,0,0,5,0,7,126,9,0,0,9,0,131,28,170,15,3,186,0,213,3,29,20,0,43,0,49,3,0,3,0,0,0,3,28,199,33,3,232,0,265,0,0,0,0,0,0,0,151,213,33,3,246,0,395
POA6018,25,0,623,32,115,0,0,121,0,151,3,0,8,0,6,0,11,0,0,0,0,0,0,0,39,114,7,0,124,0,160,0,0,0,0,0,0,0,643,137,7,0,146,0,785,321,9,0,0,9,0,332,16,70,0,0,69,0,89,0,7,6,0,12,0,10,0,0,0,0,0,0,0,18,74,3,0,79,0,96,0,0,0,0,0,0,0,340,79,3,0,86,0,428,146,7,0,0,7,0,157,7,39,0,0,39,0,51,0,3,0,0,4,0,3,0,0,0,0,0,0,0,9,41,0,0,44,0,55,0,0,0,0,0,0,0,155,50,0,0,50,0,207,5064,148,3,0,157,6,5225,411,1039,24,0,1064,3,1480,12,73,45,0,115,0,131,4,10,0,0,10,0,9,427,1124,68,0,1192,3,1620,3,0,0,0,0,4,11,5489,1273,75,0,1346,17,6854
POA6019,12,0,302,17,43,0,0,43,0,62,0,3,0,0,8,0,8,0,0,0,0,0,0,0,17,50,0,0,47,0,69,0,0,0,0,0,0,0,312,54,0,0,61,0,371,162,3,0,0,3,0,166,9,16,0,0,16,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,23,0,28,0,0,0,0,0,0,0,176,22,0,0,21,0,197,68,0,0,0,0,0,68,0,12,0,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,15,0,22,0,0,0,0,0,0,0,75,12,0,0,15,0,92,2535,62,0,0,68,6,2605,157,357,9,6,371,4,527,4,21,10,0,33,0,31,0,4,0,0,4,0,4,159,387,18,6,404,4,567,3,0,0,0,0,0,3,2699,452,18,3,474,4,3179
POA6020,7,0,518,25,38,0,0,38,0,62,0,0,5,0,6,0,6,0,0,0,0,0,0,0,25,39,5,0,45,0,64,0,0,0,0,0,0,0,536,44,5,0,48,0,583,259,9,0,0,9,0,268,11,27,0,0,27,0,40,0,0,4,0,4,0,4,0,0,0,0,0,0,0,11,27,3,0,32,0,45,0,0,0,0,0,0,0,270,35,3,0,44,0,312,150,3,0,0,3,0,150,4,12,0,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,12,0,17,0,0,0,0,0,0,0,154,21,0,0,21,0,168,3602,87,0,0,87,3,3692,204,295,0,0,295,0,500,11,3,16,0,13,0,26,0,3,0,0,8,0,8,212,306,12,0,318,0,529,0,0,0,0,0,0,0,3815,386,12,0,404,3,4218
POA6021,12,0,204,13,121,3,0,119,0,140,0,8,11,0,20,0,20,0,0,0,0,0,0,0,13,130,8,0,140,0,156,0,0,0,0,0,0,0,200,141,8,0,155,0,355,119,14,0,0,14,0,129,10,56,3,0,65,0,75,0,7,11,0,20,0,21,0,0,0,0,0,0,0,13,67,13,0,80,0,89,0,0,0,0,0,0,0,125,82,13,0,93,0,216,42,3,0,0,3,0,44,7,30,0,0,34,0,43,0,8,5,0,15,0,15,0,0,0,0,0,0,0,7,41,10,0,50,0,56,0,0,0,0,0,0,0,48,44,10,0,56,0,100,1690,158,0,0,158,0,1846,199,1014,15,4,1025,0,1229,5,101,53,0,147,0,157,0,3,0,5,9,0,9,209,1114,59,5,1183,0,1387,3,7,0,0,7,4,14,1899,1271,59,5,1345,4,3249
POA6022,0,0,75,8,12,0,0,12,0,16,0,3,0,0,3,0,3,0,0,0,0,0,0,0,8,12,0,0,12,0,18,0,0,0,0,0,0,0,83,12,0,0,12,0,95,26,0,0,0,0,0,26,3,9,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,11,0,15,0,0,0,0,0,0,0,29,11,0,0,11,0,40,11,3,0,0,3,0,7,0,5,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,4,0,0,0,0,0,0,0,7,4,0,0,10,0,18,682,11,0,0,11,0,691,60,93,0,0,89,0,152,0,11,7,0,18,0,18,0,0,0,0,0,0,0,60,102,6,0,111,0,171,0,0,0,0,0,0,0,743,110,6,0,123,0,864
POA6023,7,3,393,14,32,0,0,32,0,45,0,3,0,0,6,0,6,0,0,0,0,0,0,0,14,39,0,0,39,0,55,0,0,0,0,0,3,3,388,46,0,0,52,3,444,174,10,0,0,10,0,183,5,21,0,0,21,0,27,0,0,3,0,3,0,3,0,0,0,0,0,0,0,5,21,3,0,22,0,30,0,0,0,0,0,0,0,177,23,3,0,28,0,205,86,4,0,0,4,0,88,7,12,0,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,12,0,17,0,0,0,0,0,0,0,94,16,0,0,16,0,110,2892,81,0,3,86,3,2981,159,278,8,0,285,0,448,0,8,9,0,20,0,20,0,0,0,0,0,0,0,159,289,17,0,303,0,464,5,0,0,0,0,3,11,3055,373,17,3,393,4,3456
POA6024,5,0,223,10,14,3,0,21,0,33,0,4,0,0,8,0,8,0,0,0,0,0,0,0,10,20,3,0,27,0,32,0,0,0,0,0,0,0,228,26,3,0,32,0,254,81,3,0,0,3,0,82,4,18,0,0,18,0,21,0,3,3,0,7,0,7,0,0,0,0,0,0,0,4,18,3,0,26,0,25,0,0,0,0,0,0,0,78,25,3,0,32,0,110,42,0,0,0,0,0,44,0,10,0,0,10,0,13,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,15,0,0,13,0,16,0,0,0,0,0,0,0,43,13,0,0,15,0,62,1899,57,0,0,57,0,1961,114,195,9,4,204,0,325,5,27,10,0,42,0,48,0,0,0,0,3,0,3,118,228,23,3,247,0,372,3,0,0,0,0,0,4,2024,290,23,3,314,3,2337
POA6025,17,0,652,25,64,0,0,62,0,90,4,3,3,0,6,0,8,0,0,0,0,0,0,0,29,70,7,0,71,0,102,0,0,0,0,0,0,0,664,85,5,0,87,0,752,332,11,0,0,14,0,346,11,51,0,0,53,0,62,0,0,3,0,7,0,8,0,0,0,0,0,0,0,10,51,7,0,59,0,65,0,0,0,0,0,0,0,343,63,8,0,68,0,406,169,5,0,0,6,0,175,3,25,0,0,24,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,3,0,25,0,32,0,0,0,0,0,0,0,174,30,0,0,35,0,203,4798,100,0,3,108,3,4909,267,504,16,0,517,0,789,8,18,15,0,39,0,44,0,0,0,3,3,0,3,279,519,32,3,555,0,833,3,0,0,0,0,4,11,5083,622,36,3,663,6,5753
POA6026,9,0,591,21,49,0,0,49,0,68,0,3,0,0,3,0,3,0,0,0,0,0,0,0,21,54,0,0,54,0,73,0,0,0,0,0,0,0,601,64,0,0,64,0,664,294,4,0,0,4,0,298,7,31,0,0,31,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,31,0,35,0,0,0,0,0,0,0,302,30,0,0,34,0,336,150,3,0,0,3,0,152,4,19,0,0,19,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,22,0,22,0,0,0,0,0,0,0,151,22,0,0,25,0,174,3785,81,0,0,81,3,3862,188,406,4,4,414,3,604,0,16,7,0,25,0,25,0,0,0,0,0,0,0,188,427,13,4,442,3,628,3,0,0,0,0,0,3,3977,504,13,4,517,8,4495
POA6027,26,0,894,37,71,0,0,75,0,112,3,9,3,0,8,0,13,0,0,0,0,0,0,0,41,75,3,0,86,0,125,0,0,0,0,0,0,0,904,107,3,0,109,0,1019,375,14,0,0,14,0,386,22,49,0,0,54,0,74,0,0,3,0,5,0,5,0,0,0,0,0,0,0,22,52,4,0,53,0,74,0,0,0,0,0,0,0,395,63,4,0,64,0,463,187,10,0,0,10,0,198,10,33,0,0,31,0,41,0,9,0,0,7,0,7,0,0,0,0,0,0,0,10,38,5,0,40,0,49,0,0,0,0,0,0,0,201,41,5,0,48,0,246,6100,165,0,0,165,0,6264,302,678,18,9,705,0,1006,3,49,29,0,78,0,83,3,0,0,0,0,0,3,310,731,48,9,780,0,1095,3,0,0,0,0,0,3,6417,891,46,9,947,0,7362
POA6028,20,0,706,24,95,0,0,99,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,95,3,0,98,0,124,0,0,0,0,0,0,0,712,112,3,0,117,0,837,330,12,0,0,12,0,343,12,77,3,0,84,0,93,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,77,3,0,82,0,97,0,0,0,0,0,0,0,346,92,3,0,95,0,442,129,3,0,0,3,0,132,8,47,4,0,45,0,53,0,8,0,0,8,0,9,0,0,0,0,0,0,0,8,51,4,0,54,0,58,0,0,0,0,0,0,0,138,51,4,0,56,0,194,4200,107,3,0,110,6,4313,180,621,8,0,630,0,805,6,18,6,0,27,0,33,0,0,0,3,3,0,3,188,634,18,3,654,0,838,9,0,0,0,0,0,9,4390,743,20,3,762,6,5162
POA6029,6,0,87,11,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,3,0,9,0,0,0,0,0,0,0,96,5,0,0,8,0,99,42,0,0,0,0,0,41,4,7,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,0,7,0,0,0,0,0,0,0,47,7,0,0,7,0,51,21,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0,0,22,527,15,0,3,16,0,542,34,21,0,0,27,0,64,0,0,0,0,0,0,0,3,0,0,0,0,0,3,41,21,0,0,27,0,63,0,0,0,0,0,0,0,562,41,0,3,38,0,607
POA6030,16,0,824,32,149,3,0,150,0,188,3,13,12,0,28,0,27,0,0,0,0,0,0,0,37,163,12,0,178,0,211,0,0,0,0,0,0,0,847,177,12,0,197,0,1040,284,3,0,0,3,0,283,15,97,0,0,97,0,111,0,12,9,0,19,0,18,0,0,0,0,0,0,0,13,105,10,0,113,0,126,0,0,0,0,0,0,0,295,110,10,0,120,0,412,118,0,0,0,0,0,116,7,33,3,0,33,0,42,0,7,0,0,6,0,6,0,0,0,0,0,0,0,7,42,3,0,41,0,52,0,0,0,0,0,0,0,119,39,3,0,47,0,162,5509,161,5,0,165,7,5680,292,1142,28,9,1176,0,1472,11,83,68,0,155,0,164,3,8,0,0,3,0,7,307,1235,98,11,1337,0,1645,6,4,0,0,4,5,22,5822,1405,99,11,1508,15,7345
POA6031,11,0,326,11,82,0,0,80,0,92,0,5,10,0,14,0,14,0,0,0,0,0,0,0,11,85,7,0,93,0,106,3,0,0,0,0,0,4,333,96,7,0,105,0,434,103,0,0,0,0,0,105,0,48,4,0,56,0,53,0,3,0,0,8,0,8,0,0,0,0,0,0,0,0,54,7,0,61,0,60,0,0,0,0,0,0,0,103,61,7,0,65,0,166,43,0,0,0,0,0,43,0,12,0,0,12,0,12,0,5,4,0,5,0,5,0,0,0,0,0,0,0,0,21,4,0,21,0,22,0,0,0,0,0,0,0,42,21,4,0,21,0,62,2739,73,0,0,73,5,2817,129,751,12,0,764,0,891,8,66,40,0,103,0,112,0,8,0,5,10,0,15,138,826,51,10,881,0,1024,3,0,0,0,0,0,4,2883,900,51,10,953,3,3842
POA6032,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,0,0,24
POA6033,0,0,17,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,8,0,0,0,0,0,0,0,17,4,3,0,8,0,24,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,71,3,4,3,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,16,0,16,0,0,0,0,0,0,0,71,4,11,0,16,0,82
POA6034,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,3,0,29,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,274,4,0,0,4,0,282,12,26,0,0,26,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,0,0,26,0,41,0,0,0,0,0,0,0,281,34,0,0,34,0,320
POA6035,3,0,129,0,20,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,20,0,0,0,0,0,0,0,127,25,0,0,20,0,156,25,0,0,0,0,0,25,0,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,10,0,0,0,0,0,0,0,28,4,0,0,4,0,36,13,0,0,0,0,0,13,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,13,3,0,0,3,0,14,1386,21,0,4,27,6,1413,36,124,0,0,126,0,164,0,3,0,0,3,0,3,0,0,0,0,0,0,0,39,133,0,0,130,0,172,0,0,0,0,0,0,0,1417,152,0,4,156,8,1586
POA6036,8,0,347,15,49,0,0,51,0,62,0,3,5,0,7,0,8,0,0,0,0,0,0,0,15,54,4,0,62,0,75,4,0,0,0,0,0,4,357,55,4,0,65,0,426,91,0,0,0,0,0,93,0,27,0,0,27,0,31,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,27,6,0,33,0,39,0,0,0,0,0,0,0,95,31,6,0,36,0,129,28,0,0,0,0,0,28,0,11,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,14,0,14,0,0,0,0,0,0,0,28,11,6,0,14,0,40,2590,63,0,0,63,3,2655,132,448,10,0,463,0,596,3,38,19,0,55,0,58,0,0,0,8,8,0,7,138,488,29,7,521,0,657,4,0,0,0,0,10,17,2733,550,29,7,586,11,3324
POA6037,0,0,44,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,40,3,0,0,3,0,44,11,0,0,0,0,0,11,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,16,4,0,0,4,0,16,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,8,418,3,0,0,3,0,420,22,26,0,0,26,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,0,0,26,0,42,4,0,0,0,0,0,4,439,26,0,0,26,0,467
POA6038,0,0,82,4,20,0,0,21,0,25,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,19,0,0,26,0,29,0,0,0,0,0,0,0,83,19,0,0,26,0,110,23,0,0,0,0,0,23,0,13,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,13,0,0,0,0,0,0,0,23,13,0,0,13,0,34,14,0,0,0,0,0,14,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,14,3,0,0,3,0,15,973,18,0,0,18,7,994,46,194,6,3,200,0,244,0,9,3,0,18,0,18,0,0,0,0,0,0,0,46,206,11,3,217,0,263,8,0,0,0,0,3,7,1021,221,11,3,231,9,1261
